date;RedFull;RedDashed;RedDots;BlueFull;BlueDashed;BlueDots;PurpleFull;PurpleDashed;PurpleDots;GreenFull;GreenDashed;GreenDots
01/08/2021;2793;3492;3850;2793;3492;3850;2808;3760;2793;2793;3492;3850
02/08/2021;2992;3754;4195;2992;3754;4195;3384;3641;4280;2992;3754;4195
03/08/2021;3274;4121;4480;3274;4121;4480;3250;4263;4479;3274;4121;4480
04/08/2021;3501;4202;4779;3501;4349;4770;3677;4334;4786;3501;4202;4779
05/08/2021;3805;4427;5073;3916;4765;4972;4100;4509;5173;3805;4427;5073
06/08/2021;4052;4937;5478;4053;4919;5535;4199;4928;5546;4052;4937;5478
07/08/2021;4850;5383;5822;4521;5146;5870;4451;5280;5776;4306;5096;5822
08/08/2021;4894;5951;5944;4805;5189;6235;4754;5550;6098;4428;5212;5944
09/08/2021;5243;6217;6733;4875;6083;6675;4977;6029;6635;4678;5579;6328
10/08/2021;5577;6525;6922;5226;6217;7089;5247;5939;6705;4835;5719;6488
11/08/2021;6018;7088;7859;5547;6686;7393;5472;6329;7089;4997;5944;6700
12/08/2021;6379;7599;8263;5765;7153;7761;5628;6712;7396;5141;6216;6958
13/08/2021;6761;8238;8757;6148;7547;8251;5783;6912;7737;5285;6401;7040
14/08/2021;7263;8535;9353;6446;8015;8876;6039;7187;7963;5379;6605;7313
15/08/2021;7757;9409;9877;6930;8502;9392;6214;7570;8349;5455;6669;7451
16/08/2021;8216;9728;10585;7565;8644;9793;6422;7813;8652;5542;6807;7644
17/08/2021;8737;10215;11202;7783;9334;10113;6605;7881;8802;5616;6889;7775
18/08/2021;9313;11100;11840;8126;9770;10505;6776;8202;9177;5613;6939;7843
19/08/2021;9710;11464;12496;8491;10138;11082;6915;8445;9438;5613;6988;7945
20/08/2021;10293;12187;13206;8731;10586;11776;6992;8619;9619;5613;7077;7941
21/08/2021;10741;12733;13949;9133;10914;11771;7248;8754;9899;5613;7117;8047
22/08/2021;11205;13518;14708;9249;11427;12594;7265;9027;10051;5617;7122;8077
23/08/2021;11618;14008;15417;9579;11826;13024;7363;9112;10241;5519;7122;8121
24/08/2021;12207;14630;16156;9999;12203;13420;7450;9255;10442;5474;7077;8083
25/08/2021;12772;15237;16905;10274;12524;14016;7482;9362;10543;5423;7036;8064
26/08/2021;13176;15883;17507;10581;12845;14455;7512;9481;10687;5330;6993;8032
27/08/2021;13583;16414;18120;10754;13203;14726;7547;9539;10736;5236;6934;8010
28/08/2021;14024;16908;18774;10972;13545;14984;7547;9620;10969;5137;6809;7942
29/08/2021;14368;17493;19482;11200;13768;15634;7547;9666;11025;5046;6738;7847
30/08/2021;14766;17887;20010;11266;14071;15805;7547;9670;11038;4951;6600;7780
31/08/2021;15078;18515;20526;11520;14324;16044;7498;9670;11070;4821;6518;7665
01/09/2021;15417;18932;21000;11668;14511;16498;7422;9670;11091;4691;6406;7581
02/09/2021;15713;19308;21429;11749;14778;16647;7400;9670;11127;4574;6273;7471
03/09/2021;15934;19689;22007;11838;14963;16866;7363;9726;11115;4438;6173;7385
04/09/2021;16156;20028;22510;11910;15069;17104;7310;9626;11072;4338;6041;7186
05/09/2021;16333;20439;22890;11985;15186;17221;7211;9513;11071;4195;5964;7140
06/09/2021;16461;20656;23179;11981;15295;17416;7119;9484;10994;4060;5745;6973
07/09/2021;16553;20868;23538;11982;15327;17529;7001;9336;10924;3929;5615;6752
08/09/2021;16651;21085;23802;11935;15426;17598;6891;9227;10869;3805;5560;6691
09/09/2021;16651;21184;23948;11887;15434;17669;6794;9152;10727;3683;5363;6500
10/09/2021;16651;21277;24186;11810;15391;17687;6674;9043;10649;3556;5160;6357
11/09/2021;16636;21306;24312;11733;15331;17689;6548;8913;10489;3432;5053;6158
12/09/2021;16557;21360;24387;11604;15297;17660;6415;8773;10443;3302;4875;5988
13/09/2021;16427;21338;24444;11511;15188;17585;6234;8635;10313;3214;4724;5882
14/09/2021;16302;21267;24429;11344;15076;17514;6108;8500;10108;3050;4553;5708
15/09/2021;16129;21143;24389;11225;14951;17451;5989;8284;10061;2970;4421;5553
16/09/2021;15954;20987;24345;11036;14800;17310;5808;8166;9864;2832;4255;5383
17/09/2021;15733;20840;24208;10842;14625;17211;5686;8028;9694;2684;4122;5258
18/09/2021;15468;20657;24038;10657;14472;16958;5563;7866;9525;2597;4006;5137
19/09/2021;15198;20430;23935;10471;14257;16849;5381;7698;9324;2502;3849;4923
20/09/2021;14944;20192;23625;10290;14024;16741;5264;7552;9150;2381;3705;4846
21/09/2021;14663;19951;23490;10078;13859;16450;5093;7320;8936;2302;3581;4540
22/09/2021;14347;19580;23099;9817;13638;16228;4959;7167;8805;2219;3462;4484
23/09/2021;14058;19286;22798;9625;13364;15983;4814;7033;8707;2092;3328;4421
24/09/2021;13751;19011;22615;9411;13147;15693;4669;6901;8425;2015;3247;4176
25/09/2021;13399;18584;22223;9153;12964;15552;4529;6686;8258;1934;3138;4081
26/09/2021;13050;18215;21726;8892;12581;15202;4401;6529;8016;1839;2976;3925
27/09/2021;12723;17863;21523;8677;12358;14987;4277;6319;7872;1740;2889;3812
28/09/2021;12403;17449;21097;8329;12152;14809;4150;6100;7782;1697;2784;3684
29/09/2021;12008;17149;20696;8240;11770;14405;4026;5996;7547;1614;2631;3525
30/09/2021;11758;16559;20189;7992;11578;14157;3896;5861;7385;1555;2508;
01/10/2021;;;;;;;;;;;;
