date;reality;projection;
01/08/2021;118;120;1
02/08/2021;125;127;2
03/08/2021;132;133;3
04/08/2021;137;138;4
05/08/2021;142;142;5
06/08/2021;146;144;6
07/08/2021;148;148;7
08/08/2021;149;150;8
09/08/2021;152;152;9
10/08/2021;152;152;10
11/08/2021;152;152;11
12/08/2021;152;152;12
13/08/2021;152;152;13
14/08/2021;152;152;14
15/08/2021;152;152;15
16/08/2021;151;152;16
17/08/2021;150;152;17
18/08/2021;150;148;18
19/08/2021;149;147;19
20/08/2021;148;148;20
21/08/2021;147;145;21
22/08/2021;145;143;22
23/08/2021;143;143;23
24/08/2021;142;139;24
25/08/2021;139;139;25
26/08/2021;135;134;26
27/08/2021;133;132;27
28/08/2021;130;130;28
29/08/2021;126;125;29
30/08/2021;123;121;30
31/08/2021;120;119;31
01/09/2021;118;116;32
02/09/2021;115;111;33
03/09/2021;112;108;34
04/09/2021;107;106;35
05/09/2021;103;103;36
06/09/2021;100;98;37
07/09/2021;97;95;38
08/09/2021;93;93;39
09/09/2021;89;89;40
10/09/2021;86;85;41
11/09/2021;82;80;42
12/09/2021;79;76;43
13/09/2021;74;74;44
14/09/2021;71;71;45
15/09/2021;69;66;46
16/09/2021;66;63;47
17/09/2021;63;62;48
18/09/2021;60;59;49
19/09/2021;58;58;50
20/09/2021;56;55;51
21/09/2021;54;53;52
22/09/2021;52;51;53
23/09/2021;51;48;54
24/09/2021;47;46;55
25/09/2021;46;44;56
26/09/2021;45;42;57
27/09/2021;43;42;58
28/09/2021;42;42;59
29/09/2021;41;40;60
30/09/2021;40;38;61
01/10/2021;39;38;62
02/10/2021;39;38;63
03/10/2021;38;38;64
04/10/2021;38;38;65
05/10/2021;37;37;66
06/10/2021;37;34;67
07/10/2021;37;38;68
08/10/2021;37;38;69
09/10/2021;37;38;70
10/10/2021;37;38;71
11/10/2021;37;38;72
12/10/2021;38;38;73
13/10/2021;38;38;74
14/10/2021;39;37;75
15/10/2021;40;41;76
16/10/2021;41;42;77
17/10/2021;42;42;78
18/10/2021;44;42;79
19/10/2021;45;46;80
20/10/2021;47;47;81
21/10/2021;49;46;82
22/10/2021;50;51;83
23/10/2021;51;51;84
24/10/2021;53;53;85
25/10/2021;55;55;86
26/10/2021;57;55;87
27/10/2021;57;59;88
28/10/2021;59;59;89
29/10/2021;60;59;90
30/10/2021;60;59;91
31/10/2021;62;61;92
01/11/2021;64;64;93
02/11/2021;64;63;94
03/11/2021;66;64;95
04/11/2021;67;67;96
05/11/2021;70;67;97
06/11/2021;72;69;98
07/11/2021;74;71;99
08/11/2021;76;71;100
09/11/2021;78;75;101
10/11/2021;80;76;102
11/11/2021;83;80;103
12/11/2021;85;80;104
13/11/2021;87;84;105
14/11/2021;89;85;106
15/11/2021;92;89;107
16/11/2021;95;91;108
17/11/2021;98;94;109
18/11/2021;100;98;110
19/11/2021;103;102;111
20/11/2021;107;108;112
21/11/2021;112;115;113
22/11/2021;119;121;114
23/11/2021;125;129;115
24/11/2021;132;135;116
25/11/2021;140;144;117
26/11/2021;148;152;118
27/11/2021;157;162;119
28/11/2021;167;169;120
29/11/2021;176;179;121
30/11/2021;186;191;122
01/12/2021;194;200;123
02/12/2021;203;208;124
03/12/2021;211;;125
04/12/2021;218;230;126
05/12/2021;223;235;
06/12/2021;228;244;
07/12/2021;235;254;
08/12/2021;238;262;
09/12/2021;243;276;
10/12/2021;246;285;
11/12/2021;249;295;
12/12/2021;250;306;
13/12/2021;252;317;
14/12/2021;254;328;
15/12/2021;255;339;
16/12/2021;257;350;
17/12/2021;;364;
18/12/2021;;379;
