date;12_fevrier_vacc;12_frevrier_no_vacc;12_mars_vacc;12_mars_no_vacc;12_avril_vacc;12_avril_no_vacc
01/01/2021;;;;;3020;3020
02/01/2021;;;;;3020;3020
03/01/2021;;;;;3020;3020
04/01/2021;;;;;3020;3020
05/01/2021;;;;;3020;3019
06/01/2021;;;;;3020;3020
07/01/2021;;;;;3021;3023
08/01/2021;;;;;3018;3016
09/01/2021;;;;;3017;3013
10/01/2021;;;;;3034;3057
11/01/2021;;;;;3066;3111
12/01/2021;;;;;3098;3117
13/01/2021;;;;;3114;3109
14/01/2021;;;;;3112;3111
15/01/2021;;;;;3106;3102
16/01/2021;;;;;3111;3112
17/01/2021;;;;;3135;3170
18/01/2021;;;;;3169;3209
19/01/2021;;;;;3197;3203
20/01/2021;;;;;3201;3200
21/01/2021;;;;;3201;3200
22/01/2021;;;;;3225;3191
23/01/2021;;;;;3260;3220
24/01/2021;;;;;3287;3280
25/01/2021;;;;;3293;3300
26/01/2021;;;;;3290;3289
27/01/2021;;;;;3292;3286
28/01/2021;;;;;3286;3296
29/01/2021;;;;;3285;3325
30/01/2021;;;;;3332;3382
31/01/2021;;;;;3385;3429
01/02/2021;;;;;3389;3432
02/02/2021;;;;;3373;3421
03/02/2021;;;;;3375;3423
04/02/2021;;;;;3424;3444
05/02/2021;;;;;3475;3475
06/02/2021;;;;;3479;3505
07/02/2021;3492;;;;3463;3521
08/02/2021;3468;;;;3466;3518
09/02/2021;3510;;;;3512;3506
10/02/2021;3568;3609;;;3568;3522
11/02/2021;3592;3631;;;3597;3582
12/02/2021;3628;3678;;;3616;3614
13/02/2021;3687;3735;;;3645;3607
14/02/2021;3740;3762;;;3685;3608
15/02/2021;3799;3796;;;3692;3602
16/02/2021;3879;3876;;;3637;3572
17/02/2021;3969;3970;;;3579;3556
18/02/2021;4048;4048;;;3560;3560
19/02/2021;4099;4099;;;3584;3559
20/02/2021;4164;4164;;;3608;3564
21/02/2021;4273;4273;;;3604;3590
22/02/2021;4387;4388;;;3618;3624
23/02/2021;4494;4495;;;3649;3649
24/02/2021;4610;4604;;;3656;3654
25/02/2021;4705;4711;;;3650;3650
26/02/2021;4777;4816;;;3650;3650
27/02/2021;4907;4943;;;3651;3651
28/02/2021;5079;5081;;;3651;3651
01/03/2021;5204;5198;;;3651;3651
02/03/2021;5295;5297;;;3651;3651
03/03/2021;5398;5399;;;3651;3651
04/03/2021;5548;5548;;;3651;3651
05/03/2021;5714;5714;;;3651;3651
06/03/2021;5830;5830;;;3651;3651
07/03/2021;5935;5935;;;3651;3650
08/03/2021;6070;6071;;;3651;3649
09/03/2021;6225;6224;3783;;3651;3656
10/03/2021;6391;6391;3785;;3651;3652
11/03/2021;6563;6566;3807;3812;3648;3619
12/03/2021;6706;6703;3842;3839;3654;3610
13/03/2021;6810;6803;3872;3866;3659;3643
14/03/2021;6932;6960;3873;3894;3619;3645
15/03/2021;7093;7160;3875;3920;3562;3607
16/03/2021;7278;7318;3929;3946;3553;3574
17/03/2021;7433;7416;3975;3977;3563;3558
18/03/2021;7537;7511;3994;4029;3562;3559
19/03/2021;7645;7734;4070;4123;3558;3564
20/03/2021;7795;7947;4190;4235;3561;3561
21/03/2021;7993;7980;4283;4322;3571;3551
22/03/2021;8158;8205;4345;4397;3546;3567
23/03/2021;8259;8423;4396;4478;3485;3596
24/03/2021;8377;8688;4469;4568;3462;3627
25/03/2021;8520;8968;4553;4643;3471;3651
26/03/2021;8657;9229;4627;4696;3470;3657
27/03/2021;8791;9441;4729;4852;3474;3651
28/03/2021;8927;9593;4870;5114;3478;3654
29/03/2021;9062;9707;4997;5277;3436;3634
30/03/2021;9199;9808;5096;5319;3380;3605
31/03/2021;9338;9919;5178;5357;3370;3602
01/04/2021;9463;10065;5260;5500;3387;3606
02/04/2021;9569;10252;5343;5660;3389;3607
03/04/2021;9680;10457;5409;5840;3343;3608
04/04/2021;9785;10657;5505;6008;3289;3608
05/04/2021;9866;10828;5674;6190;3283;3609
06/04/2021;9953;10998;5812;6217;3293;3609
07/04/2021;10064;11084;5884;6256;3291;3608
08/04/2021;10188;11204;5976;6425;3290;3608
09/04/2021;10332;11334;6093;6632;3290;3607
10/04/2021;10487;11481;6201;6841;3290;3607
11/04/2021;10563;11624;6311;7033;3292;3603
12/04/2021;10577;11741;6421;7165;3292;3602
13/04/2021;10685;11858;6508;7309;3281;3630
14/04/2021;10827;11951;6588;7470;3294;3651
15/04/2021;10887;12047;6689;7631;3354;3663
16/04/2021;10930;12171;6821;7786;3384;3766
17/04/2021;10987;12306;6960;7844;3377;3836
18/04/2021;11019;12435;7053;7844;3419;3917
19/04/2021;11048;12558;7131;7994;3474;4003
20/04/2021;11104;12666;7239;8188;3492;4088
21/04/2021;11150;12667;7351;8407;3556;4164
22/04/2021;11173;12726;7458;8584;3674;4226
23/04/2021;11201;12782;7576;8673;3750;4302
24/04/2021;11225;12821;7671;8755;3792;4282
25/04/2021;11229;12863;7720;8863;3845;4355
26/04/2021;11214;12907;7796;9009;3904;4504
27/04/2021;11185;12950;7912;9174;3958;4607
28/04/2021;11150;12991;8005;9339;4000;4722
29/04/2021;11133;13028;8079;9523;4071;4839
30/04/2021;11137;13059;8161;9709;4187;4951
01/05/2021;11117;13102;8243;;4266;5127
