;date;15_fevrier_vacc;15_frevrier_no_vacc;15_mars_vacc;15_mars_no_vacc;15_avril_vacc;15_avril_no_vacc;12_fevrier_vacc;12_frevrier_no_vacc;12_mars_vacc;12_mars_no_vacc;12_avril_vacc;12_avril_no_vacc
1;21/01/2021;;;;;1165;1165;;;;;1031;1031
2;22/01/2021;;;;;1166;1166;;;;;1028;1028
3;23/01/2021;;;;;1161;1161;;;;;1038;1038
4;24/01/2021;;;;;1187;1187;;;;;1062;1062
5;25/01/2021;;;;;1203;1203;;;;;1070;1070
6;26/01/2021;;;;;1210;1210;;;;;1066;1066
7;27/01/2021;;;;;1241;1241;;;;;1067;1067
8;28/01/2021;;;;;1238;1238;;;;;1065;1065
9;29/01/2021;;;;;1302;1302;;;;;1065;1065
10;30/01/2021;;;;;1321;1321;;;;;1084;1084
11;31/01/2021;;;;;1313;1313;;;;;1104;1104
12;01/02/2021;;;;;1316;1316;;;;;1104;1104
13;02/02/2021;;;;;1315;1315;;;;;1099;1099
14;03/02/2021;;;;;1315;1315;;;;;1101;1101
15;04/02/2021;;;;;1313;1313;;;;;1110;1110
16;05/02/2021;;;;;1344;1344;;;;;1123;1123
17;06/02/2021;;;;;1356;1356;;;;;1134;1134
18;07/02/2021;;;;;1351;1351;;;;;1139;1139
19;08/02/2021;;;;;1354;1354;;;;;1136;1136
20;09/02/2021;;;;;1352;1352;;;;;1132;1132
21;10/02/2021;;;;;1352;1352;;;;;1144;1144
22;11/02/2021;;;;;1385;1385;;;;;1168;1168
23;12/02/2021;;;;;1393;1393;;;;;1175;1176
24;13/02/2021;;;;;1389;1389;;;;;1171;1170
25;14/02/2021;;;;;1390;1390;;;;;1169;1167
26;15/02/2021;;;;;1391;1391;;;;;1175;1182
27;16/02/2021;;;;;1390;1390;;;;;1187;1205
28;17/02/2021;;;;;1389;1389;;;;;1200;1209
29;18/02/2021;;;;;1421;1421;1219;;;;1208;1206
30;19/02/2021;;;;;1431;1430;1207;;;;1208;1207
31;20/02/2021;;;;;1427;1428;1212;;;;1203;1204
32;21/02/2021;;;;;1428;1425;1224;;;;1206;1206
33;22/02/2021;;;;;1428;1435;1224;;;;1228;1228
34;23/02/2021;;1502;;;1428;1465;1226;;;;1244;1244
35;24/02/2021;;1467;;;1428;1431;1237;;;;1242;1241
36;25/02/2021;;1485;;;1424;1446;1250;;;;1246;1246
