date;calibration;green1;green2;green3;blue1;blue2;blue3
27/09/2020;3397;3397;3397;3397;3397;3397;3397
04/10/2020;4073;4073;4073;4073;4073;4073;4073
11/10/2020;6657;6657;6657;6657;6657;6657;6657
18/10/2020;10576;10576;10576;10576;10576;10576;10576
25/10/2020;15757;15757;15757;15757;15757;15757;15757
01/11/2020;17410;17410;17410;17410;17410;17410;17410
08/11/2020;12884;12884;12884;12884;12884;12884;12884
15/11/2020;9622;9622;9622;9622;9622;9622;9622
22/11/2020;8054;8054;8054;8054;8054;8054;8054
29/11/2020;7349;7349;7349;7349;7349;7349;7349
06/12/2020;6483;6483;6483;6483;6483;6483;6483
13/12/2020;6763;6763;6763;6763;6763;6763;6763
20/12/2020;6757;6757;6757;6757;6757;6757;6757
27/12/2020;6984;6984;6984;6984;6984;6984;6984
03/01/2021;7332;7332;7332;7332;7332;7332;7332
10/01/2021;;7683;7843;7921;7917;7909;7982
17/01/2021;;7675;8095;9007;8015;8180;9217
24/01/2021;;7863;8602;10663;8239;8801;11145
31/01/2021;;8105;9667;12807;8609;10170;13946
07/02/2021;;8370;10690;16089;9298;12013;19241
14/02/2021;;8832;12330;20082;10570;14997;27290
21/02/2021;;9530;14697;26623;12769;20953;35000
28/02/2021;;10400;18178;34680;17058;30780;
07/03/2021;;12183;24125;;23939;;
14/03/2021;;14479;31666;;33664;;
21/03/2021;;18252;;;;;
28/03/2021;;23428;;;;;
04/04/2021;;29494;;;;;
