date;vaccination;trans_feb_blue;trans_feb_green;trans_feb_orange;trans_feb_red;trans_mar_blue;trans_mar_green;trans_mar_orange;trans_mar_red;VOC_blue;VOC_green;VOC_red;control
;;;;;;;;;;;;;1227
;;;;;;;;;;;;;1236
;;;;;;;;;;;;;1251
;;;;;;;;;;;;;1251
;;;;;;;;;;;;;1284
;;;;;;;;;;;;;1294
;;;;;;;;;;;;;1293
;;;;;;;;;;;;;1293
;;;;;;;;;;;;;1293
;;;;;;;;;;;;;1299
;;;;;;;;;;;;;1314
;;;;;;;;;;;;;1337
;;;;;;;;;;;;;1336
;;;;;;;;;;;;;1337
;;;;;;;;;;;;;1337
;;;;;;;;;;;;;1327
;;;;;;;;;;;;;1314
01/02/2021;1285;;;;;;;;;;;;1316
02/02/2021;1287;;;;;;;;;;;;1303
03/02/2021;1263;;;;;;;;;;;;1292
04/02/2021;1265;;;;;;;;;;;;1289
05/02/2021;1242;;;;;;;;;;;;1256
06/02/2021;1217;;;;;;;;;;;;1249
07/02/2021;1214;;;;;;;;;;;;1244
08/02/2021;1170;;;;;;;;;;;;1212
09/02/2021;1172;;;;;;;;;;;;1183
10/02/2021;1150;;;;;;;;;;;;1177
11/02/2021;1129;;;;;;;;;;;;1145
12/02/2021;1105;;;;;;;;;;;;1117
13/02/2021;1083;;;;;;;;;;;;1109
14/02/2021;;;;;;;;;;;;;1076
15/02/2021;1062;;;;1093;;;;;1093;;1055;
16/02/2021;1037;;;;1094;;;;1041;1026;;1082;
17/02/2021;1016;;;;1077;;;;1028;1004;;1050;
18/02/2021;970;;;;1046;;;;1026;1002;1019;1052;
19/02/2021;969;;;;1027;;;;981;985;1012;1050;
20/02/2021;969;;;;1010;;;;990;972;961;1059;
21/02/2021;961;;;;982;;;;938;936;960;963;
22/02/2021;927;;;;986;;;;945;946;942;1022;
23/02/2021;901;;;;964;;;;923;939;923;945;
24/02/2021;901;;;;940;;;;900;897;897;937;
25/02/2021;902;944;;;925;;;;869;888;901;934;
26/02/2021;865;909;;;918;;;;855;855;876;943;
27/02/2021;834;882;;;925;;;;854;899;857;967;
28/02/2021;830;871;885;;942;;;;856;863;821;962;
01/03/2021;885;874;853;940;941;;;;830;856;810;959;
02/03/2021;857;873;879;938;965;;;;809;845;789;863;
03/03/2021;790;891;856;959;956;;;;811;832;770;887;
04/03/2021;789;921;857;964;1035;;;;808;833;765;904;
05/03/2021;825;898;852;996;1060;;;;786;833;743;918;
06/03/2021;872;957;831;1025;1090;;;;790;833;745;919;
07/03/2021;882;925;806;1055;1123;;;;765;833;735;927;
08/03/2021;767;964;809;1082;1190;;;767;765;832;699;938;
09/03/2021;765;1005;809;1136;1246;;;767;789;833;701;950;
10/03/2021;867;1037;809;1165;1276;;;767;764;809;733;961;
11/03/2021;854;1045;809;1193;1365;;745;768;768;811;728;967;
12/03/2021;756;1094;809;1248;1447;;745;769;768;811;743;964;
13/03/2021;789;1099;809;1281;1529;743;754;814;796;812;697;985;
14/03/2021;785;1133;809;1363;1582;761;768;827;848;808;702;990;
15/03/2021;942;1164;809;1426;1694;789;767;860;858;829;701;1008;
16/03/2021;905;1215;809;1485;1781;801;765;915;913;792;713;1052;
17/03/2021;854;1243;807;1547;1869;807;787;918;939;872;722;1095;
18/03/2021;882;1277;832;1585;1986;880;788;971;969;882;747;1143;
19/03/2021;1022;1324;831;1665;2111;904;789;1013;998;941;745;1160;
20/03/2021;1050;1375;830;1745;2181;893;789;1050;1049;920;745;1226;
21/03/2021;971;1404;855;1809;2347;875;789;1134;1133;974;776;1236;
22/03/2021;996;1448;852;1904;2476;974;790;1193;1193;1000;788;1301;
23/03/2021;1058;1509;852;1968;2602;1030;789;1255;1255;1030;811;1360;
24/03/2021;1060;1546;851;2082;2734;1059;812;1311;1307;1079;819;1419;
25/03/2021;1106;1589;869;2168;2921;1107;828;1392;1423;1117;833;1479;
26/03/2021;1127;1644;874;2257;3049;1142;833;1455;1501;1164;858;1539;
27/03/2021;1152;1705;875;2357;3231;1173;833;1468;1645;1176;879;1598;
28/03/2021;1193;1743;872;2459;3407;1200;833;1471;1758;1246;873;1658;
29/03/2021;1237;1797;898;2550;3579;1255;835;1522;1827;1254;924;1715;
30/03/2021;1287;1836;896;2672;3729;1280;869;1577;1934;1308;918;1807;
31/03/2021;1307;1897;896;2770;3922;1335;877;1660;2032;1334;940;1839;
01/04/2021;1349;1957;896;2867;4124;1343;877;1719;2159;1394;965;1930;
