date;real_black;blue_full;blue_dashed;purple_full;purple_dashed;pink_full;pink_dashed
01/07/2021;44;44;44;44;44;44;44
02/07/2021;44;44;44;44;44;44;44
03/07/2021;44;44;44;44;44;44;44
04/07/2021;44;44;44;44;44;44;44
05/07/2021;44;44;44;44;44;44;44
06/07/2021;44;44;44;44;44;44;44
07/07/2021;44;44;44;44;44;44;44
08/07/2021;44;44;44;44;44;44;44
09/07/2021;44;44;44;44;44;44;44
10/07/2021;44;44;44;44;44;44;44
11/07/2021;58;58;58;58;58;58;58
12/07/2021;76;76;76;76;76;76;76
13/07/2021;71;71;71;71;71;71;71
14/07/2021;87;87;87;87;87;87;87
15/07/2021;98;98;98;98;98;98;98
16/07/2021;82;82;82;82;82;82;82
17/07/2021;107;107;107;107;107;107;107
18/07/2021;131;131;131;131;131;131;131
19/07/2021;147;147;147;147;147;147;147
20/07/2021;175;175;175;175;175;175;175
21/07/2021;196;196;196;196;196;196;196
22/07/2021;185;185;185;185;185;185;185
23/07/2021;240;240;240;240;240;240;240
24/07/2021;242;242;242;242;242;242;242
25/07/2021;294;294;294;294;294;294;294
26/07/2021;;310;310;310;310;310;310
27/07/2021;;327;327;327;327;327;327
28/07/2021;;365;365;365;365;365;365
29/07/2021;;403;403;403;403;403;403
30/07/2021;;446;446;446;446;446;446
31/07/2021;;495;501;501;501;501;501
01/08/2021;;550;566;566;566;566;566
02/08/2021;;604;615;615;615;615;615
03/08/2021;;675;675;675;675;675;675
04/08/2021;;735;746;746;702;746;746
05/08/2021;;806;806;757;762;740;740
06/08/2021;;871;871;817;817;806;806
07/08/2021;;953;969;876;887;855;855
08/08/2021;;1051;1051;974;957;920;920
09/08/2021;;1116;1116;1034;1002;974;969
10/08/2021;;1225;1219;1111;1088;1015;1002
11/08/2021;;1320;1312;1212;1182;1040;1013
12/08/2021;;1432;1426;1301;1292;1083;1051
13/08/2021;;1535;1493;1377;1356;1149;1064
14/08/2021;;1673;1579;1444;1388;1152;1072
15/08/2021;;1781;1689;1534;1463;1219;1089
16/08/2021;;1920;1733;1633;1485;1263;1145
17/08/2021;;2080;1830;1720;1514;1285;1138
18/08/2021;;2216;1945;1797;1601;1312;1170
19/08/2021;;2352;2063;1905;1650;1339;1181
20/08/2021;;2485;2112;1973;1699;1361;1176
21/08/2021;;2607;2219;2058;1727;1388;1178
22/08/2021;;2771;2314;2140;1790;1405;1182
23/08/2021;;2907;2374;2221;1847;1437;1188
24/08/2021;;3019;2428;2303;1862;1454;1192
25/08/2021;;3179;2485;2363;1895;1459;1192
26/08/2021;;3277;2576;2428;1911;1475;1181
27/08/2021;;3397;2602;2488;1916;1486;1170
28/08/2021;;3526;2629;2553;1921;1492;1165
29/08/2021;;3637;2684;2608;1928;1503;1145
30/08/2021;;3729;2675;2657;1937;1503;1119
31/08/2021;;3816;2706;2711;1944;1497;1093
01/09/2021;;3903;2722;2755;1938;1497;1078
02/09/2021;;3974;2755;2782;1927;1492;1062
03/09/2021;;4023;2722;2809;1905;1486;1034
04/09/2021;;4072;2711;2825;1901;1475;1018
05/09/2021;;4105;2698;2827;1872;1464;1009
06/09/2021;;4127;2673;2836;1838;1454;970
07/09/2021;;4127;2646;2836;1807;1443;929
08/09/2021;;4116;2589;2815;1797;1426;920
09/09/2021;;4088;2542;2798;1764;1399;898
10/09/2021;;4050;2526;2766;1731;1372;876
11/09/2021;;4001;2477;2733;1731;1350;855
12/09/2021;;3947;2444;2689;1684;1317;846
13/09/2021;;3865;2384;2646;1623;1285;818
14/09/2021;;3779;2291;2602;1595;1263;790
15/09/2021;;3713;2276;2537;1562;1230;768
16/09/2021;;3609;2221;2477;1524;1192;740
17/09/2021;;3511;2183;2406;1503;1160;724
18/09/2021;;3392;2102;2341;1449;1116;708
19/09/2021;;3272;2003;2259;1383;1083;686
20/09/2021;;3158;1971;2167;1345;1029;630
21/09/2021;;3040;1905;2090;1317;991;622
22/09/2021;;2902;1745;2003;1268;953;616
23/09/2021;;2760;1829;1916;1258;915;588
24/09/2021;;2635;1658;1840;1139;876;577
25/09/2021;;2504;1644;1753;1111;833;555
26/09/2021;;2384;1601;1666;1105;800;546
27/09/2021;;2265;1493;1601;1049;762;525
28/09/2021;;2145;1499;1513;1029;729;500
29/09/2021;;2031;1385;1454;1013;697;476
30/09/2021;;1922;1356;1383;893;670;468
01/10/2021;;1846;1323;1323;898;648;
