date;R_1_2;R_1_1;R_1;R_0_9;R_0_8;R_0_7
20/10/2020;;;;;;
21/10/2020;;;;;;
22/10/2020;;;;;;
23/10/2020;;;;;;
24/10/2020;319;324;324;324;324;324
25/10/2020;344;339;339;339;339;339
26/10/2020;358;358;392;392;392;392
27/10/2020;381;385;386;396;384;377
28/10/2020;399;403;404;397;397;399
29/10/2020;427;429;427;420;415;460
30/10/2020;452;451;453;446;452;468
31/10/2020;479;483;479;473;479;492
01/11/2020;506;514;504;508;504;504
02/11/2020;528;532;524;531;516;512
03/11/2020;548;551;543;541;531;534
04/11/2020;573;573;559;547;541;543
05/11/2020;595;586;575;561;549;540
06/11/2020;611;595;583;566;551;539
07/11/2020;621;600;586;563;548;529
08/11/2020;632;606;586;552;538;510
09/11/2020;639;611;584;546;522;491
10/11/2020;648;612;577;539;506;470
11/11/2020;654;612;573;529;489;453
12/11/2020;663;612;564;525;471;438
13/11/2020;667;610;557;513;456;418
14/11/2020;674;608;549;500;442;401
15/11/2020;678;604;542;480;428;386
16/11/2020;682;604;532;463;412;362
17/11/2020;687;598;523;453;394;341
18/11/2020;689;596;514;439;372;315
19/11/2020;691;591;504;427;356;294
20/11/2020;692;588;494;413;341;277
21/11/2020;697;583;485;401;326;259
22/11/2020;700;581;477;389;316;242
23/11/2020;700;575;467;381;301;231
24/11/2020;704;570;456;367;288;218
25/11/2020;705;565;449;360;272;208
26/11/2020;705;561;442;340;259;198
27/11/2020;706;554;431;331;244;187
28/11/2020;708;550;422;323;231;176
29/11/2020;711;546;413;312;223;166
30/11/2020;709;540;404;303;215;156
01/12/2020;711;535;398;303;208;144
02/12/2020;709;530;389;280;202;133
03/12/2020;710;525;382;272;195;124
04/12/2020;709;518;373;259;191;115
05/12/2020;710;513;365;253;176;110
06/12/2020;707;508;357;246;165;105
07/12/2020;708;503;349;242;153;97
08/12/2020;707;496;342;228;143;93
09/12/2020;708;492;337;223;136;86
10/12/2020;703;487;328;215;133;77
11/12/2020;702;481;321;208;127;69
12/12/2020;700;475;315;201;120;67
13/12/2020;700;470;306;195;118;67
14/12/2020;697;465;301;189;113;66
15/12/2020;;;;;;66
