date;true_points;fig1_new_hosp_week;fig2_1_new_hosp_week;fig2_2_new_hosp_week;fig2_3_new_hosp_week;fig3_1_new_hosp_week;fig3_2_new_hosp_week;fig3_3_new_hosp_week;fig3_4_new_hosp_week;fig3_5_new_hosp_week;fig3_6_new_hosp_week
27/09/2020;3973;3973;3973;3973;3973;3973;3973;3973;3973;3973;3973
04/10/2020;4959;4959;4959;4959;4959;4959;4959;4959;4959;4959;4959
11/10/2020;7737;7737;7737;7737;7737;7737;7737;7737;7737;7737;7737
18/10/2020;11539;11539;11539;11539;11539;11539;11539;11539;11539;11539;11539
25/10/2020;15256;15256;15256;15256;15256;15256;15256;15256;15256;15256;15256
01/11/2020;16327;16327;16327;16327;16327;16327;16327;16327;16327;16327;16327
08/11/2020;14027;14027;14027;14027;14027;14027;14027;14027;14027;14027;14027
15/11/2020;10234;10234;10234;10234;10234;10234;10234;10234;10234;10234;10234
22/11/2020;7763;7763;7763;7763;7763;7763;7763;7763;7763;7763;7763
29/11/2020;7298;7298;7298;7298;7298;7298;7298;7298;7298;7298;7298
06/12/2020;6982;6982;6982;6982;6982;6982;6982;6982;6982;6982;6982
13/12/2020;6965;6965;6965;6965;6965;6965;6965;6965;6965;6965;6965
20/12/2020;6372;6372;6372;6372;6372;6372;6372;6372;6372;6372;6372
27/12/2020;6717;6717;6717;6717;6717;6717;6717;6717;6717;6717;6717
03/01/2021;7746;7746;7746;7746;7746;7746;7746;7746;7746;7746;7746
10/01/2021;8753;8348;8526;8584;8313;8270;8503;8339;8104;8396;8305
17/01/2021;9696;9291;9338;9321;9318;9289;9508;9304;9120;9412;9426
24/01/2021;9914;9466;9500;9537;9402;9444;9668;9476;9293;9618;9463
31/01/2021;;9683;9495;9839;9779;9496;10000;9890;9363;9876;9982
07/02/2021;;10264;9343;10663;11894;9392;10936;12043;9399;10650;11826
14/02/2021;;11292;9443;12182;15013;9530;12407;15455;9521;12113;15064
21/02/2021;;13003;9919;14353;19933;9979;14740;20675;10004;14212;20022
28/02/2021;;15376;10941;17913;27595;10981;18471;;10985;17515;
07/03/2021;;19477;12570;23038;;12707;23893;;12569;22419;
14/03/2021;;25136;15099;29900;;15297;;;15063;;
21/03/2021;;;18236;;;18577;;;18280;;
28/03/2021;;;22484;;;22807;;;22528;;
04/04/2021;;;27737;;;;;;;;
