date;high_BlueFull;high_high_BlueDashed;high_PurpleFull;high_PurpleDashed;high_PinkFull;high_PinkDashed;low_BlueFull;low_BlueDashed;low_BlueDots;low_PurpleFull;low_PurpleDashed;low_PurpleDots;low_PinkFull;low_PinkDashed;low_PinkDots
26/07/2021;71;71;71;71;71;71;83;83;83;83;83;83;83;83;83
27/07/2021;82;84;84;84;84;84;92;89;89;89;89;89;89;89;89
28/07/2021;93;93;93;93;93;93;99;100;100;100;100;100;100;100;100
29/07/2021;103;99;99;99;99;99;115;111;111;111;111;111;111;111;111
30/07/2021;114;114;114;114;114;114;122;123;122;122;122;122;122;122;122
31/07/2021;124;123;123;123;123;123;136;132;136;136;136;136;136;136;136
01/08/2021;138;142;143;143;143;143;150;150;150;150;150;150;150;150;148
02/08/2021;153;153;153;153;153;153;161;161;161;161;161;161;161;161;155
03/08/2021;166;166;164;164;164;164;181;181;181;181;181;181;181;181;166
04/08/2021;182;182;175;175;175;175;193;193;193;186;186;186;186;186;182
05/08/2021;200;203;182;189;189;189;213;213;213;197;201;201;192;192;192
06/08/2021;222;221;205;201;199;199;231;230;230;213;217;217;205;205;203
07/08/2021;241;245;226;222;210;210;256;256;253;233;237;233;221;221;213
08/08/2021;267;261;243;243;220;220;275;271;256;249;250;252;239;239;223
09/08/2021;292;286;261;262;237;234;292;287;278;278;262;263;247;247;228
10/08/2021;308;308;288;273;238;238;319;320;303;288;284;285;249;249;233
11/08/2021;330;334;314;292;246;240;351;316;319;317;308;286;255;256;244
12/08/2021;355;363;339;315;256;246;372;344;349;334;331;295;266;263;252
13/08/2021;383;386;355;330;273;250;416;351;366;352;343;307;280;277;253
14/08/2021;406;410;385;332;278;253;437;382;374;366;340;319;290;278;253
15/08/2021;437;441;396;343;286;258;456;407;401;393;343;330;295;293;252
16/08/2021;485;452;416;352;297;270;484;431;412;399;356;338;300;282;253
17/08/2021;523;477;419;393;303;279;516;448;419;428;371;345;306;269;269
18/08/2021;559;499;442;396;312;277;549;466;427;444;385;347;310;276;256
19/08/2021;588;517;463;416;321;285;583;491;443;466;388;349;320;273;270
20/08/2021;638;556;485;422;326;293;611;501;444;482;397;351;321;273;259
21/08/2021;666;576;514;447;332;289;646;513;455;497;401;353;327;268;244
22/08/2021;705;599;534;468;337;293;676;521;466;513;405;354;328;266;242
23/08/2021;741;646;555;473;346;300;699;541;466;528;407;355;333;263;238
24/08/2021;776;666;576;492;351;308;720;546;469;537;409;356;332;260;231
25/08/2021;809;696;596;499;357;310;745;552;476;551;410;356;332;257;226
26/08/2021;853;734;625;536;362;319;763;563;479;564;412;356;332;249;220
27/08/2021;882;744;639;547;368;320;786;576;475;570;409;353;334;247;209
28/08/2021;916;782;658;562;369;316;801;570;470;577;407;349;337;238;198
29/08/2021;948;812;680;571;373;318;816;577;465;582;403;338;328;233;193
30/08/2021;975;840;691;589;375;325;829;559;463;588;397;327;327;227;182
31/08/2021;1007;871;704;611;381;333;838;557;466;589;389;322;321;221;170
01/09/2021;1038;899;720;624;381;333;847;549;467;594;383;316;320;215;161
02/09/2021;1054;915;732;634;381;329;855;541;437;594;376;308;314;205;165
03/09/2021;1076;939;741;634;384;333;859;541;429;593;369;298;309;200;157
04/09/2021;1093;956;751;653;385;334;859;529;414;593;359;288;305;192;150
05/09/2021;1112;982;762;671;385;334;859;514;408;589;349;279;303;182;149
06/09/2021;1121;967;769;677;385;333;855;500;401;587;338;270;298;173;142
07/09/2021;1136;987;774;683;381;335;850;485;384;577;326;262;288;163;134
08/09/2021;1142;1020;780;684;381;337;841;475;374;572;312;254;287;161;130
09/09/2021;1147;1035;782;687;378;338;834;458;371;567;310;246;263;154;127
10/09/2021;1147;1036;782;691;377;329;814;433;357;556;295;238;269;150;116
11/09/2021;1147;1042;782;703;373;335;802;427;338;544;281;228;264;143;107
12/09/2021;1144;1037;782;707;370;331;790;416;321;536;267;219;247;136;105
13/09/2021;1139;1031;777;706;369;327;759;402;312;521;254;210;249;128;117
14/09/2021;1132;1025;772;698;365;325;737;382;310;506;246;201;242;121;106
15/09/2021;1122;1026;767;708;362;325;726;362;296;497;241;192;213;115;89
16/09/2021;1107;1028;757;699;357;325;709;356;284;478;231;182;227;106;87
17/09/2021;1090;1020;750;686;353;319;681;343;279;464;220;173;217;108;81
18/09/2021;1079;1014;745;680;347;317;657;328;269;446;209;167;210;100;76
19/09/2021;1055;993;730;683;341;313;636;310;260;430;200;166;182;93;75
20/09/2021;1033;972;722;670;336;308;610;297;250;415;195;160;189;86;74
21/09/2021;1008;962;708;666;331;303;580;285;235;395;186;150;180;80;71
22/09/2021;977;958;698;654;325;298;557;273;225;379;176;142;174;79;66
23/09/2021;957;944;687;640;318;295;525;260;221;359;166;136;167;73;58
24/09/2021;944;940;675;630;314;290;495;245;198;343;157;132;156;71;54
25/09/2021;910;897;662;627;305;286;482;233;182;327;149;126;151;;50
26/09/2021;886;879;642;606;302;281;446;228;186;309;150;120;140;;46
27/09/2021;866;859;630;606;296;275;438;220;138;296;144;112;141;;53
28/09/2021;838;826;611;594;290;270;415;;171;280;;106;130;;57
29/09/2021;811;812;597;578;280;;382;;;260;;;115;;54
30/09/2021;792;789;577;;;;369;;;;;;;;52
