date;2_real_pessimiste_VE;2_red_pessimiste_VE;2_green_pessimiste_VE;2_blue_pessimiste_VE;3_real_pessimiste_VE;3_red_pessimiste_VE;3_green_pessimiste_VE;3_blue_pessimiste_VE
01/12/2021;1930;;;2120;1900;;;2030
02/12/2021;1990;;;2080;1980;;;2070
03/12/2021;2020;;;2130;2030;;;2140
04/12/2021;2140;;;2200;2150;;;2070
05/12/2021;2250;;;2240;2240;;;2180
06/12/2021;2310;;;2210;2320;;;2270
07/12/2021;2390;;;2290;2390;;;2290
08/12/2021;2420;;;2390;2420;;;2360
09/12/2021;2470;;;2440;2470;;;2430
10/12/2021;2550;;;2480;2560;;;2460
11/12/2021;2660;;;2530;2640;;;2530
12/12/2021;2740;;;2630;2750;;;2600
13/12/2021;2790;;;2670;2780;;;2630
14/12/2021;2810;;;2690;2810;;;2740
15/12/2021;2840;;;2780;2850;;;2770
16/12/2021;2900;;;2910;2890;;;2780
17/12/2021;2950;;;2970;2940;;;2890
18/12/2021;2990;;;3090;2990;;;3050
19/12/2021;3070;;;3030;3070;;;3060
20/12/2021;3100;;;3120;3090;;;3170
21/12/2021;3090;;;3180;3110;;;3190
22/12/2021;3130;;;3180;3120;;;3190
23/12/2021;3160;;;3210;3170;;;3270
24/12/2021;3210;;;3250;3200;;;3320
25/12/2021;3270;;;3360;3280;;;3370
26/12/2021;3330;;;3290;3330;;;3370
27/12/2021;3350;;;3340;3370;;;3420
28/12/2021;3390;;;3350;3400;;;3480
29/12/2021;3420;;;3360;3410;;;3510
30/12/2021;3450;;;3520;3440;;;3530
31/12/2021;3430;;;3450;3420;;;3570
01/01/2022;3500;;;3500;3520;;;3650
02/01/2022;3610;;;3540;3610;;;3680
03/01/2022;;;;3550;;;;3760
04/01/2022;;;;3560;;;;3810
05/01/2022;;;;3590;;;;3890
06/01/2022;;;;3660;;;;3950
07/01/2022;;;;3680;;;;4130
08/01/2022;;3800;;3730;;;;4210
09/01/2022;;3840;;3770;;4460;;4330
10/01/2022;;3870;3860;3810;;4630;4560;4470
11/01/2022;;3960;3930;3830;;4850;4720;4590
12/01/2022;;4040;3990;3870;;5000;4890;4760
13/01/2022;;4120;4050;3940;;5190;5040;4880
14/01/2022;;4200;4090;3990;;5460;5230;5040
