date;reality;projection;
01/01/2021;;;
02/01/2021;168;167;2
03/01/2021;168;168;3
04/01/2021;170;170;4
05/01/2021;172;170;5
06/01/2021;174;174;6
07/01/2021;175;175;7
08/01/2021;178;178;8
09/01/2021;181;182;9
10/01/2021;184;184;10
11/01/2021;189;187;11
12/01/2021;192;193;12
13/01/2021;198;197;13
14/01/2021;201;200;14
15/01/2021;206;206;15
16/01/2021;212;212;16
17/01/2021;217;217;17
18/01/2021;221;221;18
19/01/2021;227;227;19
20/01/2021;231;232;20
21/01/2021;234;234;21
22/01/2021;237;237;22
23/01/2021;239;239;23
24/01/2021;240;241;24
25/01/2021;242;242;25
26/01/2021;242;242;26
27/01/2021;241;242;27
28/01/2021;239;239;28
29/01/2021;239;239;29
30/01/2021;239;239;30
31/01/2021;239;239;31
01/02/2021;238;237;32
02/02/2021;237;237;33
03/02/2021;237;237;34
04/02/2021;237;237;35
05/02/2021;237;237;36
06/02/2021;237;237;37
07/02/2021;237;237;38
08/02/2021;237;237;39
09/02/2021;238;237;40
10/02/2021;236;236;41
11/02/2021;236;236;42
12/02/2021;236;235;43
13/02/2021;233;233;44
14/02/2021;233;233;45
15/02/2021;233;233;46
16/02/2021;233;233;47
17/02/2021;233;233;48
18/02/2021;234;233;49
19/02/2021;235;235;50
20/02/2021;238;239;51
21/02/2021;241;242;52
22/02/2021;244;246;53
23/02/2021;248;249;54
24/02/2021;252;253;55
25/02/2021;258;259;56
26/02/2021;261;263;57
27/02/2021;264;266;58
28/02/2021;269;270;59
01/03/2021;272;272;60
02/03/2021;274;275;61
03/03/2021;278;279;62
04/03/2021;280;281;63
05/03/2021;281;281;64
06/03/2021;284;284;65
07/03/2021;284;286;66
08/03/2021;287;288;67
09/03/2021;289;291;68
10/03/2021;293;293;69
11/03/2021;299;297;70
12/03/2021;301;303;71
13/03/2021;306;308;72
14/03/2021;311;314;73
15/03/2021;317;321;74
16/03/2021;324;326;75
17/03/2021;332;334;76
18/03/2021;338;340;77
19/03/2021;343;346;78
20/03/2021;350;353;79
21/03/2021;357;358;80
22/03/2021;363;365;81
23/03/2021;368;371;82
24/03/2021;375;378;83
25/03/2021;382;383;84
26/03/2021;388;390;85
27/03/2021;394;399;86
28/03/2021;403;404;87
29/03/2021;410;413;88
30/03/2021;416;419;89
31/03/2021;422;425;90
01/04/2021;428;433;91
02/04/2021;435;436;92
03/04/2021;439;442;93
04/04/2021;443;443;94
05/04/2021;444;445;95
06/04/2021;444;444;96
07/04/2021;442;443;97
08/04/2021;439;439;98
09/04/2021;436;435;99
10/04/2021;433;431;100
11/04/2021;428;428;101
12/04/2021;424;424;102
13/04/2021;420;419;103
14/04/2021;416;417;104
15/04/2021;413;414;105
16/04/2021;409;410;106
17/04/2021;407;407;107
18/04/2021;403;403;108
19/04/2021;399;400;109
20/04/2021;396;393;110
21/04/2021;390;387;111
22/04/2021;383;381;112
23/04/2021;376;373;113
24/04/2021;368;363;114
25/04/2021;358;356;115
26/04/2021;349;343;116
27/04/2021;337;332;117
28/04/2021;325;322;118
29/04/2021;315;307;119
30/04/2021;303;296;120
01/05/2021;287;280;121
02/05/2021;277;269;122
03/05/2021;264;258;123
04/05/2021;252;246;124
05/05/2021;241;232;125
06/05/2021;228;223;126
07/05/2021;218;210;127
08/05/2021;204;200;128
09/05/2021;194;193;129
10/05/2021;187;181;130
11/05/2021;176;173;131
12/05/2021;170;166;132
13/05/2021;162;159;133
14/05/2021;155;153;134
15/05/2021;150;147;135
16/05/2021;145;143;136
17/05/2021;140;139;137
18/05/2021;136;136;138
19/05/2021;133;131;139
20/05/2021;130;128;140
21/05/2021;125;125;141
22/05/2021;121;121;142
23/05/2021;118;116;143
24/05/2021;115;112;144
25/05/2021;111;109;145
26/05/2021;105;105;146
27/05/2021;103;102;147
28/05/2021;99;95;148
29/05/2021;94;92;149
30/05/2021;90;89;150
31/05/2021;87;85;151
01/06/2021;83;81;152
02/06/2021;78;78;153
03/06/2021;75;74;154
04/06/2021;72;;
05/06/2021;68;68;
06/06/2021;62;67;
07/06/2021;60;63;
08/06/2021;57;60;
09/06/2021;53;57;
10/06/2021;50;57;
11/06/2021;49;54;
12/06/2021;46;52;
13/06/2021;42;49;
14/06/2021;40;48;
15/06/2021;38;47;
16/06/2021;35;45;
17/06/2021;33;44;
18/06/2021;31;44;
19/06/2021;28;41;
20/06/2021;26;;
21/06/2021;24;;
22/06/2021;23;;
23/06/2021;20;;
24/06/2021;20;;
