date;reality;projection;
01/01/2021;167;;1
02/01/2021;169;;2
03/01/2021;169;;3
04/01/2021;172;;4
05/01/2021;174;;5
06/01/2021;174;;6
07/01/2021;179;;7
08/01/2021;179;;8
09/01/2021;183;;9
10/01/2021;186;;10
11/01/2021;188;;11
12/01/2021;194;;12
13/01/2021;198;;13
14/01/2021;202;;14
15/01/2021;207;;15
16/01/2021;211;;16
17/01/2021;219;;17
18/01/2021;222;;18
19/01/2021;227;;19
20/01/2021;231;;20
21/01/2021;238;;21
22/01/2021;239;;22
23/01/2021;241;;23
24/01/2021;244;;24
25/01/2021;243;;25
26/01/2021;244;;26
27/01/2021;244;;27
28/01/2021;244;;28
29/01/2021;243;;29
30/01/2021;240;;30
31/01/2021;238;;31
01/02/2021;239;;32
02/02/2021;239;;33
03/02/2021;239;;34
04/02/2021;239;;35
05/02/2021;239;;36
06/02/2021;239;;37
07/02/2021;239;;38
08/02/2021;241;;39
09/02/2021;238;;40
10/02/2021;239;;41
11/02/2021;239;;42
12/02/2021;239;;43
13/02/2021;238;;44
14/02/2021;233;;45
15/02/2021;234;;46
16/02/2021;234;;47
17/02/2021;234;;48
18/02/2021;234;;49
19/02/2021;239;;50
20/02/2021;238;;51
21/02/2021;242;;52
22/02/2021;246;;53
23/02/2021;251;;54
24/02/2021;254;;55
25/02/2021;258;;56
26/02/2021;263;;57
27/02/2021;265;;58
28/02/2021;268;;59
01/03/2021;274;;60
02/03/2021;275;;61
03/03/2021;280;;62
04/03/2021;283;;63
05/03/2021;283;;64
06/03/2021;286;;65
07/03/2021;288;;66
08/03/2021;289;;67
09/03/2021;292;;68
10/03/2021;295;;69
11/03/2021;298;;70
12/03/2021;304;;71
13/03/2021;307;;72
14/03/2021;314;;73
15/03/2021;320;;74
16/03/2021;325;;75
17/03/2021;337;;76
18/03/2021;342;;77
19/03/2021;348;;78
20/03/2021;354;;79
21/03/2021;362;;80
22/03/2021;366;;81
23/03/2021;375;;82
24/03/2021;379;;83
25/03/2021;385;;84
26/03/2021;392;;85
27/03/2021;395;;86
28/03/2021;401;;87
29/03/2021;407;406;88
30/03/2021;;415;
31/03/2021;;422;
01/04/2021;;427;
02/04/2021;;431;
03/04/2021;;434;
04/04/2021;;437;
05/04/2021;;443;
06/04/2021;;450;
07/04/2021;;456;
08/04/2021;;463;
09/04/2021;;463;
10/04/2021;;469;
11/04/2021;;;
12/04/2021;;;
13/04/2021;;;
14/04/2021;;;
15/04/2021;;;
16/04/2021;;;
17/04/2021;;;
18/04/2021;;;
19/04/2021;;;
20/04/2021;;;
21/04/2021;;;
22/04/2021;;;
23/04/2021;;;
24/04/2021;;;
25/04/2021;;;
26/04/2021;;;
27/04/2021;;;
28/04/2021;;;
29/04/2021;;;
30/04/2021;;;
01/05/2021;;;
02/05/2021;;;
03/05/2021;;;
04/05/2021;;;
05/05/2021;;;
06/05/2021;;;
07/05/2021;;;
08/05/2021;;;
09/05/2021;;;
10/05/2021;;;
11/05/2021;;;
12/05/2021;;;
13/05/2021;;;
14/05/2021;;;
15/05/2021;;;
16/05/2021;;;
17/05/2021;;;
18/05/2021;;;
19/05/2021;;;
20/05/2021;;;
21/05/2021;;;
22/05/2021;;;
23/05/2021;;;
24/05/2021;;;
25/05/2021;;;
26/05/2021;;;
27/05/2021;;;
28/05/2021;;;
29/05/2021;;;
30/05/2021;;;
31/05/2021;;;
01/06/2021;;;
