date;10d_low_blue_full;10d_low_blue_dashed;10d_low_blue_dots;10d_low_purple_full;10d_low_purple_dashed;10d_low_purple_dots;10d_low_pink_full;10d_low_pink_dashed;10d_low_pink_dots;14d_high_blue_full;14d_high_blue_dashed;14d_high_purple_full;14d_high_purple_dashed;14d_high_pink_full;14d_high_pink_dashed
27/07/2021;443;443;440;440;440;440;440;440;440;562;562;562;562;562;562
28/07/2021;496;533;496;496;496;496;496;496;496;617;617;599;599;599;599
29/07/2021;531;527;531;531;531;531;531;531;531;638;643;667;667;667;667
30/07/2021;585;586;585;585;585;585;585;585;585;710;710;708;708;708;708
31/07/2021;648;648;648;648;648;648;648;648;648;777;777;767;767;801;880
01/08/2021;696;695;696;696;696;696;696;696;696;845;845;807;807;996;1021
02/08/2021;779;784;779;779;779;779;779;779;779;906;906;961;961;822;821
03/08/2021;840;802;840;840;840;840;840;840;840;1032;1032;976;976;1127;1126
04/08/2021;942;948;942;942;942;942;942;942;942;1090;1090;1129;1153;918;918
05/08/2021;1049;1048;1049;1049;1049;1049;1049;1049;1049;1196;1196;1171;1169;1163;1163
06/08/2021;1108;1107;1108;1108;1108;1078;1078;1212;1212;1332;1332;1282;1282;1429;1428
07/08/2021;1247;1257;1250;1167;1167;1174;1174;1146;1146;1394;1394;1418;1418;1227;1231
08/08/2021;1400;1312;1372;1301;1301;1300;1300;1351;1351;1489;1489;1514;1514;1400;1381
09/08/2021;1563;1492;1527;1412;1412;1412;1374;1421;1373;1681;1681;1631;1631;1530;1682
10/08/2021;1653;1567;1640;1511;1511;1512;1480;1499;1427;1828;1828;1761;1761;1713;1650
11/08/2021;1804;1747;1790;1644;1644;1640;1545;1560;1501;1994;1994;1929;1928;1808;1735
12/08/2021;1987;1950;1983;1755;1755;1794;1681;1606;1603;2227;2227;2082;2084;1867;1871
13/08/2021;2154;2041;2069;1866;1866;1886;1775;1711;1694;2373;2374;2279;2217;2009;2010
14/08/2021;2299;2243;2242;2046;2046;2059;1915;1860;1896;2582;2580;2460;2351;2151;2151
15/08/2021;2484;2446;2449;2138;2279;2136;1982;1979;1981;2779;2785;2572;2480;2265;2263
16/08/2021;2672;2650;2651;2330;2269;2274;2086;2034;2092;3046;2930;2881;2673;2502;2497
17/08/2021;2847;2827;2736;2366;2421;2380;2194;2164;1990;3400;3209;3141;2761;2460;2422
18/08/2021;3082;2979;2960;2700;2516;2525;2311;2251;2181;3583;3406;3400;3010;2689;2702
19/08/2021;3287;3148;3112;2891;2580;2748;2356;2348;2258;3785;3642;3580;3171;2786;2727
20/08/2021;3588;3359;3095;2979;2766;2855;2516;2400;2315;4110;4140;3781;3291;2814;2789
21/08/2021;3818;3581;3251;3249;3084;2861;2614;2470;2246;4474;4564;4013;3643;2944;2813
22/08/2021;4124;3596;3467;3446;3026;3029;2645;2588;2278;4640;4745;4328;3718;3159;3059
23/08/2021;4472;3737;3697;3654;3210;3049;2802;2513;2326;4994;4964;4447;4166;3283;3139
24/08/2021;4673;3754;3647;3812;3360;3048;2783;2397;2363;5427;5317;4547;4368;3380;3245
25/08/2021;4867;3962;3661;3933;3493;3121;2942;2432;2318;5806;5594;5067;4630;3619;3327
26/08/2021;5154;4144;3823;4180;3605;3210;2921;2525;2312;6274;6001;5271;4790;3587;3451
27/08/2021;5459;4342;4078;4345;3657;3282;3009;2558;2313;6687;6247;5527;5061;3813;3519
28/08/2021;5689;4544;4167;4459;3751;3276;3034;2555;2319;7093;6535;5763;5157;3966;3647
29/08/2021;6143;4503;4221;4615;3795;3299;3089;2550;2331;7436;6751;6149;5163;4099;3733
30/08/2021;6316;4778;4228;4766;3845;3331;3088;2553;2301;7825;6980;6289;5311;4197;3807
31/08/2021;6522;4939;4311;4847;3864;3360;3163;2641;2270;8265;7447;6559;5855;4235;3935
01/09/2021;6621;4999;4403;5009;3944;3346;3189;2567;2247;8743;7715;6767;5980;4549;3935
02/09/2021;6865;5101;4412;5189;3975;3343;3199;2507;2244;9199;8483;6945;6124;4538;4092
03/09/2021;7088;5187;4418;5237;3920;3346;3240;2506;2198;9593;8811;7226;6341;4705;4121
04/09/2021;7250;5381;4429;5347;3920;3362;3235;2481;2138;9996;8983;7508;6494;4771;4131
05/09/2021;7435;5402;4442;5445;3919;3319;3235;2397;2085;10419;9392;7549;6911;4837;4234
06/09/2021;7582;5396;4472;5466;3949;3273;3231;2311;2046;10887;9784;8010;7005;4875;4206
07/09/2021;7740;5311;4426;5581;3857;3238;3268;2271;2005;11197;9876;8200;7037;4905;4285
08/09/2021;7847;5212;4365;5637;3940;3233;3230;2281;1962;11654;10344;8458;7254;4969;4357
09/09/2021;7954;5211;4313;5671;3799;3176;3198;2224;1931;12033;10474;8684;7618;4996;4475
10/09/2021;8016;5233;4318;5701;3786;3102;3165;2199;1871;12319;10843;8869;7818;5136;4539
11/09/2021;8153;5106;4243;5709;3761;3034;3154;2121;1796;12644;11203;9058;7931;5105;4546
12/09/2021;8184;5013;4149;5710;3631;3070;3073;2048;1730;12946;11448;9261;8121;5130;4592
13/09/2021;8183;4992;4078;5708;3561;2996;3091;1981;1721;13344;11659;9420;8159;5176;4637
14/09/2021;8184;4899;4106;5707;3460;2870;3003;1935;1652;13542;12026;9607;8534;5178;4599
15/09/2021;8170;4884;3988;5650;3386;2747;2999;1929;1553;13816;12260;9739;8666;5198;4659
16/09/2021;8115;4771;3857;5634;3372;2664;2927;1785;1498;14046;12545;9873;8757;5304;4650
17/09/2021;8063;4750;3840;5588;3224;2607;2956;1741;1445;14247;12447;10010;8874;5313;4751
18/09/2021;7959;4599;3735;5498;3257;2593;2736;1574;1382;14391;12817;10091;8905;5371;4738
