date;RedVacc;RedR;OrangeR;LightBlueR;DarkBlueR
01/08/2021;120;121;121;121;121
02/08/2021;132;133;133;133;133
03/08/2021;143;143;143;143;143
04/08/2021;154;155;155;155;155
05/08/2021;168;172;165;165;165
06/08/2021;182;189;187;178;178
07/08/2021;196;203;196;190;186
08/08/2021;211;216;209;200;190
09/08/2021;225;229;221;207;195
10/08/2021;250;247;235;217;200
11/08/2021;265;263;246;222;203
12/08/2021;282;283;260;229;203
13/08/2021;297;298;272;234;203
14/08/2021;317;319;285;240;203
15/08/2021;332;335;296;244;200
16/08/2021;355;355;308;249;198
17/08/2021;371;372;319;251;195
18/08/2021;391;393;331;253;192
19/08/2021;408;409;341;256;188
20/08/2021;427;428;352;256;183
21/08/2021;444;445;360;257;181
22/08/2021;461;459;367;257;176
23/08/2021;475;476;375;256;171
24/08/2021;491;491;382;256;166
25/08/2021;504;505;387;253;160
26/08/2021;518;515;392;251;155
27/08/2021;526;527;396;249;149
28/08/2021;537;536;399;246;144
29/08/2021;544;545;401;241;138
30/08/2021;551;550;401;239;133
31/08/2021;557;558;401;234;127
01/09/2021;561;561;401;229;123
02/09/2021;564;564;401;224;118
03/09/2021;564;565;399;220;113
04/09/2021;564;565;394;215;108
05/09/2021;562;564;392;210;103
06/09/2021;560;560;387;205;98
07/09/2021;554;555;382;200;94
08/09/2021;548;548;375;193;89
09/09/2021;539;541;369;188;85
10/09/2021;532;531;360;181;81
11/09/2021;521;522;353;176;77
12/09/2021;509;510;344;171;73
13/09/2021;497;501;336;165;69
14/09/2021;486;487;327;159;67
15/09/2021;472;476;319;154;63
16/09/2021;461;462;309;149;60
17/09/2021;445;450;302;144;57
18/09/2021;433;435;292;138;55
19/09/2021;419;423;284;135;52
20/09/2021;406;407;274;129;50
21/09/2021;391;394;266;125;47
22/09/2021;378;379;256;120;45
23/09/2021;363;367;249;115;43
24/09/2021;352;353;239;112;40
25/09/2021;337;341;232;108;39
26/09/2021;325;329;224;104;38
27/09/2021;310;314;215;101;35
28/09/2021;299;303;207;97;34
29/09/2021;286;290;200;94;33
30/09/2021;275;278;193;91;30
01/10/2021;;268;187;;
