date;reality;projection;
01/01/2021;;166;1
02/01/2021;168;168;2
03/01/2021;168;170;3
04/01/2021;170;171;4
05/01/2021;172;172;5
06/01/2021;174;175;6
07/01/2021;175;178;7
08/01/2021;178;180;8
09/01/2021;181;184;9
10/01/2021;184;186;10
11/01/2021;189;191;11
12/01/2021;192;196;12
13/01/2021;198;200;13
14/01/2021;201;205;14
15/01/2021;206;211;15
16/01/2021;212;214;16
17/01/2021;217;221;17
18/01/2021;221;227;18
19/01/2021;227;230;19
20/01/2021;231;234;20
21/01/2021;234;237;21
22/01/2021;237;239;22
23/01/2021;239;241;23
24/01/2021;240;242;24
25/01/2021;242;242;25
26/01/2021;242;241;26
27/01/2021;241;239;27
28/01/2021;239;239;28
29/01/2021;239;239;29
30/01/2021;239;239;30
31/01/2021;239;238;31
01/02/2021;238;237;32
02/02/2021;237;237;33
03/02/2021;237;237;34
04/02/2021;237;237;35
05/02/2021;237;237;36
06/02/2021;237;237;37
07/02/2021;237;237;38
08/02/2021;237;238;39
09/02/2021;238;236;40
10/02/2021;236;236;41
11/02/2021;236;236;42
12/02/2021;236;234;43
13/02/2021;233;233;44
14/02/2021;233;233;45
15/02/2021;233;233;46
16/02/2021;233;233;47
17/02/2021;233;233;48
18/02/2021;234;235;49
19/02/2021;235;237;50
20/02/2021;238;240;51
21/02/2021;241;245;52
22/02/2021;244;247;53
23/02/2021;248;252;54
24/02/2021;252;257;55
25/02/2021;258;260;56
26/02/2021;261;264;57
27/02/2021;264;268;58
28/02/2021;269;272;59
01/03/2021;272;274;60
02/03/2021;274;277;61
03/03/2021;278;279;62
04/03/2021;280;282;63
05/03/2021;281;284;64
06/03/2021;284;284;65
07/03/2021;284;287;66
08/03/2021;287;289;67
09/03/2021;289;293;68
10/03/2021;293;296;69
11/03/2021;299;300;70
12/03/2021;301;306;71
13/03/2021;306;310;72
14/03/2021;311;318;73
15/03/2021;317;324;74
16/03/2021;324;331;75
17/03/2021;332;338;76
18/03/2021;338;342;77
19/03/2021;343;350;78
20/03/2021;350;356;79
21/03/2021;357;362;80
22/03/2021;363;370;81
23/03/2021;368;375;82
24/03/2021;375;382;83
25/03/2021;382;388;84
26/03/2021;388;394;85
27/03/2021;394;403;86
28/03/2021;403;409;87
29/03/2021;410;417;88
30/03/2021;416;423;89
31/03/2021;422;429;90
01/04/2021;428;435;91
02/04/2021;435;440;92
03/04/2021;439;444;93
04/04/2021;443;444;94
05/04/2021;444;444;95
06/04/2021;444;443;96
07/04/2021;442;440;97
08/04/2021;439;437;98
09/04/2021;436;433;99
10/04/2021;433;429;100
11/04/2021;428;425;101
12/04/2021;424;422;102
13/04/2021;420;418;103
14/04/2021;416;414;104
15/04/2021;413;410;105
16/04/2021;409;408;106
17/04/2021;407;404;107
18/04/2021;403;402;108
19/04/2021;399;396;109
20/04/2021;396;392;110
21/04/2021;390;384;111
22/04/2021;383;376;112
23/04/2021;376;368;113
24/04/2021;368;360;114
25/04/2021;358;348;115
26/04/2021;349;337;116
27/04/2021;337;326;117
28/04/2021;325;313;118
29/04/2021;315;302;119
30/04/2021;303;287;120
01/05/2021;287;277;121
02/05/2021;277;263;122
03/05/2021;264;249;123
04/05/2021;252;238;124
05/05/2021;241;227;125
06/05/2021;228;215;126
07/05/2021;218;205;127
08/05/2021;204;193;128
09/05/2021;194;184;129
10/05/2021;187;176;130
11/05/2021;176;169;131
12/05/2021;170;162;132
13/05/2021;162;156;133
14/05/2021;155;149;134
15/05/2021;150;142;135
16/05/2021;145;134;136
17/05/2021;140;128;137
18/05/2021;136;121;138
19/05/2021;133;115;139
20/05/2021;130;112;140
21/05/2021;125;108;141
22/05/2021;121;;
23/05/2021;118;;
24/05/2021;115;88;
25/05/2021;111;85;
26/05/2021;105;81;
27/05/2021;103;78;
28/05/2021;99;74;
29/05/2021;94;72;
30/05/2021;90;68;
31/05/2021;87;66;
01/06/2021;83;64;
02/06/2021;78;60;
03/06/2021;75;60;
04/06/2021;72;57;
05/06/2021;68;55;
06/06/2021;62;53;
07/06/2021;60;;
08/06/2021;57;;
09/06/2021;53;;
10/06/2021;50;;
11/06/2021;49;;
12/06/2021;46;;
13/06/2021;42;;
14/06/2021;40;;
15/06/2021;38;;
16/06/2021;35;;
17/06/2021;33;;
18/06/2021;31;;
19/06/2021;28;;
20/06/2021;26;;
21/06/2021;24;;
22/06/2021;23;;
23/06/2021;20;;
24/06/2021;20;;
