date;rea_bed_14rate;rea_bed_22rate
23/09/2020;741;1120
24/09/2020;804;1215
25/09/2020;804;1279
26/09/2020;867;1342
27/09/2020;930;1405
28/09/2020;1025;1469
29/09/2020;1057;1532
30/09/2020;1057;1659
01/10/2020;1120;1722
02/10/2020;1215;1817
03/10/2020;1279;1912
04/10/2020;1342;2039
05/10/2020;1405;2102
06/10/2020;1532;2260
07/10/2020;1564;2355
08/10/2020;1659;2514
09/10/2020;1754;2609
10/10/2020;1849;2767
11/10/2020;1944;2893
12/10/2020;2070;3052
13/10/2020;2165;3210
14/10/2020;2292;3432
15/10/2020;2419;3590
16/10/2020;2514;3780
17/10/2020;2672;4002
18/10/2020;2862;4255
19/10/2020;2988;4477
20/10/2020;3115;4698
21/10/2020;3273;4888
22/10/2020;3495;5236
23/10/2020;3653;5521
24/10/2020;3875;5806
25/10/2020;4033;6028
26/10/2020;4318;6471
27/10/2020;4540;6756
28/10/2020;4730;7104
29/10/2020;4920;7421
30/10/2020;5236;7959
31/10/2020;5553;8276
01/11/2020;5806;8719
02/11/2020;6091;9131
03/11/2020;6439;9637
04/11/2020;6693;10080
05/11/2020;7009;10587
06/11/2020;7358;11062
07/11/2020;7706;11695
08/11/2020;8086;12202
09/11/2020;8434;12740
10/11/2020;8814;13342
11/11/2020;9289;14006
12/11/2020;9637;14545
13/11/2020;10049;15146
14/11/2020;10429;15779
15/11/2020;10904;16603
16/11/2020;11347;17173
17/11/2020;11695;17774
18/11/2020;12328;18407
19/11/2020;12898;19294
20/11/2020;13120;19927
21/11/2020;13500;20529
22/11/2020;13848;21193
23/11/2020;14418;22048
24/11/2020;14861;22682
25/11/2020;15241;23378
26/11/2020;15589;23980
27/11/2020;16128;24771
28/11/2020;16539;25436
29/11/2020;16888;26006
30/11/2020;17204;26544
01/12/2020;17616;27241
02/12/2020;17932;27779
03/12/2020;18281;28254
04/12/2020;18566;28760
05/12/2020;18914;29362
06/12/2020;19104;29774
07/12/2020;19357;30153
08/12/2020;19579;30502
09/12/2020;19832;30945
10/12/2020;19959;31230
11/12/2020;20085;31452
12/12/2020;20212;31673
13/12/2020;20370;31958
14/12/2020;20402;32085
15/12/2020;20434;32148
16/12/2020;20465;32275
17/12/2020;20497;32338
18/12/2020;20465;32338
19/12/2020;20402;32275
20/12/2020;20370;32211
21/12/2020;20275;32085
22/12/2020;20149;31958
23/12/2020;20022;31800
24/12/2020;19895;31610
25/12/2020;19705;31325
26/12/2020;19515;31072
27/12/2020;19325;30755
28/12/2020;19135;30533
29/12/2020;18851;30122
30/12/2020;18692;29837
