date;15_fevrier_vacc;15_frevrier_no_vacc;15_mars_vacc;15_mars_no_vacc;15_avril_vacc;15_avril_no_vacc
01/01/2021;;;3176;;2896;2989
02/01/2021;;;3174;;2896;2989
03/01/2021;;;3177;;2896;2989
04/01/2021;;;3173;;2895;2988
05/01/2021;;;3182;;2898;2991
06/01/2021;;;3162;;2891;2984
07/01/2021;;;3180;;2902;2995
08/01/2021;;;3227;;2985;3079
09/01/2021;;;3283;;2992;3086
10/01/2021;;;3333;;2990;3080
11/01/2021;;;3362;;2981;3083
12/01/2021;;;3296;;3018;3082
13/01/2021;;;3052;;3091;3083
14/01/2021;;;3086;;3081;3082
15/01/2021;;;3101;;3076;3077
16/01/2021;;;2863;;3155;3154
17/01/2021;;;2783;;3184;3184
18/01/2021;;;2793;;3173;3173
19/01/2021;;;2809;;3177;3177
20/01/2021;;;2835;;3175;3175
21/01/2021;;;2869;;3176;3176
22/01/2021;;;2906;;3178;3178
23/01/2021;;;2943;;3166;3166
24/01/2021;;;2975;;3226;3226
25/01/2021;;;3016;;3279;3279
26/01/2021;;;2970;;3267;3267
27/01/2021;;;3006;;3269;3270
28/01/2021;;;3256;;3269;3270
29/01/2021;;;3277;;3269;3261
30/01/2021;;;3286;;3269;3330
31/01/2021;;;3162;;3269;3372
01/02/2021;;;2895;;3269;3360
02/02/2021;;;3012;;3269;3363
03/02/2021;;;3147;;3269;3363
04/02/2021;;;3306;;3271;3362
05/02/2021;3365;;3468;;3257;3363
06/02/2021;3354;;3609;;3336;3362
07/02/2021;3396;;3706;;3329;3365
08/02/2021;3479;;3727;;3274;3357
09/02/2021;3567;3639;3484;;3379;3371
10/02/2021;3730;3641;3184;;3455;3454
11/02/2021;3888;3727;3147;;3458;3457
12/02/2021;3991;3724;3189;;3455;3464
13/02/2021;4073;3827;3175;;3457;3408
14/02/2021;4147;3959;3163;;3455;3352
15/02/2021;4233;4058;3181;;3457;3365
16/02/2021;4404;4318;3208;;3455;3362
17/02/2021;4566;4562;3241;;3451;3361
18/02/2021;4638;4641;3278;;3533;3370
19/02/2021;4827;4826;3315;;3547;3331
20/02/2021;5086;5086;3346;;3589;3382
21/02/2021;5312;5312;3387;;3653;3429
22/02/2021;5563;5563;3350;;3641;3483
23/02/2021;5888;5888;3364;;3643;3540
24/02/2021;6280;6278;3612;;3643;3592
25/02/2021;6702;6714;3660;;3643;3633
26/02/2021;6972;6909;3636;;3643;3639
27/02/2021;7269;7202;3645;;3643;3543
28/02/2021;7687;7699;3642;;3643;3529
01/03/2021;8083;8081;3643;;3643;3515
02/03/2021;8562;8562;3643;;3643;3501
03/03/2021;9136;9135;3643;3677;3643;3486
04/03/2021;9528;9530;3643;3625;3643;3473
05/03/2021;10101;10092;3643;3656;3643;3459
06/03/2021;10602;10630;3641;3620;3643;3446
07/03/2021;10965;11029;3647;3689;3643;3433
08/03/2021;11717;11714;3640;3931;3643;3421
09/03/2021;12350;12349;3625;3930;3643;3410
10/03/2021;12979;12971;3882;3912;3643;3400
11/03/2021;13629;13667;3837;3972;3643;3390
12/03/2021;14528;14378;3914;4066;3643;3382
13/03/2021;15349;15119;4144;4117;3641;3375
14/03/2021;15760;15774;4110;4109;3646;3370
15/03/2021;16320;16246;4202;4201;3643;3365
16/03/2021;17141;17126;4352;4522;3561;3363
17/03/2021;17777;17784;4590;4718;3544;3424
18/03/2021;18614;18613;4768;4864;3549;3456
19/03/2021;19627;19620;4967;5011;3556;3495
