date,reality,fig3A_R_1,fig3A_R_1_1,fig3A_R_1_2,fig3A_R_1_3,fig3C_R_1,fig3C_R_1_1,fig3C_R_1_2,fig3C_R_1_3,fig3E_R_1
2021-04-01,5196.157379,5205.72673,,,,5252.57767,,,,5151.608593
2021-04-02,5308.549493,5251.400737,,,,5313.096755,,,,5207.961884
2021-04-03,5471.925276,5351.584675,,,,5396.393446,,,,5270.521215
2021-04-04,5571.955488,5433.309155,,,,5433.188815,,,,5375.114655
2021-04-05,5657.572896,5500.890604,,,,5506.244067,,,,5446.721405
2021-04-06,5670.37916,5558.977911,,,,5564.628213,,,,5518.22733
2021-04-07,5701.998714,5603.294253,,,,5617.112506,,,,5573.065354
2021-04-08,5732.223598,5730.719231,,,,5681.179064,,,,5610.618872
2021-04-09,5804.808176,5781.382567,,,,5723.607986,,,,5687.253066
2021-04-10,5912.406749,5852.675208,,,,5741.719153,,,,5695.609905
2021-04-11,5936.254991,5857.009395,,,,5799.230326,,,,5757.940586
2021-04-12,5922.009328,5864.840723,,,,5828.438812,,,,5784.336126
2021-04-13,5880.045201,5875.451485,,,,5843.245726,,,,5798.96757
2021-04-14,5839.878544,5871.560598,,,,5865.693473,,,,5809.943083
2021-04-15,5826.999891,5900.637169,,,,5889.04383,,,,5849.192177
2021-04-16,5828.081464,5928.151689,,,,5912.17057,,,,5860.353065
2021-04-17,5855.621254,5928.441704,,,,5899.948268,,,,5901.755541
2021-04-18,5928.155802,5915.462897,,,,5899.868548,,,,5890.189342
2021-04-19,5940.066493,5884.78474,,,,5899.853094,,,,5914.101738
2021-04-20,5862.637825,5883.594374,,,,5900.365865,,,,5898.549685
2021-04-21,5846.560379,5918.160185,,,,5881.706814,,,,5898.77972
2021-04-22,5839.224599,5833.175828,,,,5868.423769,,,,5870.019801
2021-04-23,5872.514242,5816.044076,,,,5844.351049,,,,5870.880775
2021-04-24,5924.026875,5796.41025,,,,5812.031394,,,,5856.879439
2021-04-25,5915.881443,5771.004134,,,,5780.212575,,,,5842.386107
2021-04-26,5789.641164,5743.501664,,,,5747.822926,,,,5775.75717
2021-04-27,5682.550783,5703.119941,,,,5690.752439,,,,5717.696457
2021-04-28,5570.043341,5696.313195,,,,5622.77327,,,,5665.308208
2021-04-29,5493.383374,5646.762006,,,,5571.539774,,,,5598.046318
2021-04-30,5529.163903,5580.632588,,,,5533.961462,,,,5547.694913
2021-05-01,5539.926701,5539.840243,,,,5487.52534,,,,5509.016676
2021-05-02,5442.408968,5437.282884,,,,5435.679624,,,,5447.539901
2021-05-03,5295.845917,5360.16994,,,,5329.083881,,,,5403.027847
2021-05-04,5130.252303,5257.231402,,,,5223.277508,,,,5265.379895
2021-05-05,5056.905844,5105.595573,,,,5064.783831,,,,5109.143505
2021-05-06,4919.196672,5019.574995,,,,4948.417669,,,,4988.642812
2021-05-07,4812.821572,4865.775363,,,,4822.788626,,,,4900.276953
2021-05-08,4664.491122,4727.387775,,,,4730.576302,,,,4792.330635
2021-05-09,4561.3061,4602.274383,,,,4605.955337,,,,4625.437188
2021-05-10,4455.524016,4499.808265,,,,4439.541208,,,,4499.273043
2021-05-11,4367.095698,4428.773868,,,,4297.333632,,,,4357.048946
2021-05-12,4267.858687,4255.104531,,,,4158.011983,,,,4215.13048
2021-05-13,4208.57159,4115.322052,,,,4030.617827,,,,4094.993916
2021-05-14,,3966.716255,,,,3867.848475,,,,3927.198745
2021-05-15,,3803.860828,,,,3748.543043,,,,3781.68571
2021-05-16,,3672.823653,,,,3598.741233,,,,3626.620504
2021-05-17,,3562.203941,,,,3493.558847,,,,3500.530662
2021-05-18,,3438.571944,,,,3401.312137,,,,3371.586859
2021-05-19,,3297.141377,,,,3309.581519,,,,3262.542062
2021-05-20,,3183.481247,,,,3181.895566,,,,3135.541735
2021-05-21,,3067.808272,,,,3071.107469,,,,2982.848724
2021-05-22,,2977.127011,,,,2927.432049,,,,2877.422882
2021-05-23,,2862.798258,,,,2808.210526,,,,2768.287799
2021-05-24,,2740.982568,,,,2686.988249,,,,2643.982477
2021-05-25,,2636.657797,,,,2564.423969,,,,2531.893143
2021-05-26,,2547.393326,,,,2434.100101,,,,2440.340296
2021-05-27,,2444.884889,,,,2316.632396,,,,2315.10505
2021-05-28,,2355.303728,,,,2237.9238,,,,2209.2341
2021-05-29,,2288.719618,,,,2146.243383,,,,2125.839761
2021-05-30,,2177.498646,,,,2069.15872,,,,2038.344062
2021-05-31,,2106.938206,,,,1996.484774,,,,1934.101151
2021-06-01,,1981.643945,,,,1924.779374,,,,1830.813036
2021-06-02,,1883.46393,1821.567225,1969.787522,1984.804431,1850.992792,,,,1743.510959
2021-06-03,,1817.082174,1862.680383,1902.046975,1899.31918,1767.445625,,,1826.345365,1662.653795
2021-06-04,,1756.626402,1795.94949,1828.699013,1828.857936,1682.514454,,,1756.608336,1608.044154
2021-06-05,,1717.349128,1719.945068,1772.226122,1784.410127,1609.822053,,,1697.996885,1519.267859
2021-06-06,,1662.217529,1638.323944,1733.558008,1732.615416,1515.037642,,,1635.966888,1437.342046
2021-06-07,,1584.817027,1596.252066,1675.669791,1684.528834,1468.960387,1522.719302,,1573.99747,1366.542992
2021-06-08,,1527.375822,1545.932263,1638.113274,1659.435291,1388.269329,1508.348324,1514.228967,1527.689005,1282.390275
2021-06-09,,1466.417387,1498.838984,1593.406234,1620.390565,1330.531402,1394.806015,1457.727468,1465.117717,1210.58326
2021-06-10,,1391.218036,1419.462703,1556.697029,1601.974987,1264.99097,1324.374793,1403.755269,1424.784547,1140.329987
2021-06-11,,1326.251345,1381.191287,1526.859861,1579.12066,1215.000648,1274.191312,1364.539393,1386.488337,1085.325529
2021-06-12,,1270.432784,1337.85667,1487.766023,1563.920785,1179.830551,1234.668405,1309.354869,1361.552314,1043.002359
2021-06-13,,1216.322931,1293.68704,1414.123677,1521.037105,1121.049371,1172.246006,1263.667299,1310.537873,987.2419737
2021-06-14,,1188.300091,1252.097615,1376.231772,1520.433853,1089.288625,1128.448766,1236.566916,1274.921153,913.9783634
2021-06-15,,1147.727297,1221.779143,1347.624917,1492.113954,1043.015379,1089.25054,1217.042326,1255.000681,855.6786321
2021-06-16,,1105.697203,1194.450234,1334.932627,1464.434828,991.8586595,1043.042467,1153.630341,1220.963382,833.6991882
2021-06-17,,1048.311715,1158.871921,1291.203554,1450.265957,955.1042963,1006.336275,1130.145961,1191.251132,775.1172961
2021-06-18,,1006.857867,1109.591281,1280.949849,1434.708797,920.2046518,969.9546224,1094.749784,1181.482441,717.0910968
2021-06-19,,980.9433771,1075.857077,1267.312605,1423.516158,871.6998474,934.0112607,1070.903531,1170.02774,675.4764854
2021-06-20,,964.8657473,1049.949095,1248.286803,1421.634718,835.6716772,909.6447157,1033.584988,1133.491739,651.6486833
2021-06-21,,941.8909446,1030.3714,1249.804782,1430.534677,773.24033,895.7375753,998.1224905,1120.604665,615.3414001
2021-06-22,,924.0600466,1026.057689,1238.324694,1426.835038,755.9628047,869.4208858,970.8767871,1102.976978,575.2056701
2021-06-23,,902.9468666,1027.365448,1222.41148,1430.443856,700.5374887,852.711378,951.8947047,1088.480031,545.6791937
2021-06-24,,876.9901551,986.790044,1194.482194,1418.173228,685.2115281,816.052847,907.1452039,1064.22147,516.9263432
2021-06-25,,851.1535617,999.5786973,1199.854645,1442.220628,654.6531248,804.2914249,888.2613424,1045.028183,490.4925702
2021-06-26,,831.185362,975.6422419,1193.801092,1449.386686,627.8815497,764.6663435,864.9823186,1022.564659,473.8528949
2021-06-27,,787.718655,957.0327838,1159.907169,1449.06192,597.8929208,729.7713711,847.7549531,1023.005663,430.8273094
