date;RedVacc;BlueVacc;GreenVacc;RedR;OrangeR;LightBlueR;DarkBlueR
01/08/2021;120;120;120;121;121;121;121
02/08/2021;132;132;132;133;133;133;133
03/08/2021;143;143;143;143;143;143;143
04/08/2021;154;154;154;155;155;155;155
05/08/2021;168;168;168;172;165;165;165
06/08/2021;182;182;182;189;187;178;178
07/08/2021;196;196;196;203;196;190;186
08/08/2021;211;211;211;216;209;200;190
09/08/2021;225;225;225;229;221;207;195
10/08/2021;250;244;242;247;235;217;200
11/08/2021;265;260;254;263;246;222;203
12/08/2021;282;277;271;283;260;229;203
13/08/2021;297;289;282;298;272;234;203
14/08/2021;317;306;302;319;285;240;203
15/08/2021;332;321;309;335;296;244;200
16/08/2021;355;338;323;355;308;249;198
17/08/2021;371;352;334;372;319;251;195
18/08/2021;391;369;348;393;331;253;192
19/08/2021;408;381;356;409;341;256;188
20/08/2021;427;395;367;428;352;256;183
21/08/2021;444;408;376;445;360;257;181
22/08/2021;461;420;384;459;367;257;176
23/08/2021;475;430;389;476;375;256;171
24/08/2021;491;440;395;491;382;256;166
25/08/2021;504;447;398;505;387;253;160
26/08/2021;518;455;402;515;392;251;155
27/08/2021;526;461;403;527;396;249;149
28/08/2021;537;465;405;536;399;246;144
29/08/2021;544;468;406;545;401;241;138
30/08/2021;551;469;406;550;401;239;133
31/08/2021;557;470;405;558;401;234;127
01/09/2021;561;469;403;561;401;229;123
02/09/2021;564;469;402;564;401;224;118
03/09/2021;564;466;401;565;399;220;113
04/09/2021;564;463;398;565;394;215;108
05/09/2021;562;458;395;564;392;210;103
06/09/2021;560;454;392;560;387;205;98
07/09/2021;554;448;389;555;382;200;94
08/09/2021;548;442;387;548;375;193;89
09/09/2021;539;435;381;541;369;188;85
10/09/2021;532;430;378;531;360;181;81
11/09/2021;521;422;373;522;353;176;77
12/09/2021;509;415;367;510;344;171;73
13/09/2021;497;406;362;501;336;165;69
14/09/2021;486;398;356;487;327;159;67
15/09/2021;472;388;350;476;319;154;63
16/09/2021;461;381;345;462;309;149;60
17/09/2021;445;370;337;450;302;144;57
18/09/2021;433;362;331;435;292;138;55
19/09/2021;419;352;323;423;284;135;52
20/09/2021;406;343;317;407;274;129;50
21/09/2021;391;334;309;394;266;125;47
22/09/2021;378;324;300;379;256;120;45
23/09/2021;363;314;292;367;249;115;43
24/09/2021;352;304;284;353;239;112;40
25/09/2021;337;293;275;341;232;108;39
26/09/2021;325;285;270;329;224;104;38
27/09/2021;310;274;258;314;215;101;35
28/09/2021;299;265;253;303;207;97;34
29/09/2021;286;256;242;290;200;94;33
30/09/2021;275;246;236;278;193;91;30
01/10/2021;;;;268;187;;
