date;reality;projection
01/10/2021;2160;
02/10/2021;2150;
03/10/2021;2100;
04/10/2021;2090;
05/10/2021;2060;
06/10/2021;2030;
07/10/2021;2000;
08/10/2021;1970;
09/10/2021;1960;
10/10/2021;1940;
11/10/2021;1940;
12/10/2021;1940;
13/10/2021;1940;
14/10/2021;1940;
15/10/2021;1940;
16/10/2021;1940;
17/10/2021;1940;
18/10/2021;1980;
19/10/2021;2000;
20/10/2021;2010;
21/10/2021;2030;
22/10/2021;2070;
23/10/2021;2080;
24/10/2021;2130;
25/10/2021;2170;
26/10/2021;2190;
27/10/2021;2230;
28/10/2021;2250;
29/10/2021;2290;
30/10/2021;2330;
31/10/2021;2380;
01/11/2021;2430;
02/11/2021;2440;
03/11/2021;2480;
04/11/2021;2500;
05/11/2021;2540;
06/11/2021;2580;
07/11/2021;2630;
08/11/2021;2670;
09/11/2021;2750;
10/11/2021;2800;
11/11/2021;2870;
12/11/2021;2920;
13/11/2021;3010;
14/11/2021;3100;
15/11/2021;3190;
16/11/2021;3280;
17/11/2021;3440;
18/11/2021;3520;
19/11/2021;3650;
20/11/2021;3790;
21/11/2021;3920;
22/11/2021;4070;
23/11/2021;4250;
24/11/2021;4420;
25/11/2021;4550;
26/11/2021;4770;
27/11/2021;4970;
28/11/2021;5150;
29/11/2021;5340;
30/11/2021;5570;
01/12/2021;5820;5820
02/12/2021;6100;
03/12/2021;6280;
04/12/2021;6470;
05/12/2021;6660;6825
06/12/2021;6840;7089
07/12/2021;7110;7491
08/12/2021;7380;7841
09/12/2021;7440;8061
10/12/2021;7610;8341
11/12/2021;7790;8746
12/12/2021;7970;9108
13/12/2021;8100;9551
14/12/2021;8230;9835
15/12/2021;8370;10252
16/12/2021;8480;10640
17/12/2021;;10948
18/12/2021;;11404
19/12/2021;;11735
