date,median_A,min_A,max_A,median_B,min_B,max_B
2020-09-01,398,,,280,0,746
2020-09-02,413,,,279,0,739
2020-09-03,424,,,280,0,837
2020-09-04,434,,,280,0,938
2020-09-05,452,,,277,0,1036
2020-09-06,455,,,262,0,1055
2020-09-07,495,,,267,0,1042
2020-09-08,485,,,291,595,927
2020-09-09,512,,,375,295,934
2020-09-10,512,,,373,0,1023
2020-09-11,542,,,373,0,1087
2020-09-12,569,,,373,0,1120
2020-09-13,568,,,375,94,1048
2020-09-14,623,,852,483,93,1117
2020-09-15,626,397,943,563,93,1120
2020-09-16,620,413,968,560,74,1119
2020-09-17,683,427,995,560,130,1199
2020-09-18,690,434,1052,560,385,1213
2020-09-19,739,483,1136,559,539,1222
2020-09-20,769,484,1201,646,503,1121
2020-09-21,785,484,1320,654,387,930
2020-09-22,826,486,1396,754,522,926
2020-09-23,854,560,1541,746,280,1306
2020-09-24,911,569,1649,746,280,1421
2020-09-25,949,569,1807,737,279,1493
2020-09-26,993,569,1872,840,379,1671
2020-09-27,1022,569,1992,842,323,1726
2020-09-28,1074,569,2076,937,371,2048
2020-09-29,1143,569,2141,930,382,2160
2020-09-30,1193,568,2441,1024,433,2334
2020-10-01,1252,626,2561,1028,373,2602
2020-10-02,1307,654,2667,1117,474,2700
2020-10-03,1392,655,2898,1179,429,2849
2020-10-04,1425,631,2966,1306,560,3171
2020-10-05,1500,655,3190,1306,560,3194
2020-10-06,1515,653,3549,1297,562,3512
2020-10-07,1562,679,3854,1400,652,3640
2020-10-08,1651,769,4185,1503,658,3880
2020-10-09,1705,779,4444,1485,836,4004
2020-10-10,1792,824,4917,1599,930,4396
2020-10-11,1851,913,5063,1682,887,4601
2020-10-12,1934,910,5298,1776,748,4848
2020-10-13,1998,911,5488,1863,931,5237
2020-10-14,2072,911,5979,1929,933,5630
2020-10-15,2193,911,6409,2053,933,5810
2020-10-16,2262,911,6946,2082,933,6102
2020-10-17,2332,911,7335,2216,933,6478
2020-10-18,2458,910,7735,2244,934,6932
2020-10-19,2582,926,8381,2438,750,7891
2020-10-20,2679,940,8965,2525,822,8100
2020-10-21,2797,997,9559,2610,933,8616
2020-10-22,2905,1025,10056,2653,933,9507
2020-10-23,3000,1059,10725,2798,934,10231
2020-10-24,3158,1053,11271,3005,1126,10857
2020-10-25,3266,1054,12108,3149,1194,12263
2020-10-26,3411,1077,13011,3265,1399,13153
2020-10-27,3558,1107,13815,3456,1218,14378
2020-10-28,3658,1184,14472,3537,1213,14957
2020-10-29,3787,1193,15008,3738,1212,15676
2020-10-30,3850,1219,15605,3932,1110,16354
2020-10-31,3984,1280,16013,4091,1104,17306
2020-11-01,4066,1292,16405,4209,1207,18748
2020-11-02,4152,1309,16803,4447,1213,20075
2020-11-03,4212,1316,17049,4563,1208,21611
2020-11-04,4270,1332,17457,4781,1102,22709
2020-11-05,4300,1309,17766,4932,1120,23574
2020-11-06,4323,1309,17986,5223,1119,23876
2020-11-07,4382,1309,18184,5303,1120,25662
2020-11-08,4379,1299,18458,5664,1041,27177
2020-11-09,4410,1228,18581,5885,1120,28381
2020-11-10,4410,1224,18610,6092,1170,30250
2020-11-11,4411,1224,18558,6321,1210,32472
2020-11-12,4379,1202,18518,6623,1323,34668
2020-11-13,4382,1251,18427,6847,1514,36478
2020-11-14,4382,1254,18261,7180,1575,38066
2020-11-15,4353,1240,18110,7408,1784,39983
2020-11-16,4325,1253,17856,7751,1873,41645
2020-11-17,4296,1307,17677,8115,1957,43558
2020-11-18,4268,1309,17421,8360,1951,44949
2020-11-19,4234,1309,17199,8668,2058,46145
2020-11-20,4190,1309,17028,9055,2054,47378
2020-11-21,4155,1309,16719,9418,2001,48915
2020-11-22,4095,1309,16482,9766,2045,52130
2020-11-23,4069,1309,16079,10087,2147,54325
2020-11-24,4042,1295,15833,10466,2239,56504
2020-11-25,3985,1256,15576,10723,2326,58085
2020-11-26,3925,1223,15179,11153,2421,59038
2020-11-27,3891,1223,14754,11483,2577,59901
2020-11-28,3810,1197,14552,11752,2519,60536
2020-11-29,3736,1198,14332,11974,2626,61168
2020-11-30,3699,1195,13970,12197,2602,61472
2020-12-01,3630,1195,13611,12312,2706,61572
2020-12-02,3586,1195,13031,12444,2775,61221
2020-12-03,3523,1136,12677,12503,2985,60739
2020-12-04,3474,1141,12418,12595,2989,59756
2020-12-05,3412,1132,12161,12504,2796,58854
2020-12-06,3339,1084,11865,12414,2801,57889
2020-12-07,3272,1053,11566,12321,2615,56247
2020-12-08,3246,1053,11205,12120,2590,54772
2020-12-09,3189,1053,10876,11944,2427,52708
2020-12-10,3122,1053,10487,11688,2426,51005
2020-12-11,3046,1054,10238,11503,2425,49445
2020-12-12,2986,1025,9845,11287,2421,46966
2020-12-13,2932,1006,9461,11010,2291,44971
2020-12-14,2873,993,9103,10574,2139,43497
2020-12-15,2818,935,8922,10256,2054,41779
2020-12-16,2762,940,8654,10039,2052,39481
2020-12-17,2702,888,8379,9716,2053,36495
2020-12-18,2653,883,8062,9301,1955,34576
2020-12-19,2613,825,7992,8932,1878,32753
2020-12-20,2540,774,7618,8678,1774,31449
2020-12-21,2505,766,7416,8364,1588,30181
2020-12-22,2478,740,7204,8079,1589,28246
2020-12-23,2418,711,7000,7736,1678,26762
2020-12-24,2356,744,6807,7366,1691,25594
2020-12-25,2307,740,6551,7027,1531,24176
2020-12-26,2290,740,6341,6791,1483,22864
2020-12-27,2248,718,6140,6479,1502,21427
2020-12-28,2156,680,5876,6170,1413,20258
2020-12-29,2106,623,5626,5946,1513,19301
2020-12-30,2048,626,5382,5520,1141,18115
2020-12-31,2007,624,5153,5321,1119,17358
2021-01-01,1964,681,4904,5150,1049,16278
2021-01-02,1903,708,4671,4889,870,15059
2021-01-03,1878,644,4476,4750,648,13888
2021-01-04,1822,683,4340,4428,615,12528
2021-01-05,1763,682,4176,4220,567,11659
2021-01-06,1734,683,3952,4131,566,10791
2021-01-07,1705,628,3795,3835,560,10511
2021-01-08,1678,601,3672,3553,560,9816
2021-01-09,1652,609,3544,3528,540,8902
2021-01-10,1593,568,3377,3261,354,8333
2021-01-11,1564,569,3291,3080,557,7739
2021-01-12,1537,568,3111,2899,441,7241
2021-01-13,1479,509,3041,2699,382,6741
2021-01-14,1464,484,2971,2516,280,6433
2021-01-15,1422,484,2901,2425,280,6104
2021-01-16,1394,484,2838,2258,280,5640
2021-01-17,1365,484,2738,2142,280,5304
2021-01-18,1332,512,2615,2065,280,4978
2021-01-19,1312,527,2476,1876,280,4678
2021-01-20,1250,454,2332,1769,280,4071
