date,A_median,A_min,A_max,B_median,B_min,B_max,C_median,C_min,C_max,D_median,D_min,D_max
2020-09-21,708,633,649,666,489,980,684,637,747,692,617,865
2020-09-22,723,665,688,730,486,1036,714,665,784,703,628,887
2020-09-23,759,693,719,729,546,1032,753,685,823,747,638,909
2020-09-24,784,727,750,759,546,1059,779,714,859,757,660,916
2020-09-25,813,743,827,767,579,1085,813,735,884,790,692,924
2020-09-26,841,780,819,785,608,1098,844,755,900,811,714,936
2020-09-27,870,818,870,833,613,1159,864,785,854,876,768,954
2020-09-28,914,854,933,848,645,1195,911,823,883,887,822,979
2020-09-29,959,886,961,885,725,1223,939,860,1018,930,854,1025
2020-09-30,988,924,965,942,759,1279,985,917,954,963,887,1097
2020-10-01,1038,948,1105,971,758,1337,1031,943,1097,984,930,1172
2020-10-02,1073,995,1119,997,817,1395,1062,996,1113,1028,941,1233
2020-10-03,1109,1028,1170,998,868,1392,1096,1028,1172,1072,963,1277
2020-10-04,1134,1082,1230,1065,894,1437,1138,1060,1244,1114,995,1309
2020-10-05,1178,1134,1292,1049,941,1478,1184,1096,1314,1147,1038,1342
2020-10-06,1221,1168,1347,1122,1006,1516,1213,1125,1369,1200,1071,1374
2020-10-07,1256,1212,1414,1153,1031,1520,1249,1161,1384,1244,1136,1396
2020-10-08,1310,1247,1421,1215,1032,1609,1288,1193,1423,1298,1200,1429
2020-10-09,1344,1290,1455,1244,1063,1607,1330,1219,1472,1330,1244,1460
2020-10-10,1408,1299,1512,1276,1062,1694,1373,1253,1502,1363,1266,1503
2020-10-11,1475,1338,1580,1314,1093,1732,1430,1349,1550,1395,1330,1557
2020-10-12,1535,1378,1605,1352,1153,1746,1478,1378,1615,1450,1360,1601
2020-10-13,1599,1423,1663,1395,1188,1812,1543,1416,1679,1503,1397,1666
2020-10-14,1648,1481,1729,1428,1213,1823,1612,1429,1736,1579,1445,1708
2020-10-15,1693,1543,1792,1460,1183,1914,1657,1509,1827,1623,1493,1774
2020-10-16,1721,1603,1846,1548,1245,1973,1717,1587,1869,1687,1553,1838
2020-10-17,1780,1668,1926,1604,1332,2029,1769,1666,1912,1763,1596,1903
2020-10-18,1828,1723,1979,1694,1386,2126,1844,1738,1961,1838,1674,1958
2020-10-19,1889,1760,2070,1780,1456,2190,1918,1781,2006,1904,1720,2022
2020-10-20,1946,1854,2124,1896,1510,2253,1964,1829,2093,1969,1784,2090
2020-10-21,2025,1927,2181,1939,1573,2286,2039,1886,2174,2055,1860,2141
2020-10-22,2113,1999,2244,2065,1675,2348,2094,1980,2235,2119,1924,2228
2020-10-23,2171,2073,2318,2126,1761,2458,2142,2053,2309,2153,2010,2324
2020-10-24,2244,2154,2392,2244,1850,2517,2214,2118,2383,2228,2104,2401
2020-10-25,2331,2261,2497,2366,1911,2629,2283,2203,2458,2260,2176,2467
2020-10-26,2408,2320,2568,2425,2026,2716,2377,2266,2573,2338,2216,2563
2020-10-27,2469,2380,2656,2456,2124,2825,2459,2349,2678,2413,2334,2754
2020-10-28,2564,2459,2761,2547,2232,2945,2560,2419,2801,2510,2432,2823
2020-10-29,2696,2530,2833,2673,2315,3051,2653,2498,2916,2575,2519,2911
2020-10-30,2777,2645,2894,2758,2378,3256,2732,2605,2980,2697,2553,3059
2020-10-31,2900,2786,3035,2853,2549,3311,2864,2689,3111,2881,2595,3096
2020-11-01,3075,2892,3149,3001,2669,3423,3011,2801,3368,2961,2643,3225
2020-11-02,3224,3011,3238,3122,2756,3601,3099,2924,3483,3113,2989,3448
2020-11-03,3334,3101,3620,3239,2930,3844,3447,3057,3581,3297,3072,3615
2020-11-04,3420,3223,3756,3402,3035,3982,3532,3149,3748,3469,3231,3784
2020-11-05,3597,3381,3894,3490,3203,4091,3614,3243,3854,3609,3373,3925
2020-11-06,3765,3439,4099,3684,3463,4036,3755,3517,3986,3740,3557,4055
2020-11-07,3955,3719,4335,3894,3526,4190,3962,3614,4275,3934,3653,4259
2020-11-08,4138,3881,4512,4069,3737,4516,4132,3799,4575,4130,3798,4602
2020-11-09,4331,4017,4769,4332,4029,4945,4331,4001,4768,4364,3959,4939
2020-11-10,4513,4178,5061,4556,4278,5230,4517,4238,5049,4571,4183,5193
2020-11-11,4676,4284,5293,4968,4504,5684,4714,4440,5283,4767,4314,5360
2020-11-12,4817,4358,5481,5228,4632,6148,4889,4552,5542,4919,4442,5721
2020-11-13,4924,4446,5608,5545,5101,6476,5032,4652,5791,5071,4595,6050
2020-11-14,5030,4543,5770,5906,5329,6712,5163,4702,5971,5255,4738,6269
2020-11-15,5109,4604,5925,6236,5624,7243,5266,4756,6108,5406,4824,6445
2020-11-16,5153,4631,6056,6617,5904,7801,5361,4785,6271,5536,4919,6628
2020-11-17,5188,4640,6109,7057,6191,8299,5410,4816,6410,5645,4966,6768
2020-11-18,5180,4605,6144,7423,6488,9013,5446,4815,6509,5743,4999,6897
2020-11-19,5128,4530,6162,7837,6680,9635,5472,4793,6557,5799,5051,7024
2020-11-20,5044,4472,6145,8245,6970,10630,5457,4773,6575,5862,5086,7139
2020-11-21,4974,4429,6076,8698,7263,11086,5429,4725,6594,5907,5107,7214
2020-11-22,4902,4346,5966,9255,7673,11760,5392,4658,6586,5928,5107,7269
2020-11-23,4806,4221,5815,9731,8047,12491,5354,4562,6509,5950,5086,7365
2020-11-24,4709,4069,5724,10286,8466,13477,5277,4490,6463,5962,5064,7454
2020-11-25,4546,3930,5587,10876,8911,14079,5202,4449,6399,5962,5021,7519
2020-11-26,4457,3834,5460,11401,9253,14484,5111,4297,6339,5940,4979,7541
2020-11-27,4322,3738,5367,11882,9471,15238,5020,4252,6249,5908,4924,7552
2020-11-28,4164,3625,5231,12327,9719,16297,4910,4148,6163,5875,4861,7552
2020-11-29,4034,3507,5109,12780,10041,17178,4806,4075,6088,5832,4785,7552
2020-11-30,3888,3348,4970,13162,10280,17929,4702,3959,5991,5812,4687,7552
2020-12-01,3755,3210,4820,13514,10475,18369,4548,3852,5890,5758,4622,7552
2020-12-02,3613,3029,4659,13837,10530,18949,4455,3733,5786,5714,4558,7523
2020-12-03,3482,2908,4463,14042,10621,19188,4344,3589,5669,5659,4449,7489
2020-12-04,3344,2750,4307,14240,10677,19526,4220,3483,5526,5587,4363,7403
2020-12-05,3202,2610,4125,14391,10742,19723,4107,3354,5421,5509,4243,7349
2020-12-06,3063,2461,3953,14460,10749,19954,3974,3260,5316,5422,4168,7293
2020-12-07,2914,2321,3791,14478,10735,20102,3853,3124,5192,5360,4070,7270
2020-12-08,2773,2215,3650,14478,10737,20346,3728,2988,5058,5292,3984,7251
2020-12-09,2642,2102,3535,14447,10592,20460,3613,2845,4977,5197,3921,7207
2020-12-10,2531,2007,3425,14359,10444,20518,3473,2718,4803,5121,3823,7132
2020-12-11,2408,1908,3291,14303,10320,20435,3350,2610,4700,5034,3737,7080
2020-12-12,2291,1848,3168,14183,10097,20406,3237,2494,4559,4947,3663,7013
2020-12-13,2167,1758,3044,14053,10025,20303,3124,2362,4399,4852,3574,6981
2020-12-14,2085,1697,2902,13916,9680,20264,3020,2288,4222,4784,3455,6917
2020-12-15,1986,1567,2746,13737,9575,20066,2907,2179,4048,4638,3356,6851
