date,11_nov_too_opt_median,11_nov_too_opt_min,11_nov_too_opt_max,11_nov_real_opt_median,11_nov_real_opt_min,11_nov_real_opt_max,11_nov_cata_median,11_nov_cata_min,11_nov_cata_max,11_nov_real_pess_median,11_nov_real_pess_min,11_nov_real_pess_max,20_nov_median,20_nov_min,20_nov_max
2020-09-21,708,633,649,684,637,747,666,489,980,692,617,865,636,,
2020-09-22,723,665,688,714,665,784,730,486,1036,703,628,887,654,,
2020-09-23,759,693,719,753,685,823,729,546,1032,747,638,909,674,,
2020-09-24,784,727,750,779,714,859,759,546,1059,757,660,916,721,,
2020-09-25,813,743,827,813,735,884,767,579,1085,790,692,924,747,,
2020-09-26,841,780,819,844,755,900,785,608,1098,811,714,936,777,,
2020-09-27,870,818,870,864,785,854,833,613,1159,876,768,954,814,,
2020-09-28,914,854,933,911,823,883,848,645,1195,887,822,979,849,,
2020-09-29,959,886,961,939,860,1018,885,725,1223,930,854,1025,878,,
2020-09-30,988,924,965,985,917,954,942,759,1279,963,887,1097,900,,
2020-10-01,1038,948,1105,1031,943,1097,971,758,1337,984,930,1172,940,,
2020-10-02,1073,995,1119,1062,996,1113,997,817,1395,1028,941,1233,974,,
2020-10-03,1109,1028,1170,1096,1028,1172,998,868,1392,1072,963,1277,1006,,
2020-10-04,1134,1082,1230,1138,1060,1244,1065,894,1437,1114,995,1309,1046,,
2020-10-05,1178,1134,1292,1184,1096,1314,1049,941,1478,1147,1038,1342,1085,,
2020-10-06,1221,1168,1347,1213,1125,1369,1122,1006,1516,1200,1071,1374,1122,,
2020-10-07,1256,1212,1414,1249,1161,1384,1153,1031,1520,1244,1136,1396,1182,,
2020-10-08,1310,1247,1421,1288,1193,1423,1215,1032,1609,1298,1200,1429,1225,,
2020-10-09,1344,1290,1455,1330,1219,1472,1244,1063,1607,1330,1244,1460,1274,,
2020-10-10,1408,1299,1512,1373,1253,1502,1276,1062,1694,1363,1266,1503,1322,,
2020-10-11,1475,1338,1580,1430,1349,1550,1314,1093,1732,1395,1330,1557,1374,,
2020-10-12,1535,1378,1605,1478,1378,1615,1352,1153,1746,1450,1360,1601,1425,,
2020-10-13,1599,1423,1663,1543,1416,1679,1395,1188,1812,1503,1397,1666,1484,,
2020-10-14,1648,1481,1729,1612,1429,1736,1428,1213,1823,1579,1445,1708,1544,,
2020-10-15,1693,1543,1792,1657,1509,1827,1460,1183,1914,1623,1493,1774,1605,,
2020-10-16,1721,1603,1846,1717,1587,1869,1548,1245,1973,1687,1553,1838,1666,,
2020-10-17,1780,1668,1926,1769,1666,1912,1604,1332,2029,1763,1596,1903,1734,,
2020-10-18,1828,1723,1979,1844,1738,1961,1694,1386,2126,1838,1674,1958,1795,,
2020-10-19,1889,1760,2070,1918,1781,2006,1780,1456,2190,1904,1720,2022,1877,,
2020-10-20,1946,1854,2124,1964,1829,2093,1896,1510,2253,1969,1784,2090,1958,,
2020-10-21,2025,1927,2181,2039,1886,2174,1939,1573,2286,2055,1860,2141,2046,,
2020-10-22,2113,1999,2244,2094,1980,2235,2065,1675,2348,2119,1924,2228,2120,,
2020-10-23,2171,2073,2318,2142,2053,2309,2126,1761,2458,2153,2010,2324,2200,,
2020-10-24,2244,2154,2392,2214,2118,2383,2244,1850,2517,2228,2104,2401,2305,,
2020-10-25,2331,2261,2497,2283,2203,2458,2366,1911,2629,2260,2176,2467,2356,,
2020-10-26,2408,2320,2568,2377,2266,2573,2425,2026,2716,2338,2216,2563,2429,2354,2440
2020-10-27,2469,2380,2656,2459,2349,2678,2456,2124,2825,2413,2334,2754,2501,2412,2672
2020-10-28,2564,2459,2761,2560,2419,2801,2547,2232,2945,2510,2432,2823,2718,2559,2783
