date,median,min,max,median_rebound,min_rebound,max_rebound
2020-11-01,3149,2946,3301,3151,2909,3373
2020-11-02,3251,3049,3459,3277,2991,3513
2020-11-03,3371,3183,3562,3392,3146,3699
2020-11-04,3528,3297,3726,3531,3303,3815
2020-11-05,3644,3418,3904,3642,3395,3927
2020-11-06,3768,3545,4056,3758,3495,4030
2020-11-07,3890,3664,4187,3893,3579,4165
2020-11-08,4025,3762,4294,4012,3797,4302
2020-11-09,4138,3836,4405,4128,3886,4432
2020-11-10,4253,3961,4511,4243,3969,4571
2020-11-11,4354,4073,4647,4343,4083,4625
2020-11-12,4465,4168,4751,4450,4144,4730
2020-11-13,4541,4208,4827,4543,4146,4803
2020-11-14,4596,4303,4911,4604,4282,4868
2020-11-15,4659,4342,4941,4651,4323,4924
2020-11-16,4709,4425,4962,4686,4414,4959
2020-11-17,4728,4418,4964,4706,4416,4969
2020-11-18,4729,4426,4972,4728,4413,4979
2020-11-19,4718,4445,4972,4706,4413,4969
2020-11-20,4739,4456,4954,4705,4428,4961
2020-11-21,4725,4439,4928,4704,4405,4948
2020-11-22,4687,4444,4892,4676,4354,4921
2020-11-23,4621,4356,4873,4613,4302,4873
2020-11-24,4577,4314,4799,4545,4241,4816
2020-11-25,4505,4249,4739,4448,4188,4726
2020-11-26,4436,4212,4675,4391,4115,4656
2020-11-27,4346,4120,4607,4304,4015,4595
2020-11-28,4288,4004,4520,4255,3952,4480
2020-11-29,4179,3938,4454,4129,3896,4369
2020-11-30,4107,3851,4413,4050,3821,4256
2020-12-01,4005,3772,4263,3928,3726,4177
2020-12-02,3929,3675,4193,3862,3656,4072
2020-12-03,3848,3639,4079,3796,3596,4005
2020-12-04,3744,3508,4008,3702,3494,3917
2020-12-05,3637,3423,3932,3619,3348,3858
2020-12-06,3516,3327,3857,3563,3296,3795
2020-12-07,3453,3240,3726,3456,3212,3686
2020-12-08,3377,3180,3514,3361,3114,3657
2020-12-09,3277,3127,3493,3286,3004,3532
2020-12-10,3201,3027,3415,3203,2940,3452
2020-12-11,3158,2956,3364,3114,2879,3409
2020-12-12,3108,2895,3289,3040,2827,3299
2020-12-13,3036,2826,3245,2981,2784,3219
2020-12-14,2984,2740,3195,2922,2724,3135
2020-12-15,2949,2676,3130,2859,2665,3102
2020-12-16,2914,2617,3084,2816,2616,3056
2020-12-17,2853,2542,3058,2786,2565,3019
2020-12-18,2801,2484,3029,2749,2527,3010
2020-12-19,2767,2461,3001,2707,2485,2976
2020-12-20,2694,2430,2997,2667,2464,2948
2020-12-21,2674,2409,2957,2646,2438,2972
2020-12-22,2652,2400,2957,2626,2444,2939
2020-12-23,2633,2411,2916,2606,2448,2940
2020-12-24,2625,2410,2914,2607,2407,2917
2020-12-25,2612,2400,2916,2585,2393,2929
2020-12-26,2612,2390,2909,2585,2394,2929
2020-12-27,2613,2390,2914,2585,2363,2898
2020-12-28,2592,2381,2906,2577,2363,2930
2020-12-29,2592,2371,2926,2565,2352,2939
2020-12-30,2592,2369,2968,2565,2343,2969
2020-12-31,2592,2363,2997,2564,2313,2983
2021-01-01,2592,2363,2992,2585,2345,3003
2021-01-02,2592,2359,2997,2594,2343,3010
2021-01-03,2596,2366,3034,2606,2343,3067
2021-01-04,2612,2348,3089,2626,2342,3122
2021-01-05,2612,2349,3128,2644,2343,3181
2021-01-06,2632,2371,3138,2689,2353,3247
2021-01-07,2633,2350,3149,2707,2353,3322
2021-01-08,2653,2339,3179,2737,2354,3353
2021-01-09,2654,2339,3179,2770,2343,3397
2021-01-10,2673,2339,3229,2806,2343,3494
2021-01-11,2693,2366,3274,2846,2359,3528
2021-01-12,2714,2339,3321,2888,2403,3595
2021-01-13,2726,2331,3370,2919,2447,3636
2021-01-14,2734,2339,3404,2962,2474,3648
2021-01-15,2754,2339,3441,3000,2504,3682
2021-01-16,2774,2339,3494,3013,2515,3726
2021-01-17,2774,2339,3534,3019,2525,3798
2021-01-18,2794,2339,3544,3096,2568,3863
2021-01-19,2815,2329,3564,3116,2573,3931
2021-01-20,2815,2329,3573,3112,2615,3951
2021-01-21,2846,2324,3589,3199,2640,3994
2021-01-22,2856,2329,3624,3233,2666,4060
2021-01-23,2862,2325,3632,3273,2666,4100
2021-01-24,2884,2356,3663,3297,2668,4161
2021-01-25,2916,2369,3675,3353,2706,4191
2021-01-26,2936,2375,3688,3354,2742,4221
2021-01-27,2957,2391,3706,3415,2756,4241
2021-01-28,2976,2421,3744,3424,2789,4262
2021-01-29,2997,2444,3768,3436,2790,4280
2021-01-30,3007,2450,3777,3474,2828,4312
2021-01-31,3030,2450,3815,3494,2847,4359
2021-02-01,3038,2449,3823,3516,2878,4403
