date,median,min,max
2021-01-01,2757,2524,3391
2021-01-02,2784,2549,3417
2021-01-03,2797,2550,3429
2021-01-04,2809,2563,3430
2021-01-05,2836,2566,3425
2021-01-06,2834,2631,3417
2021-01-07,2847,2703,3422
2021-01-08,2856,2730,3441
2021-01-09,2849,2768,3470
2021-01-10,2873,2771,3482
2021-01-11,2886,2761,3494
2021-01-12,2912,2770,3494
2021-01-13,2926,2769,3534
2021-01-14,2936,2720,3546
2021-01-15,2980,2791,3602
2021-01-16,2992,2752,3641
2021-01-17,3016,2729,3645
2021-01-18,3028,2770,3688
2021-01-19,3041,2803,3714
2021-01-20,3066,2870,3740
2021-01-21,3068,2822,3753
2021-01-22,3080,2822,3779
2021-01-23,3119,2821,3792
2021-01-24,3108,2821,3792
2021-01-25,3134,2823,3805
2021-01-26,3131,2850,3805
2021-01-27,3158,2882,3823
2021-01-28,3176,2912,3876
2021-01-29,3184,2939,3906
2021-01-30,3210,2968,3938
2021-01-31,3219,2975,3945
2021-02-01,3236,3014,3987
2021-02-02,3260,3041,3986
2021-02-03,3287,3042,3999
2021-02-04,3287,3054,3999
2021-02-05,3287,3083,4039
2021-02-06,3287,3080,4050
2021-02-07,3300,3080,4085
2021-02-08,3312,3081,4096
2021-02-09,3336,3113,4145
2021-02-10,3347,3119,4141
2021-02-11,3389,3119,4157
2021-02-12,3451,3132,4193
2021-02-13,3468,3132,4193
2021-02-14,3482,3171,4193
2021-02-15,3495,3158,4244
2021-02-16,3511,3157,4248
2021-02-17,3519,3188,4297
2021-02-18,3547,3200,4314
2021-02-19,3545,3234,4340
2021-02-20,3546,3244,4356
2021-02-21,3572,3261,4385
2021-02-22,3595,3274,4424
2021-02-23,3607,3275,4437
2021-02-24,3611,3287,4465
2021-02-25,3662,3300,4504
2021-02-26,3675,3302,4504
2021-02-27,3663,3339,4504
2021-02-28,3690,3358,4504
2021-03-01,3701,3365,4506
2021-03-02,3701,3378,4506
2021-03-03,3715,3378,4494
2021-03-04,3714,3392,4525
2021-03-05,3728,3415,4556
2021-03-06,3740,3417,4569
2021-03-07,3753,3429,4568
2021-03-08,3766,3430,4582
2021-03-09,3766,3443,4634
2021-03-10,3767,3440,4622
2021-03-11,3756,3443,4659
2021-03-12,3779,3430,4659
2021-03-13,3779,3430,4659
2021-03-14,3806,3438,4659
2021-03-15,3828,3442,4660
2021-03-16,3840,3457,4658
2021-03-17,3882,3481,4669
2021-03-18,3896,3507,4723
2021-03-19,3934,3533,4737
2021-03-20,3961,3547,4776
2021-03-21,3976,3560,4803
2021-03-22,4005,3572,4840
2021-03-23,4027,3579,4873
2021-03-24,4031,3584,4903
2021-03-25,4066,3638,4988
2021-03-26,4111,3669,5048
2021-03-27,4151,3700,5072
2021-03-28,4218,3740,5110
2021-03-29,4245,3818,5125
2021-03-30,4285,3870,5216
2021-03-31,4336,3920,5256
2021-04-01,4403,3945,5318
2021-04-02,4467,3992,5375
2021-04-03,4523,4037,5477
2021-04-04,4610,4104,5565
2021-04-05,4677,4183,5625
2021-04-06,4747,4266,5712
2021-04-07,4826,4349,5833
2021-04-08,4891,4399,6006
2021-04-09,4996,4465,6134
2021-04-10,5088,4570,6240
2021-04-11,5165,4650,6433
2021-04-12,5262,4735,6552
2021-04-13,5367,4849,6580
2021-04-14,5482,4892,6624
2021-04-15,5571,4957,6735
