date,optimistic,pessimistic
2021-04-01,5088,5140
2021-04-02,5134,5189
2021-04-03,5201,5249
2021-04-04,5257,5309
2021-04-05,5321,5359
2021-04-06,5362,5418
2021-04-07,5425,5465
2021-04-08,5484,5537
2021-04-09,5533,5579
2021-04-10,5595,5621
2021-04-11,5630,5665
2021-04-12,5665,5704
2021-04-13,5698,5750
2021-04-14,5734,5785
2021-04-15,5782,5833
2021-04-16,5807,5869
2021-04-17,5864,5892
2021-04-18,5873,5926
2021-04-19,5894,5931
2021-04-20,5931,5944
2021-04-21,5930,5951
2021-04-22,5945,5957
2021-04-23,5945,5959
2021-04-24,5944,5956
2021-04-25,5932,5958
2021-04-26,5919,5944
2021-04-27,5899,5910
2021-04-28,5891,5877
2021-04-29,5827,5830
2021-04-30,5765,5782
2021-05-01,5720,5735
2021-05-02,5671,5662
2021-05-03,5659,5602
2021-05-04,5535,5567
2021-05-05,5419,5451
2021-05-06,5365,5343
2021-05-07,5287,5288
2021-05-08,5175,5193
2021-05-09,5091,5118
2021-05-10,5011,5021
2021-05-11,4941,4946
2021-05-12,4844,4853
2021-05-13,4760,4740
2021-05-14,4679,4634
2021-05-15,4596,4570
2021-05-16,4507,4483
2021-05-17,4421,4387
2021-05-18,4303,4267
2021-05-19,4230,4188
2021-05-20,4131,4114
2021-05-21,4024,4017
2021-05-22,3949,3929
2021-05-23,3851,3826
2021-05-24,3764,3739
2021-05-25,3657,3650
2021-05-26,3565,3554
2021-05-27,3450,3459
2021-05-28,3363,3392
2021-05-29,3285,3294
2021-05-30,3190,3210
2021-05-31,3095,3129
2021-06-01,2999,3036
2021-06-02,2907,2963
2021-06-03,2835,2897
2021-06-04,2751,2813
2021-06-05,2656,2742
2021-06-06,2598,2660
2021-06-07,2505,2592
2021-06-08,2424,2521
2021-06-09,2339,2468
2021-06-10,2264,2398
2021-06-11,2188,2341
2021-06-12,2118,2291
2021-06-13,2040,2242
2021-06-14,1970,2158
2021-06-15,1870,2100
2021-06-16,1817,2018
2021-06-17,1757,1962
2021-06-18,1687,1891
2021-06-19,1614,1841
2021-06-20,1565,1780
2021-06-21,1491,1735
2021-06-22,1429,1693
2021-06-23,1362,1649
2021-06-24,1284,1588
2021-06-25,1235,1537
2021-06-26,1170,1493
2021-06-27,1115,1460
2021-06-28,1057,1411
2021-06-29,1025,1389
2021-06-30,961,1364
2021-07-01,912,1334
2021-07-02,885,1311
2021-07-03,848,1277
2021-07-04,806,1244
2021-07-05,750,1220
2021-07-06,699,1223
2021-07-07,664,1194
2021-07-08,620,1194
2021-07-09,581,1171
2021-07-10,558,1154
2021-07-11,524,1155
2021-07-12,499,1155
2021-07-13,480,1155
2021-07-14,446,1168
2021-07-15,415,1168
2021-07-16,389,1200
2021-07-17,377,1207
2021-07-18,352,1221
2021-07-19,324,1230
2021-07-20,312,1262
2021-07-21,284,1308
2021-07-22,273,1351
2021-07-23,249,1393
2021-07-24,239,1440
2021-07-25,221,1501
2021-07-26,209,1549
2021-07-27,203,1620
2021-07-28,195,1680
2021-07-29,195,1752
2021-07-30,166,1815
2021-07-31,156,1911
2021-08-01,156,1997
2021-08-02,143,2075
2021-08-03,139,2170
2021-08-04,117,2268
2021-08-05,103,2387
2021-08-06,89,2487
2021-08-07,91,2618
2021-08-08,92,2737
2021-08-09,78,2854
2021-08-10,65,2961
2021-08-11,65,3089
2021-08-12,60,3241
2021-08-13,52,3366
2021-08-14,51,3505
2021-08-15,54,3659
2021-08-16,38,3804
2021-08-17,39,3980
2021-08-18,40,4122
2021-08-19,26,4285
2021-08-20,26,4441
2021-08-21,26,4596
2021-08-22,26,4738
2021-08-23,26,4911
2021-08-24,26,5036
