date,A_top,A_down,B_top,B_down,C_top,C_down,real
2021-05-15,4598,4133,4598,4133,4598,4133,4636
2021-05-16,4612,4042,4612,4042,4612,4042,4556
2021-05-17,4506,3905,4506,3905,4506,3905,4463
2021-05-18,4348,3817,4348,3817,4348,3817,4353
2021-05-19,4328,3712,4328,3712,4328,3712,4253
2021-05-20,4198,3628,4198,3628,4198,3628,4193
2021-05-21,4118,3545,4118,3545,4118,3545,4042
2021-05-22,4008,3474,4008,3474,4008,3474,3925
2021-05-23,3924,3369,3924,3369,3924,3369,3806
2021-05-24,3794,3254,3794,3254,3794,3254,3693
2021-05-25,3690,3198,3690,3198,3690,3198,3591
2021-05-26,3581,3125,3581,3125,3581,3125,3512
2021-05-27,3373,3069,3373,3069,3373,3069,3412
2021-05-28,3292,2975,3292,2975,3292,2975,3356
2021-05-29,3237,2884,3237,2884,3237,2884,3279
2021-05-30,3172,2827,3172,2827,3172,2827,3205
2021-05-31,3218,2780,3218,2780,3218,2780,3166
2021-06-01,3155,2715,3155,2715,3155,2715,3090
2021-06-02,3102,2651,3102,2651,3102,2651,3028
2021-06-03,3018,2599,3018,2599,3018,2599,2963
2021-06-04,2944,2544,2944,2544,2944,2544,2916
2021-06-05,2913,2492,2913,2492,2913,2492,2824
2021-06-06,2845,2430,2845,2430,2845,2430,2768
2021-06-07,2778,2383,2778,2383,2778,2383,2720
2021-06-08,2710,2320,2710,2320,2710,2320,2633
2021-06-09,2629,2239,2629,2239,2629,2239,2599
2021-06-10,2564,2123,2564,2123,2564,2123,2539
2021-06-11,2512,2086,2512,2086,2512,2086,2487
2021-06-12,2450,2022,2450,2022,2450,2022,2376
2021-06-13,2412,1944,2412,1944,2412,1944,2306
2021-06-14,2371,1909,2371,1909,2371,1909,2229
2021-06-15,2344,1860,2344,1860,2344,1860,2179
2021-06-16,2315,1826,2315,1826,2315,1826,2164
2021-06-17,2209,1775,2209,1775,2209,1775,
2021-06-18,2115,1746,2115,1746,2115,1746,
2021-06-19,2036,1685,2036,1685,2036,1685,
2021-06-20,1972,1645,1972,1645,1972,1645,
2021-06-21,1946,1597,1946,1597,1946,1597,
2021-06-22,1887,1580,1887,1580,1887,1580,
2021-06-23,1824,1532,1824,1532,1824,1532,
2021-06-24,1776,1482,1776,1482,1776,1482,
2021-06-25,1724,1448,1724,1448,1724,1448,
2021-06-26,1682,1394,1682,1394,1682,1394,
2021-06-27,1622,1346,1622,1346,1622,1346,
2021-06-28,1572,1308,1572,1308,1572,1308,
2021-06-29,1545,1282,1545,1282,1545,1282,
2021-06-30,1508,1253,1508,1253,1508,1253,
2021-07-01,1498,1220,1498,1220,1498,1220,
2021-07-02,1459,1178,1459,1178,1459,1178,
2021-07-03,1357,1125,1357,1125,1357,1125,
2021-07-04,1320,1088,1320,1088,1320,1088,
2021-07-05,1280,1048,1280,1048,1280,1048,
2021-07-06,1270,1008,1270,1008,1270,1008,
2021-07-07,1220,993,1220,993,1220,993,
2021-07-08,1193,980,1193,980,1193,980,
2021-07-09,1073,954,1073,954,1073,954,
2021-07-10,1058,888,1058,888,1058,888,
2021-07-11,1022,857,1022,857,1022,857,
2021-07-12,980,789,980,789,980,789,
2021-07-13,950,783,950,787,950,787,
2021-07-14,883,753,883,791,883,791,
2021-07-15,855,717,855,766,867,766,
2021-07-16,854,666,854,728,854,728,
2021-07-17,829,631,829,690,840,690,
2021-07-18,817,590,792,674,817,674,
2021-07-19,817,576,776,637,791,637,
2021-07-20,816,537,727,585,778,583,
2021-07-21,777,493,685,564,780,590,
2021-07-22,725,466,678,552,774,590,
2021-07-23,659,440,679,554,779,590,
2021-07-24,606,427,678,539,779,590,
2021-07-25,553,389,666,540,779,578,
2021-07-26,553,388,653,528,792,590,
2021-07-27,539,392,653,528,792,593,
2021-07-28,536,386,653,515,779,616,
2021-07-29,502,391,653,504,779,616,
2021-07-30,482,364,634,470,792,588,
2021-07-31,477,377,590,468,789,614,
2021-08-01,477,390,568,477,856,625,
2021-08-02,488,379,578,450,879,653,
2021-08-03,507,314,565,452,880,653,
2021-08-04,465,301,565,452,879,666,
2021-08-05,452,275,565,464,894,678,
