date,real,A_down,A_top,B_down,B_top,C_down,C_top
2021-06-01,2984,2662,2984,2662,2984,2662,2984
2021-06-02,2951,2618,2931,2618,2931,2618,2931
2021-06-03,2903,2557,2898,2557,2898,2557,2898
2021-06-04,2831,2493,2823,2493,2823,2493,2823
2021-06-05,2756,2448,2735,2448,2735,2448,2735
2021-06-06,2684,2403,2647,2403,2647,2403,2647
2021-06-07,2633,2323,2584,2323,2584,2323,2584
2021-06-08,2596,2254,2568,2254,2568,2254,2568
2021-06-09,2541,2184,2466,2184,2466,2184,2466
2021-06-10,2477,2104,2471,2104,2471,2104,2471
2021-06-11,2396,2049,2416,2049,2416,2049,2416
2021-06-12,2334,2000,2370,2000,2370,2000,2370
2021-06-13,2260,1946,2306,1946,2306,1946,2306
2021-06-14,2206,1885,2191,1885,2191,1885,2191
2021-06-15,2135,1821,2081,1821,2081,1821,2081
2021-06-16,2083,1758,2095,1758,2095,1758,2095
2021-06-17,2021,1691,1997,1691,1997,1691,1997
2021-06-18,1965,1631,1906,1631,1906,1631,1906
2021-06-19,1899,1588,1837,1588,1837,1588,1837
2021-06-20,1840,1560,1791,1560,1791,1560,1791
2021-06-21,1800,1513,1731,1513,1731,1513,1731
2021-06-22,1728,1472,1668,1472,1668,1472,1668
2021-06-23,1684,1441,1622,1441,1622,1441,1622
2021-06-24,1628,1394,1565,1394,1565,1394,1565
2021-06-25,1575,1313,1516,1313,1516,1313,1516
2021-06-26,1518,1257,1455,1257,1455,1257,1455
2021-06-27,1456,1230,1405,1230,1405,1230,1405
2021-06-28,1412,1204,1366,1204,1366,1204,1366
2021-06-29,1367,1161,1333,1161,1333,1161,1333
2021-06-30,1327,1105,1296,1105,1296,1105,1296
2021-07-01,1264,1069,1260,1069,1260,1069,1260
2021-07-02,1233,1068,1228,1068,1228,1068,1228
2021-07-03,,1001,1220,1001,1220,1001,1220
2021-07-04,,980,1191,980,1191,980,1191
2021-07-05,,944,1134,944,1134,944,1134
2021-07-06,,902,1082,902,1082,902,1082
2021-07-07,,866,1056,866,1056,866,1056
2021-07-08,,825,1030,825,1030,825,1030
2021-07-09,,794,994,794,994,794,994
2021-07-10,,767,951,767,951,767,951
2021-07-11,,730,920,730,920,730,920
2021-07-12,,685,878,685,878,685,878
2021-07-13,,647,831,647,831,647,831
2021-07-14,,624,784,624,784,624,784
2021-07-15,,603,758,603,758,603,758
2021-07-16,,586,737,586,737,586,737
2021-07-17,,567,717,567,717,567,717
2021-07-18,,547,689,547,689,547,689
2021-07-19,,533,674,533,674,533,674
2021-07-20,,512,641,512,641,512,641
2021-07-21,,485,623,485,623,485,623
2021-07-22,,469,596,469,596,469,596
2021-07-23,,452,571,452,571,452,571
2021-07-24,,440,548,440,548,440,548
2021-07-25,,428,531,428,531,428,531
2021-07-26,,419,513,419,513,419,513
2021-07-27,,397,497,397,497,397,497
2021-07-28,,375,479,375,479,375,479
2021-07-29,,370,476,370,476,370,476
2021-07-30,,358,470,358,470,358,470
2021-07-31,,347,463,347,463,347,463
2021-08-01,,339,442,339,442,339,442
2021-08-02,,334,432,334,432,334,432
2021-08-03,,321,421,321,414,321,414
2021-08-04,,312,415,312,411,312,402
2021-08-05,,305,404,304,411,304,386
2021-08-06,,300,398,302,401,302,375
2021-08-07,,294,390,291,390,291,363
2021-08-08,,281,378,284,383,288,356
2021-08-09,,274,370,284,377,284,356
2021-08-10,,274,356,275,377,283,349
2021-08-11,,271,353,267,377,274,353
2021-08-12,,264,343,260,377,269,348
2021-08-13,,260,336,260,377,260,339
2021-08-14,,260,336,260,384,260,328
2021-08-15,,253,329,267,384,257,329
2021-08-16,,246,329,271,387,250,329
2021-08-17,,247,336,267,384,244,333
2021-08-18,,243,336,267,381,240,336
2021-08-19,,240,336,273,377,237,335
2021-08-20,,239,337,274,377,230,339
2021-08-21,,230,343,288,380,232,343
2021-08-22,,230,343,291,384,240,343
2021-08-23,,230,343,293,387,247,343
2021-08-24,,223,343,288,387,250,343
2021-08-25,,230,339,292,387,260,349
2021-08-26,,239,343,294,394,260,356
2021-08-27,,244,339,302,394,267,356
2021-08-28,,253,343,309,400,270,370
2021-08-29,,260,350,316,414,274,370
2021-08-30,,260,353,318,420,280,370
2021-08-31,,257,370,326,435,289,370
2021-09-01,,253,370,338,446,290,370
2021-09-02,,261,373,343,463,295,370
2021-09-03,,264,377,350,476,286,370
2021-09-04,,274,381,366,487,280,370
2021-09-05,,274,385,383,497,274,370
2021-09-06,,281,387,387,500,274,377
2021-09-07,,295,392,394,509,283,384
2021-09-08,,298,397,401,517,288,390
2021-09-09,,301,408,409,533,294,390
2021-09-10,,301,418,411,555,298,401
2021-09-11,,301,421,418,559,301,405
2021-09-12,,302,428,425,565,305,418
2021-09-13,,294,432,425,572,305,426
2021-09-14,,300,432,429,581,311,437
2021-09-15,,309,435,439,600,312,445
2021-09-16,,311,435,438,612,318,466
2021-09-17,,319,432,454,620,322,476
2021-09-18,,318,435,462,632,343,485
2021-09-19,,329,445,476,658,346,500
2021-09-20,,329,457,494,677,365,506
2021-09-21,,332,466,507,706,384,514
2021-09-22,,337,466,524,726,392,532
2021-09-23,,343,469,541,743,407,555
2021-09-24,,345,476,544,755,438,573
2021-09-25,,356,483,558,770,465,623
2021-09-26,,356,488,574,786,481,661
2021-09-27,,336,493,586,804,496,689
2021-09-28,,339,493,596,819,505,719
2021-09-29,,342,497,605,839,531,757
2021-09-30,,349,504,618,860,545,796
2021-10-01,,355,507,633,870,576,822
2021-10-02,,356,508,637,874,600,847
2021-10-03,,356,510,650,894,634,896
2021-10-04,,356,510,661,908,693,952
2021-10-05,,356,517,671,917,729,991
2021-10-06,,356,521,685,959,757,1044
2021-10-07,,349,521,692,978,786,1096
2021-10-08,,352,524,705,1007,819,1161
2021-10-09,,371,535,722,1048,853,1209
2021-10-10,,388,542,732,1076,905,1245
2021-10-11,,390,549,761,1090,943,1308
2021-10-12,,394,548,774,1103,982,1389
2021-10-13,,400,552,792,1125,1014,1445
2021-10-14,,387,552,799,1135,1039,1486
2021-10-15,,387,555,799,1147,1081,1542
2021-10-16,,395,558,822,1167,1122,1584
2021-10-17,,394,555,850,1182,1172,1691
2021-10-18,,393,552,864,1209,1209,1732
2021-10-19,,387,552,870,1230,1264,1806
2021-10-20,,384,549,871,1244,1314,1858
2021-10-21,,377,548,884,1254,1369,1913
2021-10-22,,377,549,895,1255,1422,2052
2021-10-23,,377,548,907,1272,1465,2139
2021-10-24,,381,541,926,1287,1531,2244
2021-10-25,,380,541,939,1308,1581,2294
2021-10-26,,380,541,944,1321,1630,2346
2021-10-27,,377,545,957,1337,1693,2436
2021-10-28,,381,541,973,1364,1738,2541
2021-10-29,,380,536,989,1373,1809,2619
2021-10-30,,380,538,1008,1405,1872,2715
2021-10-31,,381,535,1014,1424,1940,2809
2021-11-01,,373,521,1011,1442,1997,2850
