date,real,A_down,A_top,B_down,B_top,C_down,C_top,D_down,D_top
2021-07-01,1289,1158,1404,1158,1394,1158,1400,1171,1434
2021-07-02,1257,1127,1366,1127,1367,1127,1371,1133,1394
2021-07-03,1188,1083,1330,1083,1322,1080,1336,1093,1346
2021-07-04,1188,1050,1289,1050,1288,1053,1299,1076,1301
2021-07-05,1159,1023,1264,1023,1265,1026,1260,1033,1267
2021-07-06,1158,999,1237,999,1230,1000,1237,1000,1236
2021-07-07,1132,970,1200,970,1188,973,1210,941,1200
2021-07-08,1116,946,1173,946,1167,947,1172,934,1147
2021-07-09,1092,918,1140,918,1146,921,1144,935,1103
2021-07-10,1073,893,1124,893,1115,895,1117,892,1092
2021-07-11,1039,868,1092,868,1105,868,1087,868,1053
2021-07-12,1013,856,1082,856,1078,839,1080,856,1052
2021-07-13,989,843,1061,843,1050,843,1064,829,1029
2021-07-14,983,828,1055,828,1058,793,1085,815,1013
2021-07-15,,802,1002,802,1027,834,979,817,1004
2021-07-16,,789,1000,789,1030,832,974,816,999
2021-07-17,,767,971,767,1034,795,972,775,974
2021-07-18,,763,974,763,1038,789,974,776,974
2021-07-19,,762,964,762,1042,763,970,763,974
2021-07-20,,745,945,745,1046,764,947,763,975
2021-07-21,,737,947,737,1051,763,947,763,973
2021-07-22,,737,947,737,1056,763,947,763,974
2021-07-23,,737,947,737,1062,763,947,777,935
2021-07-24,,737,947,737,1067,741,947,790,934
2021-07-25,,737,945,737,1073,763,948,797,945
2021-07-26,,737,957,737,1079,780,959,775,921
2021-07-27,,737,970,737,1085,781,947,763,921
2021-07-28,,737,974,737,1091,795,946,751,921
2021-07-29,,736,975,737,1097,796,987,735,934
2021-07-30,,750,977,737,1103,794,997,720,934
2021-07-31,,764,980,744,1110,801,1012,737,947
2021-08-01,,776,982,762,1116,829,1027,737,973
2021-08-02,,789,984,763,1122,826,1052,737,974
2021-08-03,,794,987,763,1128,812,1094,737,1002
2021-08-04,,813,989,770,1134,824,1103,748,1025
2021-08-05,,829,992,791,1140,911,1146,763,1028
2021-08-06,,829,994,789,1146,936,1207,777,1050
2021-08-07,,842,996,796,1152,973,1224,827,1066
2021-08-08,,842,998,814,1157,1006,1267,842,1082
2021-08-09,,842,999,816,1162,1035,1300,842,1102
2021-08-10,,868,1014,830,1167,1047,1328,842,1119
2021-08-11,,869,1041,841,1172,1079,1376,855,1150
2021-08-12,,881,1052,846,1176,1144,1434,881,1171
2021-08-13,,908,1104,857,1180,1207,1483,895,1204
2021-08-14,,905,1144,871,1184,1222,1538,895,1236
2021-08-15,,921,1172,885,1199,1277,1622,895,1238
2021-08-16,,921,1198,901,1222,1321,1707,922,1268
2021-08-17,,934,1210,916,1250,1395,1763,934,1315
2021-08-18,,933,1221,929,1278,1440,1850,946,1316
2021-08-19,,947,1247,941,1288,1486,1881,974,1327
2021-08-20,,964,1279,954,1316,1567,1980,973,1331
2021-08-21,,973,1312,961,1331,1611,2070,995,1342
2021-08-22,,1000,1369,987,1368,1685,2131,1000,1342
2021-08-23,,1027,1374,1021,1387,1728,2194,1000,1342
2021-08-24,,1065,1371,1040,1407,1800,2300,1013,1356
2021-08-25,,1065,1378,1027,1433,1871,2374,1041,1382
2021-08-26,,1079,1392,1047,1478,1936,2470,1052,1393
2021-08-27,,1106,1407,1069,1527,2000,2580,1052,1434
2021-08-28,,1120,1450,1093,1546,2073,2682,1070,1451
2021-08-29,,1131,1459,1119,1593,2155,2783,1079,1485
2021-08-30,,1150,1463,1146,1621,2249,2900,1103,1543
2021-08-31,,1158,1471,1175,1665,2354,3085,1114,1519
2021-09-01,,1148,1500,1205,1698,2460,3185,1131,1552
2021-09-02,,1184,1513,1236,1738,2532,3303,1151,1552
2021-09-03,,1197,1513,1269,1761,2616,3418,1158,1552
2021-09-04,,1210,1564,1302,1804,2714,3581,1146,1557
2021-09-05,,1212,1592,1336,1828,2808,3689,1157,1612
2021-09-06,,1228,1619,1371,1857,2923,3804,1196,1620
2021-09-07,,1276,1653,1406,1883,3011,3883,1232,1661
2021-09-08,,1301,1656,1441,1911,3153,4033,1289,1708
2021-09-09,,1320,1699,1477,1954,3253,4210,1317,1758
2021-09-10,,1352,1724,1513,1972,3360,4350,1314,1795
2021-09-11,,1370,1736,1549,2029,3476,4466,1357,1819
2021-09-12,,1394,1754,1584,2050,3586,4632,1355,1830
2021-09-13,,1408,1776,1620,2090,3695,4759,1355,1881
2021-09-14,,1407,1789,1654,2129,3801,4898,1358,1941
2021-09-15,,1421,1789,1689,2188,3928,5064,1384,1999
2021-09-16,,1436,1789,1722,2250,4025,5218,1422,2014
2021-09-17,,1460,1806,1755,2284,4157,5374,1472,2030
2021-09-18,,1500,1829,1786,2349,4317,5484,1500,2065
2021-09-19,,1487,1872,1817,2395,4451,5654,1507,2111
2021-09-20,,1499,1863,1846,2436,4577,5742,1561,2185
2021-09-21,,1513,1894,1874,2475,4691,5859,1636,2227
2021-09-22,,1524,1937,1900,2499,4846,5959,1686,2301
2021-09-23,,1539,1960,1925,2552,4946,6209,1723,2407
2021-09-24,,1557,1965,1947,2563,5048,6366,1788,2472
2021-09-25,,1565,1973,1968,2604,5162,6528,1853,2544
2021-09-26,,1578,1986,2010,2645,5294,6691,1923,2659
2021-09-27,,1579,2000,2015,2678,5453,6796,1998,2780
2021-09-28,,1579,2013,2033,2723,5512,6893,2105,2934
2021-09-29,,1605,2012,2039,2755,5619,6996,2199,3073
2021-09-30,,1617,2050,2056,2799,5691,7074,2334,3250
2021-10-01,,1633,2061,2131,2817,5796,7146,2459,3431
2021-10-02,,1630,2091,2176,2850,5883,7240,2546,3498
2021-10-03,,1644,2092,2210,2881,6000,7381,2645,3579
2021-10-04,,1643,2112,2231,2911,6116,7454,2825,3668
2021-10-05,,1646,2116,2247,2945,6155,7511,3014,3808
2021-10-06,,1644,2144,2291,2961,6211,7572,3111,4033
2021-10-07,,1645,2144,2302,3000,6253,7621,3174,4219
2021-10-08,,1658,2144,2329,3026,6314,7670,3291,4382
2021-10-09,,1671,2130,2383,3050,6353,7710,3406,4552
2021-10-10,,1669,2131,2394,3077,6392,7735,3550,4826
2021-10-11,,1711,2131,2407,3081,6439,7774,3688,4979
2021-10-12,,1711,2144,2435,3113,6470,7788,3764,5109
2021-10-13,,1724,2144,2474,3145,6487,7775,3919,5304
2021-10-14,,1716,2144,2485,3175,6527,7788,4142,5439
2021-10-15,,1723,2144,2513,3209,6550,7789,4269,5564
2021-10-16,,1667,2142,2534,3207,6551,7775,4420,5716
2021-10-17,,1658,2132,2560,3250,6551,7761,4512,5883
2021-10-18,,1658,2119,2592,3250,6551,7723,4608,6068
2021-10-19,,1658,2120,2605,3263,6532,7660,4728,6202
2021-10-20,,1658,2119,2617,3263,6527,7592,4878,6380
2021-10-21,,1658,2079,2618,3276,6472,7537,5022,6578
2021-10-22,,1656,2077,2632,3307,6436,7503,5196,6831
2021-10-23,,1657,2052,2631,3316,6420,7443,5329,6915
2021-10-24,,1644,2052,2630,3326,6405,7377,5496,7114
2021-10-25,,1644,2039,2657,3354,6355,7290,5603,7180
2021-10-26,,1646,2039,2643,3355,6345,7251,5741,7334
2021-10-27,,1643,2026,2656,3376,6305,7218,5854,7480
2021-10-28,,1644,2025,2683,3395,6248,7101,6019,7614
2021-10-29,,1637,2013,2684,3388,6166,7009,6177,7703
2021-10-30,,1631,2013,2684,3367,6091,6855,6247,7813
2021-10-31,,1631,1972,2683,3394,6005,6737,6380,7914
2021-11-01,,1614,1951,2681,3384,5947,6593,6444,7973
