date,real,A_down,A_top,B_down,B_top
2021-12-01,1697.277246,1541.311228,1743.149604,1477.089927,1752.324075
2021-12-02,1752.977337,1568.972649,1695.988652,1531.916937,1706.803088
2021-12-03,1826.43566,1585.624621,1762.424788,1586.384257,1751.677358
2021-12-04,1879.779337,1647.116824,1817.888126,1640.119549,1815.544927
2021-12-05,1945.729957,1694.734471,1926.146192,1737.63479,1962.798536
2021-12-06,2008.426056,1785.549602,2049.222642,1787.977222,2063.544757
2021-12-07,2081.917838,1856.531338,2148.714463,1852.275105,2138.61399
2021-12-08,2153.786884,1917.959398,2225.779198,1910.786841,2242.265045
2021-12-09,2237.673753,1989.70601,2294.039053,1974.059386,2323.818586
2021-12-10,2324.033793,2073.396135,2359.723579,2048.256819,2376.003296
2021-12-11,2394.683985,2137.926937,2440.744632,2129.729292,2440.180555
2021-12-12,2458.758825,2201.874069,2532.153919,2183.523819,2522.979079
2021-12-13,2531.729401,2283.671997,2632.743431,2220.036708,2606.76993
2021-12-14,2597.363414,2373.290295,2686.581974,2300.587749,2685.171621
2021-12-15,2651.737489,2436.550749,2757.089006,2386.398292,2776.384389
2021-12-16,2709.067229,2497.08876,2841.053649,2508.722732,2854.552104
2021-12-17,2761.380143,2578.588115,2898.880163,2604.614385,2918.294907
2021-12-18,2816.103222,2665.770561,2994.24785,2656.083649,2962.520046
2021-12-19,2872.226824,2722.462368,3098.292901,2706.860137,3045.540416
2021-12-20,2908.79628,2788.107358,3177.027764,2802.149597,3120.386375
2021-12-21,2954.982172,2835.07379,3249.885192,2862.942088,3221.680175
2021-12-22,2999.535216,2870.42895,3293.929137,2899.399608,3305.450348
2021-12-23,,2920.142943,3302.809165,3009.2247,3321.1582
2021-12-24,,2999.041411,3376.62753,3009.303256,3420.347269
2021-12-25,,3118.551974,3431.751472,3073.49264,3465.736381
2021-12-26,,3169.193592,3506.972799,3141.541503,3523.801669
2021-12-27,,3208.92635,3583.313504,3222.857278,3573.2724
2021-12-28,,3258.308609,3633.331244,3255.215178,3630.803119
2021-12-29,,3302.008921,3680.904753,3301.399235,3681.075224
2021-12-30,,3351.425965,3757.080007,3331.79188,3730.935334
2021-12-31,,3395.212352,3809.240093,3366.224346,3760.674685
2022-01-01,,3412.903923,3806.033026,3385.783239,3770.311901
2022-01-02,,3413.468445,3807.402725,3394.45194,3798.177665
2022-01-03,,3403.730715,3834.929187,3412.903476,3798.231081
2022-01-04,,3385.218478,3807.008962,3404.370599,3789.241993
2022-01-05,,3347.443227,3763.149168,3386.106723,3770.687941
2022-01-06,,3287.690213,3717.198561,3348.933636,3771.401813
2022-01-07,,3239.819289,3656.636554,3357.578508,3761.648564
2022-01-08,,3216.899751,3555.530345,3339.602845,3695.790256
2022-01-09,,3160.218543,3509.352271,3322.113609,3660.637399
2022-01-10,,3098.790028,3414.403357,3257.524733,3628.369768
2022-01-11,,3014.352627,3364.722135,3211.32845,3577.929247
2022-01-12,,2960.951238,3281.619496,3185.734363,3494.157474
2022-01-13,,2860.465498,3247.23207,3146.363949,3458.733634
2022-01-14,,2798.217207,3174.373496,3128.496739,3458.778568
2022-01-15,,2789.416568,3082.954653,3100.959664,3449.594118
2022-01-16,,2751.845674,3019.193602,3100.971474,3425.597247
2022-01-17,,2761.34735,2985.753921,3107.938748,3394.512469
2022-01-18,,2752.599828,2973.423602,3139.094745,3412.891316
2022-01-19,,2752.273483,2972.528834,3171.804184,3430.518658
2022-01-20,,2784.370267,2972.777578,3174.441276,3471.171082
2022-01-21,,2789.046732,2997.106642,3258.911871,3546.846859
2022-01-22,,2797.904619,3040.063991,3373.058459,3655.591999
2022-01-23,,2843.370409,3104.507838,3469.295232,3756.951689
2022-01-24,,2890.332746,3157.345701,3597.212927,3862.884888
2022-01-25,,2981.696922,3247.756224,3706.468591,3981.713335
2022-01-26,,3063.326577,3302.020517,3834.51318,4136.03254
2022-01-27,,3180.572703,3354.269937,3978.761774,4246.116263
2022-01-28,,3283.522608,3482.202496,4072.163131,4336.872255
2022-01-29,,3347.59704,3589.226204,4222.640631,4457.720133
2022-01-30,,3424.274234,3670.432346,4353.093993,4580.429011
2022-01-31,,3488.295848,3734.102528,4464.827642,4701.324024
2022-02-01,,3555.035495,3797.847373,4587.117273,4813.558667
2022-02-02,,3635.410837,3835.315506,4635.624895,4909.216207
2022-02-03,,3671.258202,3871.810315,4691.178089,5002.525091
2022-02-04,,3734.935404,3908.379837,4770.278746,5056.387227
2022-02-05,,3789.054079,3935.841572,4807.423993,5091.827736
2022-02-06,,3798.231,3963.490389,4853.542648,5109.570747
2022-02-07,,3798.212908,3946.471821,4889.034831,5151.973301
2022-02-08,,3798.280523,3944.37744,4915.959724,5165.399654
2022-02-09,,3803.034787,3920.46632,4936.565431,5165.227516
2022-02-10,,3792.939694,3900.577362,4944.238394,5165.227509
2022-02-11,,3770.637575,3905.071488,4921.168909,5165.227382
2022-02-12,,3756.126223,3880.914991,4894.245644,5160.810327
