date;reality;projection;
01/04/2021;;432;1
02/04/2021;;437;2
03/04/2021;;442;3
04/04/2021;;445;4
05/04/2021;;447;5
06/04/2021;;446;6
07/04/2021;;444;7
08/04/2021;;443;8
09/04/2021;;438;9
10/04/2021;;434;10
11/04/2021;;430;11
12/04/2021;;425;12
13/04/2021;;422;13
14/04/2021;;418;14
15/04/2021;;415;15
16/04/2021;;411;16
17/04/2021;;408;17
18/04/2021;;406;18
19/04/2021;;402;19
20/04/2021;;397;20
21/04/2021;;392;21
22/04/2021;;386;22
23/04/2021;;377;23
24/04/2021;;368;24
25/04/2021;;358;25
26/04/2021;;348;26
27/04/2021;;337;27
28/04/2021;;325;28
29/04/2021;;313;29
30/04/2021;;303;30
01/05/2021;;289;31
02/05/2021;;277;32
03/05/2021;;263;33
04/05/2021;;252;34
05/05/2021;;240;35
06/05/2021;;229;36
07/05/2021;;217;37
08/05/2021;;206;38
09/05/2021;;196;39
10/05/2021;;186;40
11/05/2021;;178;41
12/05/2021;;170;42
13/05/2021;;163;43
14/05/2021;;156;44
15/05/2021;;150;45
16/05/2021;;145;46
17/05/2021;;141;47
18/05/2021;;137;48
19/05/2021;;134;49
20/05/2021;;129;50
21/05/2021;;125;51
22/05/2021;;122;52
23/05/2021;;118;53
24/05/2021;;115;54
25/05/2021;;112;55
26/05/2021;;106;56
27/05/2021;;102;57
28/05/2021;;99;58
29/05/2021;;96;59
30/05/2021;;90;60
31/05/2021;;87;61
01/06/2021;;83;62
02/06/2021;;80;63
03/06/2021;;75;64
04/06/2021;;72;65
05/06/2021;;68;66
06/06/2021;;65;67
07/06/2021;;63;68
08/06/2021;;59;69
09/06/2021;;56;70
10/06/2021;;52;71
11/06/2021;;49;72
12/06/2021;;46;73
13/06/2021;;44;74
14/06/2021;;41;75
15/06/2021;;38;76
16/06/2021;;37;77
17/06/2021;;33;78
18/06/2021;;32;79
19/06/2021;;28;80
20/06/2021;;27;81
21/06/2021;;25;82
22/06/2021;;23;83
23/06/2021;;21;84
24/06/2021;;21;85
25/06/2021;;19;86
26/06/2021;;18;87
27/06/2021;;18;88
28/06/2021;;17;89
29/06/2021;;17;90
30/06/2021;;17;91
01/07/2021;15;17;92
02/07/2021;16;16;93
03/07/2021;17;17;94
04/07/2021;16;17;95
05/07/2021;17;18;96
06/07/2021;18;18;97
07/07/2021;19;19;98
08/07/2021;19;20;99
09/07/2021;21;20;100
10/07/2021;21;22;101
11/07/2021;23;23;102
12/07/2021;24;24;103
13/07/2021;25;25;104
14/07/2021;28;28;105
15/07/2021;30;30;106
16/07/2021;32;31;107
17/07/2021;34;33;108
18/07/2021;37;37;109
19/07/2021;42;40;110
20/07/2021;44;44;111
21/07/2021;50;48;112
22/07/2021;53;53;113
23/07/2021;60;56;114
24/07/2021;65;63;115
25/07/2021;71;70;116
26/07/2021;78;76;117
27/07/2021;85;83;118
28/07/2021;93;90;119
29/07/2021;101;98;120
30/07/2021;109;106;121
31/07/2021;116;113;122
01/08/2021;118;121;123
02/08/2021;125;129;124
03/08/2021;132;133;125
04/08/2021;137;140;126
05/08/2021;142;143;127
06/08/2021;146;148;128
07/08/2021;148;150;129
08/08/2021;149;152;130
09/08/2021;152;154;131
10/08/2021;152;155;132
11/08/2021;152;155;133
12/08/2021;152;157;134
13/08/2021;152;158;135
14/08/2021;152;160;136
15/08/2021;152;160;137
16/08/2021;151;161;138
17/08/2021;150;162;139
18/08/2021;150;163;140
19/08/2021;149;163;141
20/08/2021;148;163;142
21/08/2021;147;165;
22/08/2021;145;164;
23/08/2021;143;161;
24/08/2021;142;159;
25/08/2021;139;156;
26/08/2021;135;154;
27/08/2021;133;151;
28/08/2021;130;147;
29/08/2021;126;144;
30/08/2021;123;140;
31/08/2021;120;137;
01/09/2021;118;135;
02/09/2021;115;131;
03/09/2021;112;129;
04/09/2021;107;126;
05/09/2021;103;;
06/09/2021;100;;
07/09/2021;97;;
08/09/2021;93;;
09/09/2021;89;;
10/09/2021;86;;
11/09/2021;82;;
12/09/2021;79;;
13/09/2021;74;;
14/09/2021;71;;
15/09/2021;69;;
;66;;
;63;;
;60;;
;58;;
;56;;
;54;;
;52;;
;51;;
;47;;
;46;;
;45;;
;43;;
;42;;
;41;;
;40;;
;39;;
;39;;
;38;;
;38;;
;37;;
;37;;
;37;;
;37;;
;37;;
;37;;
;37;;
;38;;
;38;;
;39;;
;40;;
;41;;
;42;;
;44;;
;45;;
;47;;
;49;;
;50;;
;51;;
;53;;
;55;;
;57;;
;57;;
;59;;
;60;;
;60;;
;62;;
;64;;
;64;;
;66;;
;67;;
;70;;
;72;;
;74;;
;76;;
;78;;
;80;;
;83;;
;85;;
;87;;
;89;;
;92;;
;95;;
;98;;
;100;;
;103;;
;107;;
;112;;
;119;;
;125;;
;132;;
;140;;
;148;;
;157;;
;167;;
;176;;
;186;;
;194;;
;203;;
;211;;
;218;;
;223;;
;228;;
;235;;
;238;;
;243;;
;246;;
;249;;
;250;;
;252;;
;254;;
;255;;
;257;;
