date;reality;projection;
01/01/2021;165;;1
02/01/2021;167;;2
03/01/2021;169;;3
04/01/2021;171;;4
05/01/2021;172;;5
06/01/2021;175;;6
07/01/2021;177;;7
08/01/2021;180;;8
09/01/2021;182;;9
10/01/2021;185;;10
11/01/2021;189;;11
12/01/2021;196;;12
13/01/2021;199;;13
14/01/2021;204;;14
15/01/2021;209;;15
16/01/2021;214;;16
17/01/2021;219;;17
18/01/2021;226;;18
19/01/2021;230;;19
20/01/2021;233;;20
21/01/2021;236;;21
22/01/2021;239;;22
23/01/2021;241;;23
24/01/2021;241;;24
25/01/2021;241;;25
26/01/2021;241;;26
27/01/2021;241;;27
28/01/2021;241;;28
29/01/2021;239;;29
30/01/2021;239;;30
31/01/2021;238;;31
01/02/2021;238;;32
02/02/2021;238;;33
03/02/2021;238;;34
04/02/2021;238;;35
05/02/2021;238;;36
06/02/2021;238;;37
07/02/2021;238;;38
08/02/2021;238;;39
09/02/2021;238;;40
10/02/2021;237;;41
11/02/2021;235;;42
12/02/2021;234;;43
13/02/2021;235;;44
14/02/2021;233;;45
15/02/2021;231;;46
16/02/2021;231;;47
17/02/2021;235;;48
18/02/2021;235;;49
19/02/2021;237;;50
20/02/2021;240;;51
21/02/2021;244;;52
22/02/2021;248;;53
23/02/2021;251;;54
24/02/2021;255;;55
25/02/2021;258;;56
26/02/2021;262;;57
27/02/2021;269;;58
28/02/2021;270;;59
01/03/2021;274;;60
02/03/2021;277;;61
03/03/2021;278;;62
04/03/2021;280;;63
05/03/2021;282;;64
06/03/2021;285;;65
07/03/2021;285;;66
08/03/2021;289;;67
09/03/2021;291;;68
10/03/2021;295;;69
11/03/2021;301;;70
12/03/2021;304;;71
13/03/2021;311;;72
14/03/2021;316;;73
15/03/2021;323;;74
16/03/2021;330;;75
17/03/2021;337;;76
18/03/2021;342;;77
19/03/2021;350;;78
20/03/2021;356;;79
21/03/2021;362;;80
22/03/2021;368;;81
23/03/2021;374;;82
24/03/2021;382;;83
25/03/2021;387;;84
26/03/2021;394;;85
27/03/2021;402;;86
28/03/2021;408;;87
29/03/2021;416;;88
30/03/2021;424;;89
31/03/2021;430;;90
01/04/2021;435;;91
02/04/2021;440;;92
03/04/2021;444;;93
04/04/2021;444;;94
05/04/2021;445;;95
06/04/2021;443;;96
07/04/2021;441;;97
08/04/2021;437;;98
09/04/2021;434;;99
10/04/2021;427;;100
11/04/2021;423;;101
12/04/2021;420;;102
13/04/2021;415;;103
14/04/2021;413;;104
15/04/2021;410;;105
16/04/2021;407;;106
17/04/2021;405;;107
18/04/2021;402;;108
19/04/2021;398;;109
20/04/2021;395;;110
21/04/2021;390;;111
22/04/2021;;;112
23/04/2021;;;113
24/04/2021;;365;114
25/04/2021;;362;
26/04/2021;;357;
27/04/2021;;352;
28/04/2021;;348;
29/04/2021;;344;
30/04/2021;;341;
01/05/2021;;337;
02/05/2021;;334;
03/05/2021;;330;
04/05/2021;;327;
05/05/2021;;325;
06/05/2021;;321;
07/05/2021;;319;
08/05/2021;;317;
09/05/2021;;;
10/05/2021;;;
11/05/2021;;;
12/05/2021;;;
13/05/2021;;;
14/05/2021;;;
15/05/2021;;;
16/05/2021;;;
17/05/2021;;;
18/05/2021;;;
19/05/2021;;;
20/05/2021;;;
21/05/2021;;;
22/05/2021;;;
23/05/2021;;;
24/05/2021;;;
25/05/2021;;;
26/05/2021;;;
27/05/2021;;;
28/05/2021;;;
29/05/2021;;;
30/05/2021;;;
31/05/2021;;;
01/06/2021;;;
