date;cerfew_vaccine;cerfew_no_vaccine;R1;R09;VOC_40;VOC_70
31/01/2021;;;;;;
01/02/2021;;;1770;1588;1625;1833
02/02/2021;;;1771;1584;1649;1851
03/02/2021;;;1810;1614;1669;1876
04/02/2021;1745;;1825;1626;1662;1901
05/02/2021;1745;;1847;1627;1662;1918
06/02/2021;1760;1746;1863;1612;1660;1943
07/02/2021;1745;1745;1880;1608;1652;1980
08/02/2021;1772;1758;1908;1601;1652;2006
09/02/2021;1774;1775;1929;1595;1652;2032
10/02/2021;1775;1775;1946;1589;1653;2060
11/02/2021;1775;1775;1968;1576;1643;2100
12/02/2021;1775;1775;1984;1575;1642;2140
13/02/2021;1775;1786;2003;1563;1631;2172
14/02/2021;1775;1805;2029;1553;1621;2203
15/02/2021;1775;1815;2045;1544;1622;2257
16/02/2021;1773;1834;2065;1537;1617;2287
17/02/2021;1790;1834;2086;1526;1602;2343
18/02/2021;1789;1837;2106;1514;1602;2393
19/02/2021;1789;1828;2128;1513;1604;2452
20/02/2021;1790;1866;2147;1501;1583;2499
21/02/2021;1800;1903;2168;1490;1583;2562
22/02/2021;1804;1916;2189;1482;1562;2616
23/02/2021;1804;1929;2210;1473;1563;2684
24/02/2021;1804;1942;2236;1464;1542;2752
25/02/2021;1814;1972;2257;1452;1542;2822
26/02/2021;1817;2006;2284;1450;1522;2916
27/02/2021;1835;2035;2304;1438;1523;2998
28/02/2021;1833;2045;2329;1434;1503;3088
01/03/2021;1833;2076;2357;1426;1505;3154
02/03/2021;1833;2099;2385;1418;1484;3244
03/03/2021;1832;2134;2399;1411;;
04/03/2021;1863;2170;;;;
05/03/2021;1869;2206;;;;
06/03/2021;1893;2242;;;;
07/03/2021;1898;2269;;;;
08/03/2021;1928;2319;;;;
09/03/2021;1951;2375;;;;
10/03/2021;1972;2425;;;;
11/03/2021;2001;2457;;;;
12/03/2021;2029;2513;;;;
13/03/2021;2069;2533;;;;
14/03/2021;2106;2599;;;;
15/03/2021;2138;2668;;;;
16/03/2021;2175;2724;;;;
17/03/2021;2228;2775;;;;
18/03/2021;2251;2840;;;;
19/03/2021;2314;2938;;;;
20/03/2021;2338;2979;;;;
21/03/2021;2399;3046;;;;
22/03/2021;2450;3120;;;;
23/03/2021;2487;3226;;;;
24/03/2021;2545;3287;;;;
25/03/2021;2584;3356;;;;
26/03/2021;2632;3441;;;;
27/03/2021;2688;3568;;;;
28/03/2021;2718;3649;;;;
29/03/2021;2776;3690;;;;
30/03/2021;2807;3843;;;;
31/03/2021;2879;3942;;;;
01/04/2021;2938;4084;;;;
02/04/2021;3026;4274;;;;
03/04/2021;3113;4366;;;;
04/04/2021;3204;4621;;;;
05/04/2021;3290;4722;;;;
06/04/2021;3406;5000;;;;
07/04/2021;3523;5224;;;;
08/04/2021;3654;5415;;;;
09/04/2021;3770;5738;;;;
10/04/2021;3887;6043;;;;
11/04/2021;4003;6143;;;;
12/04/2021;4149;6469;;;;
13/04/2021;4294;6814;;;;
14/04/2021;4425;7147;;;;
15/04/2021;4585;7491;;;;
16/04/2021;4730;7593;;;;
17/04/2021;4875;7935;;;;
18/04/2021;5052;8304;;;;
19/04/2021;5184;8672;;;;
20/04/2021;5328;9005;;;;
21/04/2021;5474;9363;;;;
22/04/2021;5609;9698;;;;
23/04/2021;5708;;;;;
24/04/2021;5813;;;;;
25/04/2021;5917;;;;;
26/04/2021;6005;;;;;
27/04/2021;6076;;;;;
28/04/2021;6138;;;;;
29/04/2021;6197;;;;;
30/04/2021;6227;;;;;
01/05/2021;6273;;;;;
02/05/2021;6290;;;;;
03/05/2021;6324;;;;;
04/05/2021;6322;;;;;
05/05/2021;6321;;;;;
06/05/2021;6314;;;;;
07/05/2021;6295;;;;;
08/05/2021;6263;;;;;
09/05/2021;6233;;;;;
10/05/2021;6186;;;;;
11/05/2021;6153;;;;;
12/05/2021;6100;;;;;
13/05/2021;6042;;;;;
14/05/2021;5984;;;;;
15/05/2021;5924;;;;;
16/05/2021;5829;;;;;
17/05/2021;5769;;;;;
18/05/2021;5665;;;;;
19/05/2021;5633;;;;;
20/05/2021;5518;;;;;
21/05/2021;5418;;;;;
22/05/2021;5318;;;;;
23/05/2021;5200;;;;;
24/05/2021;5082;;;;;
25/05/2021;4983;;;;;
26/05/2021;4860;;;;;
27/05/2021;4733;;;;;
28/05/2021;4634;;;;;
29/05/2021;4499;;;;;
30/05/2021;4384;;;;;
31/05/2021;4269;;;;;
