date;real_black;blue_full;blue_dashed;purple_full;purple_dashed;pink_full;pink_dashed
01/07/2021;13;13;13;13;13;13;13
02/07/2021;13;13;13;13;13;13;13
03/07/2021;13;13;13;13;13;13;13
04/07/2021;13;13;13;13;13;13;13
05/07/2021;13;13;13;13;13;13;13
06/07/2021;14;14;14;14;14;14;14
07/07/2021;16;16;16;16;16;16;16
08/07/2021;16;16;16;16;16;16;16
09/07/2021;17;17;17;17;17;17;17
10/07/2021;18;18;18;18;18;18;18
11/07/2021;21;21;21;21;21;21;21
12/07/2021;22;22;22;22;22;22;22
13/07/2021;21;21;21;21;21;21;21
14/07/2021;25;25;25;25;25;25;25
15/07/2021;21;21;21;21;21;21;21
16/07/2021;25;25;25;25;25;25;25
17/07/2021;31;31;31;31;31;31;31
18/07/2021;;;;;;;
19/07/2021;;;;;;;
20/07/2021;;;;;;;
21/07/2021;;;;;;;
22/07/2021;;;;;;;
23/07/2021;;;;;;;
24/07/2021;;;81;81;81;81;81
25/07/2021;;73;76;76;76;76;76
26/07/2021;;75;76;76;76;76;76
27/07/2021;;85;85;85;85;85;85
28/07/2021;;94;94;94;94;94;94
29/07/2021;;104;104;104;104;104;104
30/07/2021;;115;115;115;115;115;115
31/07/2021;;127;127;127;127;127;127
01/08/2021;;139;139;139;139;139;139
02/08/2021;;151;152;152;152;152;152
03/08/2021;;168;168;168;168;157;157
04/08/2021;;185;185;185;185;169;169
05/08/2021;;203;204;204;204;183;183
06/08/2021;;222;222;222;222;199;199
07/08/2021;;246;240;240;225;210;211
08/08/2021;;262;261;244;244;229;225
09/08/2021;;284;284;258;258;238;231
10/08/2021;;310;307;277;277;248;239
11/08/2021;;336;335;295;294;250;240
12/08/2021;;354;351;318;315;262;255
13/08/2021;;383;373;338;330;267;259
14/08/2021;;415;409;345;335;283;255
15/08/2021;;443;431;379;345;291;263
16/08/2021;;476;443;398;356;298;269
17/08/2021;;517;488;421;373;304;275
18/08/2021;;543;499;438;387;311;276
19/08/2021;;577;494;460;396;319;279
20/08/2021;;608;513;476;404;324;280
21/08/2021;;642;526;499;415;329;280
22/08/2021;;669;552;511;419;333;279
23/08/2021;;699;567;531;429;337;278
24/08/2021;;731;582;548;439;341;276
25/08/2021;;761;593;565;444;343;274
26/08/2021;;792;601;579;449;346;272
27/08/2021;;818;616;595;452;349;269
28/08/2021;;846;631;608;453;350;266
29/08/2021;;873;634;620;453;350;265
30/08/2021;;896;633;629;452;351;259
31/08/2021;;911;636;644;451;350;252
01/09/2021;;927;643;650;451;349;247
02/09/2021;;940;645;655;447;349;243
03/09/2021;;951;636;661;442;346;239
04/09/2021;;960;626;664;438;343;235
05/09/2021;;966;625;664;434;341;230
06/09/2021;;967;618;664;427;336;224
07/09/2021;;964;610;660;418;333;216
08/09/2021;;958;609;656;411;328;210
09/09/2021;;950;596;650;406;321;208
10/09/2021;;939;579;640;399;315;201
11/09/2021;;926;572;633;394;309;197
12/09/2021;;909;560;622;386;302;191
13/09/2021;;891;549;610;375;296;174
14/09/2021;;868;539;597;364;289;172
15/09/2021;;847;516;580;358;279;173
16/09/2021;;821;506;564;349;270;172
17/09/2021;;793;493;545;345;262;160
18/09/2021;;766;482;528;333;254;160
19/09/2021;;736;467;510;320;244;160
20/09/2021;;707;444;488;309;235;142
21/09/2021;;679;436;470;302;225;139
22/09/2021;;651;420;453;294;218;139
23/09/2021;;622;415;436;289;209;136
24/09/2021;;593;363;417;278;201;131
25/09/2021;;564;371;399;265;191;128
26/09/2021;;537;361;379;253;183;125
27/09/2021;;508;341;362;247;176;117
28/09/2021;;481;331;345;236;166;113
29/09/2021;;452;304;326;233;160;113
30/09/2021;;434;301;311;;154;109
