date;reality;projection
01/10/2021;1083;
02/10/2021;1070;
03/10/2021;1044;
04/10/2021;1029;
05/10/2021;1005;
06/10/2021;988;
07/10/2021;972;
08/10/2021;957;
09/10/2021;943;
10/10/2021;926;
11/10/2021;920;
12/10/2021;904;
13/10/2021;892;
14/10/2021;877;
15/10/2021;873;
16/10/2021;868;
17/10/2021;862;
18/10/2021;862;
19/10/2021;863;
20/10/2021;862;
21/10/2021;863;
22/10/2021;863;
23/10/2021;873;
24/10/2021;883;
25/10/2021;886;
26/10/2021;894;
27/10/2021;905;
28/10/2021;911;
29/10/2021;915;
30/10/2021;931;
31/10/2021;946;
01/11/2021;949;
02/11/2021;966;
03/11/2021;968;
04/11/2021;985;
05/11/2021;1000;
06/11/2021;1014;
07/11/2021;1030;
08/11/2021;1045;
09/11/2021;1060;
10/11/2021;1076;
11/11/2021;1101;
12/11/2021;1115;
13/11/2021;1136;
14/11/2021;1156;
15/11/2021;1182;
16/11/2021;1204;
17/11/2021;1235;
18/11/2021;1259;
19/11/2021;1274;
20/11/2021;1302;
21/11/2021;1354;
22/11/2021;1385;
23/11/2021;1415;
24/11/2021;1458;
25/11/2021;1505;
26/11/2021;1539;
27/11/2021;1622;
28/11/2021;1680;
29/11/2021;1739;
30/11/2021;1809;
01/12/2021;1874;
02/12/2021;1960;1960
03/12/2021;2034;
04/12/2021;2109;2144
05/12/2021;2184;2186
06/12/2021;2255;2289
07/12/2021;2333;2407
08/12/2021;2398;2508
09/12/2021;2469;2657
10/12/2021;2528;2759
11/12/2021;2587;2831
12/12/2021;2658;2940
13/12/2021;2723;3014
14/12/2021;2767;3155
15/12/2021;2828;3297
16/12/2021;2895;3425
17/12/2021;2901;3556
18/12/2021;2933;3711
19/12/2021;2936;3819
