date;reality;projection
01/10/2021;159;
02/10/2021;157;
03/10/2021;155;
04/10/2021;150;
05/10/2021;147;
06/10/2021;146;
07/10/2021;146;
08/10/2021;146;
09/10/2021;146;
10/10/2021;146;
11/10/2021;147;
12/10/2021;151;
13/10/2021;151;
14/10/2021;157;
15/10/2021;159;
16/10/2021;165;
17/10/2021;170;
18/10/2021;175;
19/10/2021;178;
20/10/2021;184;
21/10/2021;191;
22/10/2021;192;
23/10/2021;198;
24/10/2021;204;
25/10/2021;210;
26/10/2021;216;
27/10/2021;217;
28/10/2021;224;
29/10/2021;229;
30/10/2021;233;
31/10/2021;233;
01/11/2021;243;
02/11/2021;252;
03/11/2021;259;
04/11/2021;267;
05/11/2021;279;
06/11/2021;287;
07/11/2021;295;
08/11/2021;307;
09/11/2021;319;
10/11/2021;330;
11/11/2021;342;
12/11/2021;354;
13/11/2021;366;
14/11/2021;378;
15/11/2021;395;
16/11/2021;411;
17/11/2021;423;
18/11/2021;438;
19/11/2021;454;
20/11/2021;476;
21/11/2021;497;
22/11/2021;521;
23/11/2021;548;
24/11/2021;578;
25/11/2021;610;
26/11/2021;641;
27/11/2021;682;
28/11/2021;717;
29/11/2021;752;
30/11/2021;781;
01/12/2021;816;816
02/12/2021;850;
03/12/2021;879;896
04/12/2021;908;957
05/12/2021;931;992
06/12/2021;950;1038
07/12/2021;968;1090
08/12/2021;981;1125
09/12/2021;997;1165
10/12/2021;1009;1197
11/12/2021;1019;1234
12/12/2021;1029;1297
13/12/2021;1040;1327
14/12/2021;1046;1384
15/12/2021;1052;1416
16/12/2021;1053;1480
17/12/2021;;1531
