date;reality;projection;
01/01/2021;;166;1
02/01/2021;168;169;2
03/01/2021;168;168;3
04/01/2021;170;171;4
05/01/2021;172;174;5
06/01/2021;174;175;6
07/01/2021;175;178;7
08/01/2021;178;180;8
09/01/2021;181;184;9
10/01/2021;184;187;10
11/01/2021;189;191;11
12/01/2021;192;195;12
13/01/2021;198;199;13
14/01/2021;201;205;14
15/01/2021;206;210;15
16/01/2021;212;215;16
17/01/2021;217;221;17
18/01/2021;221;225;18
19/01/2021;227;231;19
20/01/2021;231;235;20
21/01/2021;234;236;21
22/01/2021;237;240;22
23/01/2021;239;240;23
24/01/2021;240;241;24
25/01/2021;242;241;25
26/01/2021;242;240;26
27/01/2021;241;240;27
28/01/2021;239;240;28
29/01/2021;239;240;29
30/01/2021;239;239;30
31/01/2021;239;239;31
01/02/2021;238;238;32
02/02/2021;237;237;33
03/02/2021;237;237;34
04/02/2021;237;237;35
05/02/2021;237;239;36
06/02/2021;237;238;37
07/02/2021;237;239;38
08/02/2021;237;239;39
09/02/2021;238;237;40
10/02/2021;236;237;41
11/02/2021;236;236;42
12/02/2021;236;234;43
13/02/2021;233;234;44
14/02/2021;233;234;45
15/02/2021;233;231;46
16/02/2021;233;234;47
17/02/2021;233;234;48
18/02/2021;234;236;49
19/02/2021;235;238;50
20/02/2021;238;239;51
21/02/2021;241;245;52
22/02/2021;244;249;53
23/02/2021;248;253;54
24/02/2021;252;257;55
25/02/2021;258;261;56
26/02/2021;261;265;57
27/02/2021;264;268;58
28/02/2021;269;272;59
01/03/2021;272;274;60
02/03/2021;274;277;61
03/03/2021;278;279;62
04/03/2021;280;280;63
05/03/2021;281;283;64
06/03/2021;284;285;65
07/03/2021;284;288;66
08/03/2021;287;288;67
09/03/2021;289;292;68
10/03/2021;293;296;69
11/03/2021;299;302;70
12/03/2021;301;305;71
13/03/2021;306;311;72
14/03/2021;311;317;73
15/03/2021;317;323;74
16/03/2021;324;331;75
17/03/2021;332;337;76
18/03/2021;338;343;77
19/03/2021;343;350;78
20/03/2021;350;356;79
21/03/2021;357;363;80
22/03/2021;363;369;81
23/03/2021;368;375;82
24/03/2021;375;382;83
25/03/2021;382;388;84
26/03/2021;388;395;85
27/03/2021;394;401;86
28/03/2021;403;410;87
29/03/2021;410;415;88
30/03/2021;416;424;89
31/03/2021;422;429;90
01/04/2021;428;436;91
02/04/2021;435;440;92
03/04/2021;439;443;93
04/04/2021;443;445;94
05/04/2021;444;444;95
06/04/2021;444;444;96
07/04/2021;442;442;97
08/04/2021;439;439;98
09/04/2021;436;434;99
10/04/2021;433;430;100
11/04/2021;428;425;101
12/04/2021;424;423;102
13/04/2021;420;418;103
14/04/2021;416;416;104
15/04/2021;413;412;105
16/04/2021;409;409;106
17/04/2021;407;405;107
18/04/2021;403;403;108
19/04/2021;399;398;109
20/04/2021;396;393;110
21/04/2021;390;385;111
22/04/2021;383;379;112
23/04/2021;376;370;113
24/04/2021;368;361;114
25/04/2021;358;349;115
26/04/2021;349;339;116
27/04/2021;337;327;117
28/04/2021;325;317;118
29/04/2021;315;304;119
30/04/2021;303;292;120
01/05/2021;287;277;121
02/05/2021;277;265;122
03/05/2021;264;251;123
04/05/2021;252;239;124
05/05/2021;241;227;125
06/05/2021;228;215;126
07/05/2021;218;204;127
08/05/2021;204;191;128
09/05/2021;194;181;129
10/05/2021;187;173;130
11/05/2021;176;163;131
12/05/2021;170;157;132
13/05/2021;162;150;133
14/05/2021;155;;
15/05/2021;150;137;
16/05/2021;145;135;
17/05/2021;140;129;
18/05/2021;136;125;
19/05/2021;133;123;
20/05/2021;130;118;
21/05/2021;125;116;
22/05/2021;121;113;
23/05/2021;118;110;
24/05/2021;115;108;
25/05/2021;111;106;
26/05/2021;105;;
27/05/2021;103;;
28/05/2021;99;;
29/05/2021;94;;
30/05/2021;90;;
31/05/2021;87;;
01/06/2021;83;;
02/06/2021;78;;
03/06/2021;75;;
04/06/2021;72;;
05/06/2021;68;;
06/06/2021;62;;
07/06/2021;60;;
08/06/2021;57;;
09/06/2021;53;;
10/06/2021;50;;
11/06/2021;49;;
12/06/2021;46;;
13/06/2021;42;;
14/06/2021;40;;
15/06/2021;38;;
16/06/2021;35;;
17/06/2021;33;;
18/06/2021;31;;
19/06/2021;28;;
20/06/2021;26;;
21/06/2021;24;;
22/06/2021;23;;
23/06/2021;20;;
24/06/2021;20;;
