date;reality;projection;
01/08/2021;118;123;1
02/08/2021;125;129;2
03/08/2021;132;135;3
04/08/2021;137;140;4
05/08/2021;142;144;5
06/08/2021;146;146;6
07/08/2021;148;150;7
08/08/2021;149;151;8
09/08/2021;152;152;9
10/08/2021;152;152;10
11/08/2021;152;152;11
12/08/2021;152;152;12
13/08/2021;152;152;13
14/08/2021;152;152;14
15/08/2021;152;152;15
16/08/2021;151;150;16
17/08/2021;150;150;17
18/08/2021;150;150;18
19/08/2021;149;148;19
20/08/2021;148;148;20
21/08/2021;147;146;21
22/08/2021;145;144;22
23/08/2021;143;142;23
24/08/2021;142;140;24
25/08/2021;139;137;25
26/08/2021;135;134;26
27/08/2021;133;131;27
28/08/2021;130;128;28
29/08/2021;126;124;29
30/08/2021;123;121;30
31/08/2021;120;119;31
01/09/2021;118;116;32
02/09/2021;115;113;33
03/09/2021;112;109;34
04/09/2021;107;106;35
05/09/2021;103;101;36
06/09/2021;100;98;37
07/09/2021;97;95;38
08/09/2021;93;90;39
09/09/2021;89;88;40
10/09/2021;86;83;41
11/09/2021;82;80;42
12/09/2021;79;76;43
13/09/2021;74;73;44
14/09/2021;71;70;45
15/09/2021;69;67;46
16/09/2021;66;64;47
17/09/2021;63;61;48
18/09/2021;60;59;49
19/09/2021;58;57;50
20/09/2021;56;55;51
21/09/2021;54;52;52
22/09/2021;52;50;53
23/09/2021;51;48;54
24/09/2021;47;47;55
25/09/2021;46;45;56
26/09/2021;45;44;57
27/09/2021;43;43;58
28/09/2021;42;41;59
29/09/2021;41;41;60
30/09/2021;40;39;61
01/10/2021;39;39;62
02/10/2021;39;39;63
03/10/2021;38;39;64
04/10/2021;38;38;65
05/10/2021;37;38;66
06/10/2021;37;37;67
07/10/2021;37;37;68
08/10/2021;37;37;69
09/10/2021;37;37;70
10/10/2021;37;38;71
11/10/2021;37;38;72
12/10/2021;38;38;73
13/10/2021;38;39;74
14/10/2021;39;39;75
15/10/2021;40;41;76
16/10/2021;41;42;77
17/10/2021;42;43;78
18/10/2021;44;45;79
19/10/2021;45;47;80
20/10/2021;47;48;81
21/10/2021;49;50;82
22/10/2021;50;52;83
23/10/2021;51;53;84
24/10/2021;53;55;85
25/10/2021;55;56;86
26/10/2021;57;58;87
27/10/2021;57;59;88
28/10/2021;59;60;89
29/10/2021;60;61;90
30/10/2021;60;62;91
31/10/2021;62;63;92
01/11/2021;64;64;93
02/11/2021;64;65;94
03/11/2021;66;66;95
04/11/2021;67;68;96
05/11/2021;70;69;97
06/11/2021;72;71;98
07/11/2021;74;73;99
08/11/2021;76;74;100
09/11/2021;78;77;101
10/11/2021;80;79;102
11/11/2021;83;82;103
12/11/2021;85;84;104
13/11/2021;87;86;105
14/11/2021;89;90;106
15/11/2021;92;93;107
16/11/2021;95;95;108
17/11/2021;98;98;109
18/11/2021;100;103;110
19/11/2021;103;;111
20/11/2021;107;115;112
21/11/2021;112;118;
22/11/2021;119;122;
23/11/2021;125;128;
24/11/2021;132;134;
25/11/2021;140;140;
26/11/2021;148;145;
27/11/2021;157;152;
28/11/2021;167;159;
29/11/2021;176;166;
30/11/2021;186;173;
01/12/2021;194;181;
02/12/2021;203;190;
03/12/2021;211;198;
04/12/2021;218;206;
05/12/2021;223;;
06/12/2021;228;;
07/12/2021;235;;
08/12/2021;238;;
09/12/2021;243;;
10/12/2021;246;;
11/12/2021;249;;
12/12/2021;250;;
13/12/2021;252;;
14/12/2021;254;;
15/12/2021;255;;
16/12/2021;257;;
