date;rea_bed_Veran
23/09/2020;
24/09/2020;
25/09/2020;873
26/09/2020;928
27/09/2020;972
28/09/2020;1026
29/09/2020;1092
30/09/2020;1146
01/10/2020;1179
02/10/2020;1245
03/10/2020;1310
04/10/2020;1376
05/10/2020;1485
06/10/2020;1572
07/10/2020;1627
08/10/2020;1747
09/10/2020;1813
10/10/2020;1911
11/10/2020;2009
12/10/2020;2107
13/10/2020;2227
14/10/2020;2337
15/10/2020;2446
16/10/2020;2577
17/10/2020;2730
18/10/2020;2893
19/10/2020;3035
20/10/2020;3199
21/10/2020;3352
22/10/2020;3538
23/10/2020;3734
24/10/2020;3920
25/10/2020;4138
26/10/2020;4346
27/10/2020;4564
28/10/2020;4804
29/10/2020;5055
30/10/2020;5306
31/10/2020;5590
01/11/2020;5896
02/11/2020;6158
03/11/2020;6464
04/11/2020;7097
05/11/2020;7457
06/11/2020;7785
07/11/2020;8167
08/11/2020;8527
09/11/2020;8931
10/11/2020;9314
11/11/2020;9739
12/11/2020;10133
13/11/2020;10547
14/11/2020;10984
