date;high_BlueFull;high_BlueDashed;high_PurpleFull;high_PurpleDashed;high_PinkFull;high_PinkDashed;low_BlueFull;low_BlueDashed;low_BlueDots;low_PurpleFull;low_PurpleDashed;low_PurpleDots;low_PinkFull;low_PinkDashed;low_PinkDots
31/07/2021;523;523;523;523;523;523;548;548;548;548;548;548;548;548;548
01/08/2021;589;545;545;545;644;644;609;609;609;609;609;609;609;609;609
02/08/2021;651;611;611;611;671;671;642;641;636;636;636;636;636;636;636
03/08/2021;701;665;665;665;695;695;716;726;719;719;719;719;719;719;719
04/08/2021;767;724;724;724;714;714;770;787;772;772;772;772;772;772;772
05/08/2021;852;792;792;792;738;738;851;867;855;856;856;786;793;803;794
06/08/2021;939;881;822;822;787;787;909;938;929;942;856;856;837;847;837
07/08/2021;1025;967;885;885;840;840;996;1001;998;1000;937;938;874;890;874
08/08/2021;1111;1055;970;973;887;887;1120;1123;1116;1097;1040;1021;952;964;930
09/08/2021;1187;1132;1031;1042;972;964;1187;1198;1166;1192;1103;1091;1029;1037;996
10/08/2021;1287;1211;1114;1097;1005;1004;1279;1275;1239;1283;1167;1121;1064;1072;1003
11/08/2021;1373;1300;1163;1162;1046;1010;1369;1365;1292;1356;1250;1187;1096;1078;1031
12/08/2021;1451;1406;1267;1247;1085;1052;1481;1431;1386;1435;1333;1238;1144;1133;1049
13/08/2021;1595;1547;1378;1343;1116;1058;1579;1498;1449;1480;1417;1370;1171;1142;1073
14/08/2021;1732;1659;1426;1392;1157;1059;1744;1610;1511;1579;1432;1409;1205;1164;1076
15/08/2021;1818;1745;1532;1419;1178;1034;1863;1676;1591;1617;1432;1397;1260;1220;1052
16/08/2021;1975;1786;1617;1493;1250;1065;2004;1810;1722;1680;1498;1480;1317;1263;1097
17/08/2021;2088;1835;1704;1605;1273;1158;2107;1813;1755;1758;1549;1502;1321;1174;1106
18/08/2021;2346;1985;1797;1688;1318;1162;2248;1879;1806;1824;1603;1522;1337;1223;1119
19/08/2021;2517;2108;1870;1701;1350;1200;2382;1991;1881;1911;1647;1544;1369;1205;1069
20/08/2021;2632;2249;1963;1816;1385;1238;2500;2092;1918;1981;1688;1562;1390;1207;1041
21/08/2021;2740;2357;2083;1775;1477;1241;2643;2163;1953;2079;1724;1572;1414;1204;1054
22/08/2021;2866;2426;2152;1850;1458;1219;2742;2226;1993;2101;1742;1552;1422;1194;1079
