date;real_normal;red_normal;green_normal;blue_normal
01/12/2021;1911;;;2060
02/12/2021;2004;;;2080
03/12/2021;2040;;;2142
04/12/2021;2156;;;2245
05/12/2021;2247;;;2285
06/12/2021;2325;;;2311
07/12/2021;2394;;;2354
08/12/2021;2417;;;2384
09/12/2021;2479;;;2449
10/12/2021;2557;;;2532
11/12/2021;2666;;;2563
12/12/2021;2765;;;2660
13/12/2021;2785;;;2693
14/12/2021;2808;;;2747
15/12/2021;2842;;;2795
16/12/2021;2906;;;2818
17/12/2021;2956;;;2896
18/12/2021;2992;;;2918
19/12/2021;3075;;;3011
20/12/2021;3091;;;3047
21/12/2021;3097;;;3046
22/12/2021;3133;;;3188
23/12/2021;3167;;;3211
24/12/2021;3213;;;3251
25/12/2021;3285;;;3224
26/12/2021;3347;;;3304
27/12/2021;3376;;;3384
28/12/2021;3392;;;3378
29/12/2021;3419;;;3394
30/12/2021;3452;;;3412
31/12/2021;3469;;;3471
01/01/2022;3531;;;3438
02/01/2022;3598;;;3494
03/01/2022;;;;3547
04/01/2022;;;;3548
05/01/2022;;;;3584
06/01/2022;;;;3608
07/01/2022;;;;3643
08/01/2022;;;;3661
09/01/2022;;3762;3753;3698
10/01/2022;;3792;3793;3718
11/01/2022;;3827;3798;3749
12/01/2022;;3893;3835;3760
13/01/2022;;3929;3853;3762
14/01/2022;;3979;3878;3753
15/01/2022;;4044;3939;3763
16/01/2022;;4113;3975;3768
17/01/2022;;4183;4000;3777
18/01/2022;;4285;4062;3777
19/01/2022;;4379;4106;3792
20/01/2022;;4471;4148;3809
21/01/2022;;4575;4183;3811
22/01/2022;;4680;4238;3819
23/01/2022;;4805;4283;3846
24/01/2022;;4921;4338;3846
25/01/2022;;5030;4386;3842
26/01/2022;;5137;4420;3822
27/01/2022;;5251;4470;3822
28/01/2022;;5351;4505;3808
29/01/2022;;5445;4542;3790
30/01/2022;;5539;4578;3777
31/01/2022;;5640;4599;3761
01/02/2022;;5764;4616;3746
02/02/2022;;5820;4649;3722
03/02/2022;;5883;4659;3687
04/02/2022;;5944;4658;3642
05/02/2022;;5984;4658;3602
06/02/2022;;6003;4658;3553
07/02/2022;;6032;4657;3498
08/02/2022;;6032;4628;3479
09/02/2022;;6032;4608;3442
10/02/2022;;6006;4566;3378
11/02/2022;;5986;4538;3329
12/02/2022;;5932;4497;3277
13/02/2022;;5898;4449;3227
14/02/2022;;5824;4390;3178
15/02/2022;;5748;4335;3097
16/02/2022;;5690;4271;3061
17/02/2022;;5590;4200;2995
18/02/2022;;5487;4118;2931
19/02/2022;;5404;4045;2881
20/02/2022;;5290;3973;2803
21/02/2022;;5171;3901;2741
22/02/2022;;5059;3802;2669
23/02/2022;;4975;3741;2600
24/02/2022;;4782;3660;2539
25/02/2022;;4674;3563;2472
26/02/2022;;4564;3483;2398
27/02/2022;;4448;3389;2358
28/02/2022;;4311;3287;2293
01/03/2022;;4142;3188;2213
02/03/2022;;4025;3104;2175
03/03/2022;;3898;3015;2114
04/03/2022;;3722;2914;2062
05/03/2022;;3605;2813;1973
06/03/2022;;3508;2723;1917
07/03/2022;;3372;2611;1836
08/03/2022;;3228;2540;1798
09/03/2022;;3113;2457;1722
10/03/2022;;2979;2365;1671
11/03/2022;;2895;2267;1611
12/03/2022;;2781;2181;1539
13/03/2022;;2661;2088;1496
14/03/2022;;2505;2007;1439
15/03/2022;;2423;1941;1341
16/03/2022;;2298;1851;1303
17/03/2022;;2201;1781;1276
18/03/2022;;2100;1715;1239
19/03/2022;;1998;1633;1188
20/03/2022;;1885;1540;1122
21/03/2022;;1787;1475;1071
22/03/2022;;1707;1408;1034
23/03/2022;;1612;1342;1000
24/03/2022;;1538;1275;967
25/03/2022;;1470;1226;947
26/03/2022;;1398;1157;886
27/03/2022;;1322;1111;861
28/03/2022;;1256;1047;823
29/03/2022;;1195;1012;770
30/03/2022;;1129;945;750
31/03/2022;;1075;895;698
01/04/2022;;;;
