;date;reality
1;01/08/2021;118
2;02/08/2021;125
3;03/08/2021;132
4;04/08/2021;137
5;05/08/2021;142
6;06/08/2021;146
7;07/08/2021;148
8;08/08/2021;149
9;09/08/2021;152
10;10/08/2021;152
11;11/08/2021;152
12;12/08/2021;152
13;13/08/2021;152
14;14/08/2021;152
15;15/08/2021;152
16;16/08/2021;151
17;17/08/2021;150
18;18/08/2021;150
19;19/08/2021;149
20;20/08/2021;148
21;21/08/2021;147
22;22/08/2021;145
23;23/08/2021;143
24;24/08/2021;142
25;25/08/2021;139
26;26/08/2021;135
27;27/08/2021;133
28;28/08/2021;130
29;29/08/2021;126
30;30/08/2021;123
31;31/08/2021;120
32;01/09/2021;118
33;02/09/2021;115
34;03/09/2021;112
35;04/09/2021;107
36;05/09/2021;103
37;06/09/2021;100
38;07/09/2021;97
39;08/09/2021;93
40;09/09/2021;89
41;10/09/2021;86
42;11/09/2021;82
43;12/09/2021;79
44;13/09/2021;74
45;14/09/2021;71
46;15/09/2021;69
47;16/09/2021;66
48;17/09/2021;63
49;18/09/2021;60
50;19/09/2021;58
51;20/09/2021;56
52;21/09/2021;54
53;22/09/2021;52
54;23/09/2021;51
55;24/09/2021;47
56;25/09/2021;46
57;26/09/2021;45
58;27/09/2021;43
59;28/09/2021;42
60;29/09/2021;41
61;30/09/2021;40
62;01/10/2021;39
63;02/10/2021;39
64;03/10/2021;38
65;04/10/2021;38
66;05/10/2021;37
67;06/10/2021;37
68;07/10/2021;37
69;08/10/2021;37
70;09/10/2021;37
71;10/10/2021;37
72;11/10/2021;37
73;12/10/2021;38
74;13/10/2021;38
75;14/10/2021;39
76;15/10/2021;40
77;16/10/2021;41
78;17/10/2021;42
79;18/10/2021;44
80;19/10/2021;45
81;20/10/2021;47
82;21/10/2021;49
83;22/10/2021;50
84;23/10/2021;51
85;24/10/2021;53
86;25/10/2021;55
87;26/10/2021;57
88;27/10/2021;57
89;28/10/2021;59
90;29/10/2021;60
91;30/10/2021;60
92;31/10/2021;62
93;01/11/2021;64
94;02/11/2021;64
95;03/11/2021;66
96;04/11/2021;67
97;05/11/2021;70
98;06/11/2021;72
99;07/11/2021;74
100;08/11/2021;76
101;09/11/2021;78
102;10/11/2021;80
103;11/11/2021;83
104;12/11/2021;85
105;13/11/2021;87
106;14/11/2021;89
107;15/11/2021;92
108;16/11/2021;95
109;17/11/2021;98
110;18/11/2021;100
111;19/11/2021;103
112;20/11/2021;107
113;21/11/2021;112
114;22/11/2021;119
115;23/11/2021;125
116;24/11/2021;132
117;25/11/2021;140
118;26/11/2021;148
119;27/11/2021;157
120;28/11/2021;167
121;29/11/2021;176
122;30/11/2021;186
123;01/12/2021;194
124;02/12/2021;203
125;03/12/2021;211
126;04/12/2021;218
127;05/12/2021;223
128;06/12/2021;228
129;07/12/2021;235
130;08/12/2021;238
131;09/12/2021;243
132;10/12/2021;246
133;11/12/2021;249
134;12/12/2021;250
135;13/12/2021;252
136;14/12/2021;254
137;15/12/2021;255
138;16/12/2021;257
