;date;15_fevrier_vacc;15_frevrier_no_vacc;15_mars_vacc;15_mars_no_vacc;15_avril_vacc;15_avril_no_vacc;12_fevrier_vacc;12_frevrier_no_vacc;12_mars_vacc;12_mars_no_vacc;12_avril_vacc;12_avril_no_vacc
1;01/01/2021;;;3176;;2896;2989;;;;;3020;3020
2;02/01/2021;;;3174;;2896;2989;;;;;3020;3020
3;03/01/2021;;;3177;;2896;2989;;;;;3020;3020
4;04/01/2021;;;3173;;2895;2988;;;;;3020;3020
5;05/01/2021;;;3182;;2898;2991;;;;;3020;3019
6;06/01/2021;;;3162;;2891;2984;;;;;3020;3020
7;07/01/2021;;;3180;;2902;2995;;;;;3021;3023
8;08/01/2021;;;3227;;2985;3079;;;;;3018;3016
9;09/01/2021;;;3283;;2992;3086;;;;;3017;3013
10;10/01/2021;;;3333;;2990;3080;;;;;3034;3057
11;11/01/2021;;;3362;;2981;3083;;;;;3066;3111
12;12/01/2021;;;3296;;3018;3082;;;;;3098;3117
13;13/01/2021;;;3052;;3091;3083;;;;;3114;3109
14;14/01/2021;;;3086;;3081;3082;;;;;3112;3111
15;15/01/2021;;;3101;;3076;3077;;;;;3106;3102
16;16/01/2021;;;2863;;3155;3154;;;;;3111;3112
17;17/01/2021;;;2783;;3184;3184;;;;;3135;3170
18;18/01/2021;;;2793;;3173;3173;;;;;3169;3209
19;19/01/2021;;;2809;;3177;3177;;;;;3197;3203
20;20/01/2021;;;2835;;3175;3175;;;;;3201;3200
21;21/01/2021;;;2869;;3176;3176;;;;;3201;3200
22;22/01/2021;;;2906;;3178;3178;;;;;3225;3191
23;23/01/2021;;;2943;;3166;3166;;;;;3260;3220
24;24/01/2021;;;2975;;3226;3226;;;;;3287;3280
25;25/01/2021;;;3016;;3279;3279;;;;;3293;3300
26;26/01/2021;;;2970;;3267;3267;;;;;3290;3289
27;27/01/2021;;;3006;;3269;3270;;;;;3292;3286
28;28/01/2021;;;3256;;3269;3270;;;;;3286;3296
29;29/01/2021;;;3277;;3269;3261;;;;;3285;3325
30;30/01/2021;;;3286;;3269;3330;;;;;3332;3382
31;31/01/2021;;;3162;;3269;3372;;;;;3385;3429
32;01/02/2021;;;2895;;3269;3360;;;;;3389;3432
33;02/02/2021;;;3012;;3269;3363;;;;;3373;3421
34;03/02/2021;;;3147;;3269;3363;;;;;3375;3423
35;04/02/2021;;;3306;;3271;3362;;;;;3424;3444
36;05/02/2021;3365;;3468;;3257;3363;;;;;3475;3475
37;06/02/2021;3354;;3609;;3336;3362;;;;;3479;3505
38;07/02/2021;3396;;3706;;3329;3365;3492;;;;3463;3521
