;reality
1;168
2;169
3;171
4;173
5;174
6;176
7;179
8;181
9;184
10;186
11;191
12;195
13;199
14;203
15;209
16;216
17;219
18;225
19;229
20;233
21;238
22;241
23;242
24;243
25;245
26;244
27;244
28;243
29;242
30;242
31;241
32;240
33;239
34;239
35;240
36;240
37;239
38;241
39;241
40;240
41;239
42;239
43;239
44;237
45;237
46;236
47;236
48;236
49;237
50;239
51;241
52;244
53;248
54;251
55;255
56;259
57;266
58;268
59;271
60;275
61;277
62;281
63;282
64;284
65;286
66;288
67;291
68;292
69;296
70;300
71;305
72;309
73;315
74;321
75;327
76;334
77;341
78;348
79;353
80;360
81;364
82;372
83;378
84;385
85;392
86;399
87;406
88;414
89;420
90;428
91;433
92;438
93;443
94;447
95;447
96;448
97;445
98;443
99;439
100;436
101;431
102;427
103;424
104;420
105;416
106;414
107;410
108;407
109;403
110;400
111;395
112;385
113;380
114;369
115;361
116;349
117;337
118;327
119;314
120;303
121;289
122;277
123;263
124;252
125;239
126;228
127;218
128;205
129;196
130;186
131;179
132;170
133;165
134;158
135;154
136;148
137;145
138;141
139;137
140;135
141;131
142;129
143;126
144;121
145;117
146;113
147;110
148;106
