date;reality;projection;
01/01/2021;166;;1
02/01/2021;166;;2
03/01/2021;168;;3
04/01/2021;170;;4
05/01/2021;171;;5
06/01/2021;173;;6
07/01/2021;175;;7
08/01/2021;178;;8
09/01/2021;182;;9
10/01/2021;186;;10
11/01/2021;188;;11
12/01/2021;193;;12
13/01/2021;197;;13
14/01/2021;202;;14
15/01/2021;207;;15
16/01/2021;212;;16
17/01/2021;216;;17
18/01/2021;225;;18
19/01/2021;229;;19
20/01/2021;232;;20
21/01/2021;235;;21
22/01/2021;239;;22
23/01/2021;239;;23
24/01/2021;241;;24
25/01/2021;241;;25
26/01/2021;241;;26
27/01/2021;241;;27
28/01/2021;239;;28
29/01/2021;239;;29
30/01/2021;239;;30
31/01/2021;237;;31
01/02/2021;237;;32
02/02/2021;237;;33
03/02/2021;237;;34
04/02/2021;237;;35
05/02/2021;237;;36
06/02/2021;237;;37
07/02/2021;237;;38
08/02/2021;237;;39
09/02/2021;237;;40
10/02/2021;236;;41
11/02/2021;236;;42
12/02/2021;235;;43
13/02/2021;234;;44
14/02/2021;232;;45
15/02/2021;232;;46
16/02/2021;232;;47
17/02/2021;232;;48
18/02/2021;233;;49
19/02/2021;236;;50
20/02/2021;238;;51
21/02/2021;241;;52
22/02/2021;245;;53
23/02/2021;250;;54
24/02/2021;253;;55
25/02/2021;256;;56
26/02/2021;261;;57
27/02/2021;265;;58
28/02/2021;267;;59
01/03/2021;272;;60
02/03/2021;274;;61
03/03/2021;278;;62
04/03/2021;279;;63
05/03/2021;281;;64
06/03/2021;284;;65
07/03/2021;284;;66
08/03/2021;287;;67
09/03/2021;291;;68
10/03/2021;293;;69
11/03/2021;298;;70
12/03/2021;303;;71
13/03/2021;308;;72
14/03/2021;312;;73
15/03/2021;321;;74
16/03/2021;327;;75
17/03/2021;334;;76
18/03/2021;339;;77
19/03/2021;347;;78
20/03/2021;354;;79
21/03/2021;360;;80
22/03/2021;364;;81
23/03/2021;371;;82
24/03/2021;378;;83
25/03/2021;385;;84
26/03/2021;390;;85
27/03/2021;398;;86
28/03/2021;403;;87
29/03/2021;412;;88
30/03/2021;419;;89
31/03/2021;426;;90
01/04/2021;433;;91
02/04/2021;442;;92
03/04/2021;449;;93
04/04/2021;454;;94
05/04/2021;458;;95
06/04/2021;467;;96
07/04/2021;468;;97
08/04/2021;473;;98
09/04/2021;;474;
10/04/2021;;470;
11/04/2021;;470;
12/04/2021;;471;
13/04/2021;;473;
14/04/2021;;471;
15/04/2021;;471;
16/04/2021;;470;
17/04/2021;;470;
18/04/2021;;469;
19/04/2021;;466;
20/04/2021;;465;
21/04/2021;;;
22/04/2021;;;
23/04/2021;;;
24/04/2021;;;
25/04/2021;;;
26/04/2021;;;
27/04/2021;;;
28/04/2021;;;
29/04/2021;;;
30/04/2021;;;
01/05/2021;;;
02/05/2021;;;
03/05/2021;;;
04/05/2021;;;
05/05/2021;;;
06/05/2021;;;
07/05/2021;;;
08/05/2021;;;
09/05/2021;;;
10/05/2021;;;
11/05/2021;;;
12/05/2021;;;
13/05/2021;;;
14/05/2021;;;
15/05/2021;;;
16/05/2021;;;
17/05/2021;;;
18/05/2021;;;
19/05/2021;;;
20/05/2021;;;
21/05/2021;;;
22/05/2021;;;
23/05/2021;;;
24/05/2021;;;
25/05/2021;;;
26/05/2021;;;
27/05/2021;;;
28/05/2021;;;
29/05/2021;;;
30/05/2021;;;
31/05/2021;;;
01/06/2021;;;
