date;real_smooth;low;median;high
19/03/2020;;;;
20/03/2020;;;;
21/03/2020;;;;
22/03/2020;;;;
23/03/2020;;;;
24/03/2020;;;;
25/03/2020;1517;;;
26/03/2020;1674;;;
27/03/2020;1850;;;
28/03/2020;1984;;;
29/03/2020;2107;;;
30/03/2020;2175;;;
31/03/2020;2296;;;
01/04/2020;2358;;;
02/04/2020;2423;;;
03/04/2020;2505;;;
04/04/2020;2526;;;
05/04/2020;2598;;;
06/04/2020;2608;;;
07/04/2020;2633;;;
08/04/2020;2662;;;
09/04/2020;2648;;;
10/04/2020;2649;;;
11/04/2020;2609;;;
12/04/2020;2588;;;
13/04/2020;2522;;;
14/04/2020;2475;;;
15/04/2020;2430;;;
16/04/2020;2374;;;
17/04/2020;2324;;;
18/04/2020;2262;;;
19/04/2020;2203;;;
20/04/2020;2150;;;
21/04/2020;2093;;;
22/04/2020;2018;;;
23/04/2020;1944;;;
24/04/2020;1897;;;
25/04/2020;1836;;;
26/04/2020;1765;;;
27/04/2020;1703;;;
28/04/2020;1656;;;
29/04/2020;1553;;;
30/04/2020;1491;;;
01/05/2020;1429;;;
02/05/2020;1367;;;
03/05/2020;1311;;;
04/05/2020;1259;;;
05/05/2020;1205;;;
06/05/2020;1151;;;
07/05/2020;1094;;;
08/05/2020;1042;;;
09/05/2020;1001;;;
10/05/2020;954;;;
11/05/2020;881;;;
12/05/2020;864;;;
13/05/2020;828;;;
14/05/2020;791;;;
15/05/2020;747;;;
16/05/2020;716;;;
17/05/2020;684;;;
18/05/2020;652;;;
19/05/2020;619;;;
20/05/2020;594;;;
21/05/2020;659;;;463
22/05/2020;;;;565
23/05/2020;;516;518;518
24/05/2020;;506;496;496
25/05/2020;;493;484;479
26/05/2020;;485;480;480
27/05/2020;;467;462;488
28/05/2020;;450;452;448
29/05/2020;;443;450;447
30/05/2020;;428;455;463
31/05/2020;;425;453;467
01/06/2020;;431;458;478
02/06/2020;;414;453;503
03/06/2020;;409;458;522
04/06/2020;;409;469;559
05/06/2020;;409;479;612
06/06/2020;;404;484;677
07/06/2020;;407;488;735
08/06/2020;;408;516;814
09/06/2020;;419;530;906
10/06/2020;;419;551;1078
11/06/2020;;424;565;1168
12/06/2020;;434;574;1256
13/06/2020;;434;605;1426
14/06/2020;;436;620;1551
15/06/2020;;429;638;1682
16/06/2020;;424;651;1803
17/06/2020;;432;669;1908
18/06/2020;;439;690;2107
19/06/2020;;438;716;2281
20/06/2020;;444;747;2407
21/06/2020;;446;778;2481
22/06/2020;;443;803;2532
23/06/2020;;453;826;2595
24/06/2020;;453;862;2640
25/06/2020;;463;902;2677
26/06/2020;;463;944;2750
27/06/2020;;463;978;2760
28/06/2020;;472;1015;2772
29/06/2020;;477;1062;2701
