date;RedVacc;BlueVacc;GreenVacc;RedR;OrangeR;LightBlueR;DarkBlueR
01/08/2021;541;541;541;536;536;536;536
02/08/2021;583;583;583;579;579;579;579
03/08/2021;633;633;633;629;629;629;629
04/08/2021;683;704;683;666;666;666;666
05/08/2021;740;761;740;753;709;709;709
06/08/2021;790;790;790;802;790;765;734
07/08/2021;853;875;853;870;833;796;759
08/08/2021;910;932;910;914;883;821;771
09/08/2021;1003;989;967;988;932;858;784
10/08/2021;1067;1045;1017;1050;982;883;784
11/08/2021;1138;1109;1081;1130;1031;907;790
12/08/2021;1202;1166;1131;1192;1081;920;784
13/08/2021;1273;1230;1188;1273;1130;945;784
14/08/2021;1337;1287;1237;1341;1180;957;771
15/08/2021;1422;1358;1287;1421;1229;969;759
16/08/2021;1493;1415;1330;1489;1267;982;753
17/08/2021;1571;1472;1387;1570;1316;994;734
18/08/2021;1635;1529;1422;1632;1353;994;722
19/08/2021;1714;1586;1458;1706;1390;1006;709
20/08/2021;1770;1628;1486;1768;1427;1006;685
21/08/2021;1841;1671;1514;1842;1452;1006;672
22/08/2021;1898;1714;1543;1892;1477;994;647
23/08/2021;1955;1749;1564;1954;1508;994;623
24/08/2021;2012;1770;1578;2003;1527;982;610
25/08/2021;2048;1799;1586;2053;1545;969;585
26/08/2021;2090;1820;1593;2090;1551;957;561
27/08/2021;2126;1834;1593;2127;1564;945;536
28/08/2021;2154;1849;1593;2152;1576;932;524
29/08/2021;2183;1849;1593;2177;1576;920;499
30/08/2021;2197;1849;1593;2195;1576;901;474
31/08/2021;2211;1849;1586;2214;1570;883;455
01/09/2021;2218;1841;1578;2220;1564;864;437
02/09/2021;2225;1827;1571;2220;1551;846;412
03/09/2021;2218;1813;1564;2220;1539;821;400
04/09/2021;2211;1799;1550;2208;1520;802;375
05/09/2021;2197;1777;1536;2189;1502;784;363
06/09/2021;2168;1756;1522;2164;1477;759;344
07/09/2021;2140;1728;1507;2139;1452;734;325
08/09/2021;2112;1706;1493;2102;1421;709;313
09/09/2021;2069;1671;1472;2065;1390;691;301
10/09/2021;2026;1650;1458;2028;1359;666;276
11/09/2021;1984;1614;1436;1978;1328;647;264
12/09/2021;1941;1586;1415;1929;1291;623;251
13/09/2021;1884;1550;1387;1886;1260;598;239
14/09/2021;1841;1514;1365;1830;1217;579;226
15/09/2021;1785;1479;1337;1780;1192;561;214
16/09/2021;1735;1443;1315;1725;1155;536;202
17/09/2021;1671;1408;1287;1675;1118;524;189
18/09/2021;1628;1372;1259;1619;1081;499;183
19/09/2021;1571;1330;1230;1570;1044;486;177
20/09/2021;1514;1294;1202;1508;1006;462;165
21/09/2021;1458;1252;1166;1458;982;449;158
22/09/2021;1415;1216;1138;1409;945;437;152
23/09/2021;1358;1173;1102;1347;907;418;140
24/09/2021;1301;1145;1074;1304;883;400;140
25/09/2021;1244;1102;1038;1248;846;387;127
26/09/2021;1202;1060;1003;1198;821;375;127
27/09/2021;1131;1003;960;1149;784;363;115
28/09/2021;1088;974;932;1099;759;350;115
29/09/2021;1045;946;903;1050;722;338;103
30/09/2021;1003;903;861;1013;697;325;103
01/10/2021;960;868;832;;;;
