date;s1;s2;s3;s4;s5;s6
29/09/2021;156;156;156;156;156;156
05/10/2021;124;124;124;124;124;124
14/10/2021;91;91;91;91;91;91
22/10/2021;64;64;64;64;64;64
24/10/2021;76;;;;;61.82352941
25/10/2021;76;;;;;59.64705882
26/10/2021;;;76;;;57.47058824
27/10/2021;75;;73;;;55.29411765
28/10/2021;73;;;;70;53.11764706
29/10/2021;69;74;74;64;70;50.94117647
30/10/2021;80;;;64.5;70;48.76470588
31/10/2021;80;80;80;65;70;46.58823529
01/11/2021;76;81;81;65.5;70;44.41176471
02/11/2021;87;;;66;70;42.23529412
03/11/2021;94;94;94;66.5;70;40.05882353
04/11/2021;;94;94;67;70;37.88235294
05/11/2021;101;98;;67.5;70;35.70588235
06/11/2021;91;101;94;68;70;33.52941176
07/11/2021;101;105;94;68.5;70;31.35294118
08/11/2021;101;103;;69;70;29.17647059
09/11/2021;;101;94;69.5;70;27
10/11/2021;108;108;98;70;;25.78571429
12/11/2021;;112;;;;24.57142857
14/11/2021;;117;;;;23.35714286
15/11/2021;144;144;;;;22.14285714
16/11/2021;141;133;94;;;20.92857143
17/11/2021;152;152;;;;19.71428571
18/11/2021;159;159;;;;18.5
19/11/2021;162;162;;;;17.28571429
20/11/2021;171;171;;;;16.07142857
21/11/2021;;151;;;;14.85714286
22/11/2021;162;148;;70;;13.64285714
23/11/2021;;158;108;;70;12.42857143
24/11/2021;;167;;;69.5;11.21428571
26/11/2021;224;174;;;69;10
27/11/2021;238;187;;;68.5;10
28/11/2021;240;183;;;68;10
29/11/2021;252;195;;;67.5;10
30/11/2021;258;199;125;;67;10
01/12/2021;;202;;;66.5;10
02/12/2021;;216;;;66;10
03/12/2021;;226;;86;65.5;10
05/12/2021;322;238;;;65;10
06/12/2021;336;240;;;64.5;10
07/12/2021;358;252;144;;64;10
08/12/2021;365;266;;;64;10
09/12/2021;;269;;;64;10
10/12/2021;;280;;;64;10
11/12/2021;;295;;;64;9.615384615
12/12/2021;;297;;;64;9.230769231
13/12/2021;443;309;158;;64;8.846153846
14/12/2021;471;323;161.1428571;;64;8.461538462
15/12/2021;479;326;164.2857143;;64;8.076923077
16/12/2021;;337;167.4285714;;64;7.692307692
17/12/2021;;358;170.5714286;;64;7.307692308
18/12/2021;553;365;173.7142857;;64;6.923076923
19/12/2021;564;373;176.8571429;102;64;6.538461538
20/12/2021;579;379;180;102.5454545;64;6.153846154
21/12/2021;589;393;;103.0909091;64;5.769230769
22/12/2021;;407;;103.6363636;64;5.384615385
23/12/2021;656;422;187;104.1818182;;5
24/12/2021;671;436;;104.7272727;;
25/12/2021;;450;;105.2727273;;
26/12/2021;;457;;105.8181818;;
27/12/2021;;471;;106.3636364;;
28/12/2021;770;486;;106.9090909;;
29/12/2021;813;501;;107.4545455;;
30/12/2021;;521;208;108;;
31/12/2021;;535;;;;
