date;reality;projection;
01/01/2021;168;165;168
02/01/2021;169;167;169
03/01/2021;171;169;172
04/01/2021;173;171;172
05/01/2021;174;172;175
06/01/2021;176;175;176
07/01/2021;179;177;179
08/01/2021;181;180;181
09/01/2021;184;182;183
10/01/2021;186;185;188
11/01/2021;191;189;191
12/01/2021;195;196;196
13/01/2021;199;199;199
14/01/2021;203;204;205
15/01/2021;209;209;209
16/01/2021;216;214;214
17/01/2021;219;219;220
18/01/2021;225;226;224
19/01/2021;229;230;229
20/01/2021;233;233;235
21/01/2021;238;236;238
22/01/2021;241;239;241
23/01/2021;242;241;243
24/01/2021;243;241;244
25/01/2021;245;241;244
26/01/2021;244;241;244
27/01/2021;244;241;244
28/01/2021;243;241;244
29/01/2021;242;239;244
30/01/2021;242;239;242
31/01/2021;241;238;241
01/02/2021;240;238;241
02/02/2021;239;238;241
03/02/2021;239;238;241
04/02/2021;240;238;241
05/02/2021;240;238;241
06/02/2021;239;238;241
07/02/2021;241;238;241
08/02/2021;241;238;241
09/02/2021;240;238;241
10/02/2021;239;237;241
11/02/2021;239;235;241
12/02/2021;239;234;238
13/02/2021;237;235;238
14/02/2021;237;233;238
15/02/2021;236;231;236
16/02/2021;236;231;237
17/02/2021;236;235;238
18/02/2021;237;235;238
19/02/2021;239;237;239
20/02/2021;241;240;242
21/02/2021;244;244;244
22/02/2021;248;248;248
23/02/2021;251;251;253
24/02/2021;255;255;256
25/02/2021;259;258;262
26/02/2021;266;262;265
27/02/2021;268;269;268
28/02/2021;271;270;271
01/03/2021;275;274;275
02/03/2021;277;277;279
03/03/2021;281;278;280
04/03/2021;282;280;283
05/03/2021;284;282;284
06/03/2021;286;285;286
07/03/2021;288;285;288
08/03/2021;291;289;292
09/03/2021;292;291;293
10/03/2021;296;295;296
11/03/2021;300;301;302
12/03/2021;305;304;305
13/03/2021;309;311;311
14/03/2021;315;316;317
15/03/2021;321;323;322
16/03/2021;327;330;330
17/03/2021;334;337;337
18/03/2021;341;342;343
19/03/2021;348;350;349
20/03/2021;353;356;356
21/03/2021;360;362;362
22/03/2021;364;368;369
23/03/2021;372;374;374
24/03/2021;378;382;383
25/03/2021;385;387;388
26/03/2021;392;394;395
27/03/2021;399;402;403
28/03/2021;406;408;408
29/03/2021;414;416;417
30/03/2021;420;424;424
31/03/2021;428;430;430
01/04/2021;433;435;435
02/04/2021;438;440;442
03/04/2021;443;444;446
04/04/2021;447;444;449
05/04/2021;447;445;450
06/04/2021;448;443;449
07/04/2021;445;441;446
08/04/2021;443;437;443
09/04/2021;439;434;440
10/04/2021;436;427;437
11/04/2021;431;423;433
12/04/2021;427;420;428
13/04/2021;424;415;425
14/04/2021;420;413;420
15/04/2021;416;410;418
16/04/2021;414;407;414
17/04/2021;410;405;410
18/04/2021;407;402;406
19/04/2021;403;398;402
20/04/2021;400;395;396
21/04/2021;395;390;388
22/04/2021;385;382;382
23/04/2021;380;373;373
24/04/2021;369;365;366
25/04/2021;361;362;355
26/04/2021;349;357;347
27/04/2021;337;352;338
28/04/2021;327;348;330
29/04/2021;314;344;321
30/04/2021;303;341;
01/05/2021;289;337;
02/05/2021;277;334;
03/05/2021;263;330;
04/05/2021;252;327;
05/05/2021;239;325;
06/05/2021;228;321;
07/05/2021;218;319;
08/05/2021;205;317;
09/05/2021;196;;
10/05/2021;186;;
11/05/2021;179;;
12/05/2021;170;;
13/05/2021;165;;
14/05/2021;158;;
15/05/2021;154;;
16/05/2021;148;;
17/05/2021;145;;
18/05/2021;141;;
19/05/2021;137;;
20/05/2021;135;;
21/05/2021;131;;
22/05/2021;129;;
23/05/2021;126;;
24/05/2021;121;;
25/05/2021;117;;
26/05/2021;113;;
27/05/2021;110;;
28/05/2021;106;;
29/05/2021;;;
30/05/2021;;;
31/05/2021;;;
01/06/2021;;;
