date;reality;projection;
01/01/2021;165;;1
02/01/2021;167;;2
03/01/2021;168;;3
04/01/2021;170;;4
05/01/2021;172;;5
06/01/2021;173;;6
07/01/2021;176;;7
08/01/2021;178;;8
09/01/2021;182;;9
10/01/2021;185;;10
11/01/2021;189;;11
12/01/2021;194;;12
13/01/2021;197;;13
14/01/2021;201;;14
15/01/2021;208;;15
16/01/2021;211;;16
17/01/2021;217;;17
18/01/2021;223;;18
19/01/2021;226;;19
20/01/2021;231;;20
21/01/2021;235;;21
22/01/2021;237;;22
23/01/2021;240;;23
24/01/2021;242;;24
25/01/2021;242;;25
26/01/2021;242;;26
27/01/2021;242;;27
28/01/2021;242;;28
29/01/2021;238;;29
30/01/2021;239;;30
31/01/2021;239;;31
01/02/2021;239;;32
02/02/2021;239;;33
03/02/2021;239;;34
04/02/2021;239;;35
05/02/2021;239;;36
06/02/2021;239;;37
07/02/2021;239;;38
08/02/2021;239;;39
09/02/2021;239;;40
10/02/2021;239;;41
11/02/2021;238;;42
12/02/2021;235;;43
13/02/2021;235;;44
14/02/2021;234;;45
15/02/2021;234;;46
16/02/2021;232;;47
17/02/2021;232;;48
18/02/2021;234;;49
19/02/2021;236;;50
20/02/2021;238;;51
21/02/2021;241;;52
22/02/2021;244;;53
23/02/2021;250;;54
24/02/2021;254;;55
25/02/2021;257;;56
26/02/2021;261;;57
27/02/2021;265;;58
28/02/2021;269;;59
01/03/2021;273;;60
02/03/2021;275;;61
03/03/2021;278;;62
04/03/2021;280;;63
05/03/2021;282;;64
06/03/2021;284;;65
07/03/2021;286;;66
08/03/2021;288;;67
09/03/2021;289;;68
10/03/2021;293;;69
11/03/2021;297;;70
12/03/2021;301;;71
13/03/2021;307;;72
14/03/2021;313;;73
15/03/2021;320;;74
16/03/2021;326;;75
17/03/2021;333;;76
18/03/2021;339;;77
19/03/2021;347;;78
20/03/2021;353;;79
21/03/2021;359;;80
22/03/2021;364;;81
23/03/2021;372;;82
24/03/2021;378;;83
25/03/2021;385;;84
26/03/2021;391;;85
27/03/2021;399;;86
28/03/2021;406;;87
29/03/2021;414;;88
30/03/2021;421;;89
31/03/2021;426;;90
01/04/2021;433;;91
02/04/2021;439;;92
03/04/2021;442;;93
04/04/2021;445;;94
05/04/2021;446;;95
06/04/2021;446;;96
07/04/2021;445;;97
08/04/2021;443;;98
09/04/2021;441;;99
10/04/2021;435;;100
11/04/2021;428;;101
12/04/2021;423;;102
13/04/2021;416;;103
14/04/2021;411;;104
15/04/2021;404;;105
16/04/2021;;400;
17/04/2021;;392;
18/04/2021;;387;
19/04/2021;;382;
20/04/2021;;376;
21/04/2021;;369;
22/04/2021;;363;
23/04/2021;;358;
24/04/2021;;352;
25/04/2021;;348;
26/04/2021;;342;
27/04/2021;;337;
28/04/2021;;334;
29/04/2021;;329;
30/04/2021;;323;
01/05/2021;;319;
02/05/2021;;;
03/05/2021;;;
04/05/2021;;;
05/05/2021;;;
06/05/2021;;;
07/05/2021;;;
08/05/2021;;;
09/05/2021;;;
10/05/2021;;;
11/05/2021;;;
12/05/2021;;;
13/05/2021;;;
14/05/2021;;;
15/05/2021;;;
16/05/2021;;;
17/05/2021;;;
18/05/2021;;;
19/05/2021;;;
20/05/2021;;;
21/05/2021;;;
22/05/2021;;;
23/05/2021;;;
24/05/2021;;;
25/05/2021;;;
26/05/2021;;;
27/05/2021;;;
28/05/2021;;;
29/05/2021;;;
30/05/2021;;;
31/05/2021;;;
01/06/2021;;;
