date,low,median,high,reality_report,reality
2020-03-20,NA,NA,NA,NA,545
2020-03-21,NA,NA,NA,NA,640
2020-03-22,NA,NA,NA,NA,787
2020-03-23,NA,NA,NA,NA,973
2020-03-24,NA,NA,NA,1039,1114
2020-03-25,NA,NA,NA,1288,1269
2020-03-26,1517,1517,1517,1407,1389
2020-03-27,1674,1674,1674,1582,1570
2020-03-28,1850,1850,1850,1693,1668
2020-03-29,1984,1984,1984,1821,1792
2020-03-30,2107,2107,2107,2001,1977
2020-03-31,2175,2175,2175,2217,2204
2020-04-01,2296,2296,2296,2336,2301
2020-04-02,2358,2358,2358,2392,2375
2020-04-03,2423,2423,2423,2447,2436
2020-04-04,2505,2505,2505,2520,2506
2020-04-05,2526,2526,2526,2571,2537
2020-04-06,2598,2598,2598,2612,2601
2020-04-07,2608,2608,2608,2686,2668
2020-04-08,2633,2633,2633,2690,2654
2020-04-09,2662,2662,2662,2676,2665
2020-04-10,2648,2648,2648,2630,2617
2020-04-11,2649,2649,2649,2630,2626
2020-04-12,2609,2609,2609,2630,2604
2020-04-13,2588,2588,2588,2612,2599
2020-04-14,2522,2522,2522,2501,2494
2020-04-15,2475,2475,2475,2427,2419
2020-04-16,2430,2430,2430,2340,2341
2020-04-17,2374,2374,2374,2298,2293
2020-04-18,2324,2324,2324,2271,2254
2020-04-19,2262,2262,2262,2225,2210
2020-04-20,2203,2203,2203,2146,2126
2020-04-21,2150,2150,2150,2063,2055
2020-04-22,2093,2093,2093,2013,2006
2020-04-23,2018,2018,2018,1948,1947
2020-04-24,1944,1944,1944,1925,1913
2020-04-25,1897,1897,1897,1902,1891
2020-04-26,1836,1836,1836,1856,1859
2020-04-27,1765,1765,1765,1755,1801
2020-04-28,1703,1703,1703,NA,1680
2020-04-29,1656,1656,1656,NA,1613
2020-04-30,1553,1553,1553,NA,1569
2020-05-01,1491,1491,1491,NA,1552
2020-05-02,1429,1429,1429,NA,1550
2020-05-03,1367,1367,1367,NA,1501
2020-05-04,1311,1311,1311,NA,1416
2020-05-05,1259,1259,1259,NA,1328
2020-05-06,1205,1205,1205,NA,1254
2020-05-07,1151,1151,1151,NA,1218
2020-05-08,1094,1094,1094,NA,1182
2020-05-09,1042,1042,1042,NA,1171
2020-05-10,1001,1001,1001,NA,1138
2020-05-11,954,954,954,NA,1079
2020-05-12,881,881,881,NA,1036
2020-05-13,864,864,864,NA,982
2020-05-14,828,828,828,NA,943
2020-05-15,791,791,791,NA,917
2020-05-16,747,747,747,NA,893
2020-05-17,716,716,716,NA,824
2020-05-18,684,684,684,NA,775
2020-05-19,652,652,652,NA,745
2020-05-20,619,619,619,NA,728
2020-05-21,594,594,594,NA,703
2020-05-22,580,580,580,NA,688
2020-05-23,565,565,565,NA,686
2020-05-24,516,516,516,NA,671
2020-05-25,506,506,506,NA,659
2020-05-26,493,493,493,NA,642
2020-05-27,485,485,485,NA,614
2020-05-28,467,467,467,NA,589
2020-05-29,450,452,448,NA,570
2020-05-30,443,450,447,NA,562
2020-05-31,428,455,463,NA,559
2020-06-01,425,453,467,NA,549
2020-06-02,431,458,478,NA,540
2020-06-03,414,453,503,NA,523
2020-06-04,409,458,522,NA,503
2020-06-05,409,469,559,NA,478
2020-06-06,409,479,612,NA,475
2020-06-07,404,484,677,NA,461
2020-06-08,407,488,735,NA,444
2020-06-09,408,516,814,NA,435
2020-06-10,419,530,906,NA,428
2020-06-11,419,551,1078,NA,425
2020-06-12,424,565,1168,NA,418
2020-06-13,434,574,1256,NA,415
2020-06-14,434,605,1426,NA,398
2020-06-15,436,620,1551,NA,388
2020-06-16,429,638,1682,NA,356
2020-06-17,424,651,1803,NA,352
2020-06-18,432,669,1908,NA,345
2020-06-19,439,690,2107,NA,341
2020-06-20,438,716,2281,NA,339
2020-06-21,444,747,2407,NA,337
2020-06-22,446,778,2481,NA,330
2020-06-23,443,803,2532,NA,321
2020-06-24,453,826,2595,NA,320
2020-06-25,453,862,2640,NA,313
2020-06-26,463,902,2677,NA,308
2020-06-27,463,944,2750,NA,309
2020-06-28,463,978,2760,NA,305
2020-06-29,472,1015,2772,NA,298
2020-06-30,477,1062,2701,NA,286
