date,cerfew_vaccine,cerfew_no_vaccine,R1,R09,VOC_40,VOC_70,...9,...10,...11,reality_report,reality
2021-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1217
2021-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1237
2021-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1257
2021-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1278
2021-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1299
2021-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1442,1320
2021-01-16,1350,1350,1350,1350,1350,1350,NA,NA,NA,1100,1341
2021-01-17,1372,1372,1372,1372,1372,1372,NA,NA,NA,881,1362
2021-01-18,1400,1400,1400,1400,1400,1400,NA,NA,NA,1467,1380
2021-01-19,1413,1413,1413,1413,1413,1413,NA,NA,NA,1565,1395
2021-01-20,1451,1451,1451,1451,1451,1451,NA,NA,NA,1419,1407
2021-01-21,1487,1487,1487,1487,1487,1487,NA,NA,NA,NA,1417
2021-01-22,1521,1521,1521,1521,1521,1521,NA,NA,NA,1518,1423
2021-01-23,1547,1547,1547,1547,1547,1547,NA,NA,NA,1177,1428
2021-01-24,1567,1567,1567,1567,1567,1567,NA,NA,NA,1006,1431
2021-01-25,1593,1593,1593,1570,1574,1600,NA,NA,NA,1616,1433
2021-01-26,1616,1616,1616,1572,1582,1634,NA,NA,NA,NA,1434
2021-01-27,1642,1642,1642,1575,1589,1667,NA,NA,NA,1568,1435
2021-01-28,1669,1669,1669,1578,1596,1700,NA,NA,NA,1398,1435
2021-01-29,1687,1687,1687,1580,1603,1733,NA,NA,NA,1533,1434
2021-01-30,1711,1711,1711,1583,1611,1767,NA,NA,NA,1179,1431
2021-01-31,1731,1731,1731,1585,1618,1800,NA,NA,NA,1058,1427
2021-02-01,1735,1735,1747,1588,1625,1833,NA,NA,NA,1705,1420
2021-02-02,1740,1740,1765,1584,1649,1851,NA,NA,NA,1632,1411
2021-02-03,1745,1745,1781,1614,1669,1876,NA,NA,NA,NA,1400
2021-02-04,1745,1745,1807,1626,1662,1901,NA,NA,NA,NA,1386
2021-02-05,1745,1745,1823,1627,1662,1918,NA,NA,NA,NA,1370
2021-02-06,1760,1746,1837,1612,1660,1943,NA,NA,NA,NA,1351
2021-02-07,1745,1745,1861,1608,1652,1980,NA,NA,NA,NA,1330
2021-02-08,1772,1758,1882,1601,1652,2006,NA,NA,NA,NA,1309
2021-02-09,1774,1775,1905,1595,1652,2032,NA,NA,NA,NA,1287
