date,reality,blue_full_60,blue_dashed_60,orange_full_60,orange_dashed_60,purple_full_60,purple_dashed_60,red_full_60,red_dashed_60,blue_full_40,blue_dashed_40,orange_full_40,orange_dashed_40,purple_full_40,purple_dashed_40,red_full_40,red_dashed_40
01/04/2021,1782,,,,,,,,,,,,,,,,
02/04/2021,1792,,,,,,,,,,,,,,,,
03/04/2021,1815,,,,,,,,,,,,,,,,
04/04/2021,1810,,,,,,,,,,1758,,,,,,
05/04/2021,1821,,,,,,,,,,1766,,,,,,
06/04/2021,1823,,,,,,,,,,1766,,,,,,
07/04/2021,1819,,,,,,,,,,1767,,,,,,
08/04/2021,1813,,,,,,,,,,1759,,,,,,
09/04/2021,1809,,,,,,,,,,1748,,,,,,
10/04/2021,1798,,1710,,,,,,,,1735,,,,,,
11/04/2021,1748,,1717,,,,,,,,1739,,,,,,
12/04/2021,1754,,1704,,,,,,,,1716,,,,,,
13/04/2021,1714,,1699,,,,,,,,1710,,,,,,
14/04/2021,1691,,1694,,,,,,,,1700,,,,,,
15/04/2021,1668,,1681,,,,,,,,1690,,,,,,
16/04/2021,1650,,1669,,,,,,,,1680,,,,,,
17/04/2021,1653,,1664,,,,,,,,1646,,,,,,
18/04/2021,1629,,1645,,,,,,,,1648,,,,,,
19/04/2021,,,1669,,,,,,,,1678,,,,,,
20/04/2021,,,1689,,,,,,,,1681,,,,,,
21/04/2021,,,1666,,,,,,,,1672,,,,,,
22/04/2021,,,1667,,,,,,,,1666,,,,,,
23/04/2021,,,1658,,,,,,,,1659,,,,,,
24/04/2021,,,1649,,,,,,,,1646,,,,,,
25/04/2021,,,1636,,,,,,,,1638,,,,,,
26/04/2021,,,1625,,,,,,,,1630,,,,,,
27/04/2021,,,1625,,,,,,,,1624,,,,,,
28/04/2021,,,1607,,,,,,,,1605,,,,,,
29/04/2021,,,1583,,,,,,,,1582,,,,,,
30/04/2021,,,1561,,,,,,,,1560,,,,,,
01/05/2021,,,1538,,,,,,,,1540,,,,,,
02/05/2021,,,1542,,,,,,,,1527,,,,,,
03/05/2021,,,1523,,,,,,,,1492,,,,,,
04/05/2021,,,1471,,,,,,,,1490,,,,,,
05/05/2021,,1203,1446,,,,,,,1204,1482,,,,,,
06/05/2021,,1185,1438,,,,,,,1194,1477,,,,,,
07/05/2021,,1165,1416,,,,,,,1171,1486,,,,,,
08/05/2021,,1134,1393,,,,,,,1144,1490,,,,,,
09/05/2021,,1088,1373,,,,,,,1116,1404,,,,,,
10/05/2021,,1060,1362,,,,,,,1067,1371,,,,,,
