date,fig3A_R_1,fig3A_R_1_1,fig3A_R_1_2,fig3A_R_1_3,fig3C_R_1,fig3C_R_1_1,fig3C_R_1_2,fig3C_R_1_3,fig3E_R_1,reality_report,reality
2021-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,2595,2496
2021-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,2618,2553
2021-01-03,2429,2429,2429,2429,2429,2429,2429,2429,2429,2647,2597
2021-01-04,2437,2437,2437,2437,2437,2437,2437,2437,2437,2635,2653
2021-01-05,2445,2445,2445,2445,2445,2445,2445,2445,2445,2575,2613
2021-01-06,2447,2447,2447,2447,2447,2447,2447,2447,2447,2554,2552
2021-01-07,2471,2471,2471,2471,2471,2471,2471,2471,2471,2546,2542
2021-01-08,2482,2482,2482,2482,2482,2482,2482,2482,2482,2538,2546
2021-01-09,2482,2482,2482,2482,2482,2482,2482,2482,2482,2603,2527
2021-01-10,2495,2495,2495,2495,2495,2495,2495,2495,2495,2637,2584
2021-01-11,2505,2505,2505,2505,2505,2505,2505,2505,2505,2644,2638
2021-01-12,2525,2525,2525,2525,2525,2525,2525,2525,2525,2646,2601
2021-01-13,2564,2564,2564,2564,2564,2564,2564,2564,2564,2653,2659
2021-01-14,2572,2572,2572,2572,2572,2572,2572,2572,2572,2665,2657
2021-01-15,2599,2599,2599,2599,2599,2599,2599,2599,2599,2694,2643
2021-01-16,2646,2646,2646,2646,2646,2646,2646,2646,2646,2750,2664
2021-01-17,2683,2683,2683,2683,2683,2683,2683,2683,2683,2806,2741
2021-01-18,2720,2720,2720,2720,2720,2720,2720,2720,2720,2796,2817
2021-01-19,2765,2765,2765,2765,2765,2765,2765,2765,2765,2794,2792
2021-01-20,2794,2794,2794,2794,2794,2794,2794,2794,2794,2887,2822
2021-01-21,2835,2835,2835,2835,2835,2835,2835,2835,2835,2920,2877
2021-01-22,2876,2876,2876,2876,2876,2876,2876,2876,2876,2912,2906
2021-01-23,2914,2914,2914,2914,2914,2914,2914,2914,2914,3023,2896
2021-01-24,2953,2953,2953,2953,2953,2953,2953,2953,2953,3089,2987
2021-01-25,2995,2995,2995,2995,2995,2995,2995,2995,2995,3126,3074
2021-01-26,3034,3034,3034,3034,3034,3034,3034,3034,3034,3131,3112
2021-01-27,3075,3075,3075,3075,3075,3075,3075,3075,3075,3136,3118
2021-01-28,3129,3129,3129,3129,3129,3129,3129,3129,3129,3141,3123
2021-01-29,3132,3132,3132,3132,3132,3132,3132,3132,3132,3114,3123
2021-01-30,3203,3203,3203,3203,3203,3203,3203,3203,3203,3149,3093
2021-01-31,3219,3219,3219,3219,3219,3219,3219,3219,3219,3221,3152
2021-02-01,3233,3233,3233,3233,3233,3233,3233,3233,3233,3239,3226
2021-02-02,3245,3245,3245,3245,3245,3245,3245,3245,3245,3244,3251
2021-02-03,3269,3269,3269,3269,3269,3269,3269,3269,3269,3219,3245
2021-02-04,3269,3269,3269,3269,3269,3269,3269,3269,3269,3219,3233
2021-02-05,3268,3268,3268,3268,3268,3268,3268,3268,3268,3226,3233
2021-02-06,3283,3283,3283,3283,3283,3283,3283,3283,3283,3289,3222
2021-02-07,3291,3291,3291,3291,3291,3291,3291,3291,3291,3338,3271
2021-02-08,3294,3294,3294,3294,3294,3294,3294,3294,3294,3359,3359
2021-02-09,3291,3291,3291,3291,3291,3291,3291,3291,3291,3319,3320
2021-02-10,3314,3314,3314,3314,3314,3314,3314,3314,3314,3336,3298
2021-02-11,3326,3326,3326,3326,3326,3326,3326,3326,3326,3288,3293
2021-02-12,3346,3346,3346,3346,3346,3346,3346,3346,3346,3325,3284
2021-02-13,3353,3353,3353,3353,3353,3353,3353,3353,3353,3320,3272
2021-02-14,3354,3354,3354,3354,3354,3354,3354,3354,3354,3372,3323
2021-02-15,3371,3371,3371,3371,3371,3371,3371,3371,3371,3350,3397
2021-02-16,3357,3357,3357,3357,3357,3357,3357,3357,3357,3369,3352
2021-02-17,3370,3370,3370,3370,3370,3370,3370,3370,3370,3343,3320
2021-02-18,3369,3369,3369,3369,3369,3369,3369,3369,3369,3315,3321
2021-02-19,3366,3366,3366,3366,3366,3366,3366,3366,3366,3307,3315
2021-02-20,3392,3392,3392,3392,3392,3392,3392,3392,3392,3318,3269
2021-02-21,3392,3392,3392,3392,3392,3392,3392,3392,3392,3363,3337
2021-02-22,3410,3410,3410,3410,3410,3410,3410,3410,3410,3405,3407
2021-02-23,3371,3371,3371,3371,3371,3371,3371,3371,3371,3422,3435
2021-02-24,3402,3402,3402,3402,3402,3402,3402,3402,3402,3382,3384
2021-02-25,3392,3392,3392,3392,3392,3392,3392,3392,3392,3407,3379
2021-02-26,3394,3394,3394,3394,3394,3394,3394,3394,3394,3458,3398
2021-02-27,3399,3399,3399,3399,3399,3399,3399,3399,3399,3515,3419
2021-02-28,3420,3420,3420,3420,3420,3420,3420,3420,3420,3580,3494
2021-03-01,3421,3421,3421,3421,3421,3421,3421,3421,3421,3604,3573
2021-03-02,3451,3451,3451,3451,3451,3451,3451,3451,3451,3627,3603
2021-03-03,3498,3498,3498,3498,3498,3498,3498,3498,3498,3649,3623
2021-03-04,3520,3520,3520,3520,3520,3520,3520,3520,3520,3695,3624
2021-03-05,3547,3547,3547,3547,3547,3547,3547,3547,3547,3719,3682
2021-03-06,3594,3594,3594,3594,3594,3594,3594,3594,3594,3795,3694
2021-03-07,3645,3645,3645,3645,3645,3645,3645,3645,3645,3843,3793
2021-03-08,3692,3692,3692,3692,3692,3692,3692,3692,3692,3877,3862
2021-03-09,3749,3749,3749,3749,3749,3749,3749,3749,3749,3892,3878
2021-03-10,3799,3799,3799,3799,3799,3799,3799,3799,3799,3889,3870
2021-03-11,3843,3843,3843,3843,3843,3843,3843,3843,3843,3937,3885
2021-03-12,3856,3856,3856,3856,3856,3856,3856,3856,3856,3939,3958
2021-03-13,3904,3904,3904,3904,3904,3904,3904,3904,3904,4055,3957
2021-03-14,3957,3957,3957,3957,3957,3957,3957,3957,3957,4156,4052
2021-03-15,4016,4016,4016,4016,4016,4016,4016,4016,4016,4215,4199
2021-03-16,4077,4077,4077,4077,4077,4077,4077,4077,4077,4197,4174
2021-03-17,4126,4126,4126,4126,4126,4126,4126,4126,4126,4197,4185
2021-03-18,4176,4176,4176,4176,4176,4176,4176,4176,4176,4217,4202
2021-03-19,4271,4271,4271,4271,4271,4271,4271,4271,4271,4278,4199
2021-03-20,4297,4297,4297,4297,4297,4297,4297,4297,4297,4433,4270
2021-03-21,4375,4375,4375,4375,4375,4375,4375,4375,4375,4537,4430
2021-03-22,4456,4456,4456,4456,4456,4456,4456,4456,4456,4592,4545
2021-03-23,4504,4504,4504,4504,4504,4504,4504,4504,4504,4604,4573
2021-03-24,4563,4563,4563,4563,4563,4563,4563,4563,4563,4628,4628
2021-03-25,4615,4615,4615,4615,4615,4615,4615,4615,4615,4659,4650
2021-03-26,4689,4689,4689,4689,4689,4689,4689,4689,4689,4758,4680
2021-03-27,4775,4775,4775,4775,4775,4775,4775,4775,4775,4829,4748
2021-03-28,4835,4835,4835,4835,4835,4835,4835,4835,4835,4990,4891
2021-03-29,4905,4905,4905,4905,4905,4905,4905,4905,4905,5009,4993
2021-03-30,4984,4984,4984,4984,4984,4984,4984,4984,4984,5057,5026
2021-03-31,5053,5053,5053,5053,5053,5053,5053,5053,5053,5094,5025
2021-04-01,5104,5104,5104,5104,5253,5253,5253,5253,5152,5142,5063
2021-04-02,5243,5243,5243,5243,5313,5313,5313,5313,5208,5183,5172
2021-04-03,5277,5277,5277,5277,5396,5396,5396,5396,5271,5274,5198
2021-04-04,5324,5324,5324,5324,5433,5433,5433,5433,5375,5379,5331
2021-04-05,5437,5437,5437,5437,5506,5506,5506,5506,5447,5550,5462
2021-04-06,5516,5516,5516,5516,5565,5565,5565,5565,5518,5650,5626
2021-04-07,5568,5568,5568,5568,5617,5617,5617,5617,5573,5615,5629
2021-04-08,5633,5633,5633,5633,5681,5681,5681,5681,5611,5640,5641
2021-04-09,5689,5689,5689,5689,5724,5724,5724,5724,5687,5675,5651
2021-04-10,5713,5713,5713,5713,5742,5742,5742,5742,5696,5764,5681
2021-04-11,5769,5769,5769,5769,5799,5799,5799,5799,5758,5856,5785
2021-04-12,5820,5820,5820,5820,5828,5828,5828,5828,5784,5927,5909
2021-04-13,5821,5821,5821,5821,5843,5843,5843,5843,5799,5884,5878
2021-04-14,5855,5855,5855,5855,5866,5866,5866,5866,5810,5824,5804
2021-04-15,5916,5916,5916,5916,5889,5889,5889,5889,5849,5798,5783
2021-04-16,5941,5941,5941,5941,5912,5912,5912,5912,5860,5818,5799
2021-04-17,5926,5926,5926,5926,5900,5900,5900,5900,5902,5817,5702
2021-04-18,5929,5929,5929,5929,5900,5900,5900,5900,5890,5842,5798
2021-04-19,5960,5960,5960,5960,5900,5900,5900,5900,5914,5906,5885
2021-04-20,5938,5938,5938,5938,5900,5900,5900,5900,5899,5899,5856
2021-04-21,5933,5933,5933,5933,5882,5882,5882,5882,5899,5875,5852
