date;real_smooth;low;median;high
25/03/2020;;;;
26/03/2020;2878;;;
27/03/2020;3266;;;
28/03/2020;3688;;;
29/03/2020;4033;;;
30/03/2020;4512;;;
31/03/2020;4958;;;
01/04/2020;5386;;;
02/04/2020;5760;;;
03/04/2020;6108;;;
04/04/2020;6515;;;
05/04/2020;6857;;;
06/04/2020;7166;;;
07/04/2020;7550;;;
08/04/2020;7864;;;
09/04/2020;8037;;;
10/04/2020;8221;;;
11/04/2020;8398;;;
12/04/2020;8465;;;
13/04/2020;8525;;;
14/04/2020;8494;;;
15/04/2020;8420;;;
16/04/2020;8367;;;
17/04/2020;8230;;;
18/04/2020;7967;;;
19/04/2020;7853;;;
20/04/2020;7675;;;
21/04/2020;7602;;;
22/04/2020;7413;;;
23/04/2020;7185;;;
24/04/2020;6946;;;
25/04/2020;6681;;;
26/04/2020;6464;;;
27/04/2020;6220;;;
28/04/2020;6045;;;
29/04/2020;5796;;;
30/04/2020;5554;;;
01/05/2020;5284;;;
02/05/2020;5059;;;
03/05/2020;4873;;;
04/05/2020;4679;;;
05/05/2020;4511;;;
06/05/2020;4332;;;
07/05/2020;4150;;;
08/05/2020;4010;;;
09/05/2020;3871;;;
10/05/2020;3779;;;
11/05/2020;3669;;;
12/05/2020;3571;;;
13/05/2020;3468;;;
14/05/2020;3396;;;
15/05/2020;3346;;;
16/05/2020;3274;;;
17/05/2020;3236;;;
18/05/2020;3157;;;
19/05/2020;3119;;;
20/05/2020;3104;;;
21/05/2020;;;;
22/05/2020;;;;
23/05/2020;;3044;3029;3011
24/05/2020;;3042;3022;2983
25/05/2020;;3044;2998;2981
26/05/2020;;3038;3006;3017
27/05/2020;;3042;3027;3047
28/05/2020;;3038;3050;3076
29/05/2020;;3085;3065;3122
30/05/2020;;3082;3059;3197
31/05/2020;;3138;3139;3241
01/06/2020;;3135;3126;3320
02/06/2020;;3159;3180;3467
03/06/2020;;3159;3238;3638
04/06/2020;;3159;3275;3792
05/06/2020;;3159;3346;3890
06/06/2020;;3185;3371;4158
07/06/2020;;3194;3415;4566
08/06/2020;;3237;3469;4711
09/06/2020;;3277;3503;5035
10/06/2020;;3294;3560;5455
11/06/2020;;3299;3612;5976
12/06/2020;;3293;3656;6465
13/06/2020;;3359;3725;7078
14/06/2020;;3355;3786;7555
15/06/2020;;3373;3822;8069
16/06/2020;;3412;3858;8558
17/06/2020;;3430;3902;9124
18/06/2020;;3449;3962;9700
19/06/2020;;3468;4012;10091
20/06/2020;;3490;4066;10394
21/06/2020;;3476;4133;10629
22/06/2020;;3487;4189;10790
23/06/2020;;3512;4269;10922
24/06/2020;;3490;4289;11037
25/06/2020;;3499;4365;11115
26/06/2020;;3518;4447;11150
27/06/2020;;3529;4524;11133
28/06/2020;;3590;4596;11183
