date;R_1_2;R_1_1;R_1;R_0_9;R_0_8;R_0_7
26/10/2020;;;;;;
27/10/2020;3202;3238;3106;3312;3332;3292
28/10/2020;3365;3394;3242;3426;3412;3121
29/10/2020;3550;3550;3444;3619;3719;3363
30/10/2020;3751;3766;3682;3796;3933;3549
31/10/2020;3957;3958;3939;3951;4140;3745
01/11/2020;4189;4183;4199;4176;4384;3876
02/11/2020;4423;4428;4447;4412;4548;4163
03/11/2020;4649;4649;4667;4646;4609;4396
04/11/2020;4892;4887;4842;4921;4723;4609
05/11/2020;5139;5106;5061;5122;4910;4858
06/11/2020;5377;5328;5287;5370;5102;5088
07/11/2020;5602;5591;5497;5411;5278;5262
08/11/2020;5824;5801;5697;5564;5466;5435
09/11/2020;6047;5998;5886;5685;5605;5514
10/11/2020;6274;6179;6018;5847;5704;5589
11/11/2020;6476;6308;6144;5915;5786;5633
12/11/2020;6659;6419;6251;5990;5840;5632
13/11/2020;6827;6572;6329;6060;5844;5625
14/11/2020;6996;6691;6393;6089;5828;5611
15/11/2020;7131;6783;6452;6080;5812;5511
16/11/2020;7281;6859;6469;6056;5730;5500
17/11/2020;7414;6928;6477;5992;5630;5344
18/11/2020;7540;6994;6477;5989;5535;5155
19/11/2020;7643;7027;6477;5960;5432;5057
20/11/2020;7742;7062;6445;5885;5342;4949
21/11/2020;7843;7078;6413;5802;5241;4762
22/11/2020;7938;7110;6368;5708;5147;4599
23/11/2020;8019;7110;6310;5563;5023;4423
24/11/2020;8099;7110;6235;5492;4914;4259
25/11/2020;8165;7110;6185;5381;4756;4091
26/11/2020;8224;7094;6118;5264;4583;3926
27/11/2020;8282;7069;6030;5112;4394;3751
28/11/2020;8333;7045;5953;5021;4245;3630
29/11/2020;8383;7013;5871;4924;4030;3427
30/11/2020;8425;6980;5785;4779;3878;3261
01/12/2020;8460;6946;5701;4590;3708;3114
02/12/2020;8494;6907;5600;4528;3599;2966
03/12/2020;8522;6868;5512;4404;3494;2821
04/12/2020;8538;6818;5414;4286;3393;2630
05/12/2020;8580;6768;5316;4161;3292;2538
06/12/2020;8587;6716;5228;4043;3173;2430
07/12/2020;8602;6659;5128;3886;3015;2273
08/12/2020;8612;6617;5027;3783;2893;2186
09/12/2020;8636;6550;4942;3709;2783;2052
10/12/2020;8636;6499;4842;3580;2674;1937
11/12/2020;8636;6444;4756;3479;2536;1843
12/12/2020;8628;6376;4656;3365;2425;1740
13/12/2020;8636;6315;4571;3264;2331;1641
14/12/2020;8643;6249;4469;3163;2220;1550
15/12/2020;;;;3100;2207;
