Colonne1;dates;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12
50;29/09/2021;;;;;; 157  ; -    ; -    ; -    ; -    ; -    ; 156  
5;05/10/2021;;;;;; 124  ; -    ; -    ; -    ; -    ; -    ; 124  
143;14/10/2021;;;;;; 92  ; -    ; -    ; -    ; -    ; -    ; 91  
80;22/10/2021;;;;;; 65  ; -    ; -    ; -    ; -    ; -    ; 64  
76;24/10/2021; 77  ;;;;;; 76  ; -    ; -    ; -    ; -    ; -    
121;25/10/2021; 77  ;;;;;; 76  ; -    ; -    ; -    ; -    ; -    
109;26/10/2021;;; 77  ;;;; -    ; -    ; 76  ; -    ; -    ; -    
29;27/10/2021; 75  ;; 73  ;;;; 75  ; -    ; 73  ; -    ; -    ; -    
135;28/10/2021; 73  ;;;; 70  ;; 73  ; -    ; -    ; -    ; 70  ; -    
95;29/10/2021; 70  ; 75  ; 75  ; 65  ;;; 69  ; 74  ; 74  ; 64  ; -    ; -    
10;30/10/2021; 81  ;;;;;; 80  ; -    ; -    ; -    ; -    ; -    
125;31/10/2021; 81  ; 81  ; 81  ;;;; 80  ; 80  ; 80  ; -    ; -    ; -    
99;01/11/2021; 77  ; 82  ; 82  ;;;; 76  ; 81  ; 81  ; -    ; -    ; -    
92;02/11/2021; 88  ;;;;;; 87  ; -    ; -    ; -    ; -    ; -    
101;03/11/2021; 95  ; 95  ; 95  ;;;; 94  ; 94  ; 94  ; -    ; -    ; -    
70;04/11/2021;; 95  ; 95  ;;;; -    ; 94  ; 94  ; -    ; -    ; -    
119;05/11/2021; 102  ;;;;;; 101  ; -    ; -    ; -    ; -    ; -    
14;06/11/2021; 91  ; 102  ; 95  ;;;; 91  ; 101  ; 94  ; -    ; -    ; -    
110;07/11/2021; 102  ; 105  ; 95  ;;;; 101  ; 105  ; 94  ; -    ; -    ; -    
145;08/11/2021; 102  ;;;;;; 101  ; -    ; -    ; -    ; -    ; -    
91;09/11/2021;; 102  ; 95  ;; 70  ; 27  ; -    ; 101  ; 94  ; -    ; 70  ; 27  
153;10/11/2021; 109  ; 109  ; 98  ; 70  ;;; 108  ; 108  ; 98  ; 70  ; -    ; -    
28;12/11/2021;; 113  ;;;;; -    ; 112  ; -    ; -    ; -    ; -    
37;14/11/2021;; 117  ;;;;; -    ; 117  ; -    ; -    ; -    ; -    
113;15/11/2021; 145  ; 145  ;;;;; 144  ; 144  ; -    ; -    ; -    ; -    
36;16/11/2021; 141  ; 134  ; 95  ;;;; 141  ; 133  ; 94  ; -    ; -    ; -    
43;17/11/2021; 153  ; 153  ;;;;; 152  ; 152  ; -    ; -    ; -    ; -    
40;18/11/2021; 160  ; 160  ;;;;; 159  ; 159  ; -    ; -    ; -    ; -    
41;19/11/2021; 162  ; 162  ;;;;; 162  ; 162  ; -    ; -    ; -    ; -    
21;20/11/2021; 171  ; 171  ;;;;; 171  ; 171  ; -    ; -    ; -    ; -    
16;21/11/2021;; 152  ;;;;; -    ; 151  ; -    ; -    ; -    ; -    
82;22/11/2021; 162  ; 148  ;; 70  ;;; 162  ; 148  ; -    ; 70  ; -    ; -    
54;23/11/2021;; 159  ; 109  ;; 70  ;; -    ; 158  ; 108  ; -    ; 70  ; -    
111;24/11/2021;; 167  ;;;;; -    ; 167  ; -    ; -    ; -    ; -    
47;26/11/2021; 224  ; 174  ;;;; 11  ; 224  ; 174  ; -    ; -    ; -    ; 10  
115;27/11/2021; 238  ; 187  ;;;;; 238  ; 187  ; -    ; -    ; -    ; -    
96;28/11/2021; 241  ; 184  ;;;;; 240  ; 183  ; -    ; -    ; -    ; -    
154;29/11/2021; 252  ; 196  ;;;;; 252  ; 195  ; -    ; -    ; -    ; -    
53;30/11/2021; 258  ;; 126  ;;;; 258  ; -    ; 125  ; -    ; -    ; -    
7;01/12/2021;; 203  ;;;;; -    ; 202  ; -    ; -    ; -    ; -    
151;02/12/2021;; 217  ;;;;; -    ; 216  ; -    ; -    ; -    ; -    
35;03/12/2021;; 226  ;; 86  ;;; -    ; 226  ; -    ; 86  ; -    ; -    
116;05/12/2021; 322  ; 238  ;;;;; 322  ; 238  ; -    ; -    ; -    ; -    
83;06/12/2021; 337  ; 241  ;;;;; 336  ; 240  ; -    ; -    ; -    ; -    
30;07/12/2021; 358  ; 252  ; 145  ;; 65  ;; 358  ; 252  ; 144  ; -    ; 64  ; -    
130;08/12/2021; 365  ; 267  ;;;;; 365  ; 266  ; -    ; -    ; -    ; -    
12;09/12/2021;; 269  ;;;;; -    ; 269  ; -    ; -    ; -    ; -    
124;10/12/2021;; 281  ;;;; 11  ; -    ; 280  ; -    ; -    ; -    ; 10  
128;11/12/2021;; 295  ;;;;; -    ; 295  ; -    ; -    ; -    ; -    
51;12/12/2021;; 298  ;;;;; -    ; 297  ; -    ; -    ; -    ; -    
49;13/12/2021; 443  ; 309  ; 159  ;;;; 443  ; 309  ; 158  ; -    ; -    ; -    
157;14/12/2021; 472  ; 324  ;;;;; 471  ; 323  ; -    ; -    ; -    ; -    
105;15/12/2021; 479  ; 326  ;;;;; 479  ; 326  ; -    ; -    ; -    ; -    
6;16/12/2021;; 338  ;;;;; -    ; 337  ; -    ; -    ; -    ; -    
77;17/12/2021;; 358  ;;;;; -    ; 358  ; -    ; -    ; -    ; -    
131;18/12/2021; 554  ;;;;;; 553  ; -    ; -    ; -    ; -    ; -    
84;19/12/2021; 564  ; 373  ;; 103  ;;; 564  ; 373  ; -    ; 102  ; -    ; -    
66;20/12/2021; 580  ; 379  ; 180  ;;;; 579  ; 379  ; 180  ; -    ; -    ; -    
149;21/12/2021; 589  ; 394  ;;;;; 589  ; 393  ; -    ; -    ; -    ; -    
72;22/12/2021;; 408  ;;; 65  ;; -    ; 407  ; -    ; -    ; 64  ; -    
106;23/12/2021; 657  ; 422  ; 187  ;;; 5  ; 656  ; 422  ; 187  ; -    ; -    ; 5  
56;24/12/2021; 671  ; 436  ;;;;; 671  ; 436  ; -    ; -    ; -    ; -    
152;25/12/2021;; 451  ;;;;; -    ; 450  ; -    ; -    ; -    ; -    
17;26/12/2021;; 458  ;;;;; -    ; 457  ; -    ; -    ; -    ; -    
