date;reality;projection
01/10/2021;39;
02/10/2021;38;
03/10/2021;38;
04/10/2021;37;
05/10/2021;37;
06/10/2021;35;
07/10/2021;35;
08/10/2021;35;
09/10/2021;35;
10/10/2021;35;
11/10/2021;35;
12/10/2021;36;
13/10/2021;36;
14/10/2021;37;
15/10/2021;38;
16/10/2021;39;
17/10/2021;41;
18/10/2021;42;
19/10/2021;44;
20/10/2021;46;
21/10/2021;47;
22/10/2021;49;
23/10/2021;50;
24/10/2021;51;
25/10/2021;54;
26/10/2021;54;
27/10/2021;57;
28/10/2021;57;
29/10/2021;58;
30/10/2021;59;
31/10/2021;60;
01/11/2021;62;
02/11/2021;63;
03/11/2021;64;
04/11/2021;66;
05/11/2021;69;
06/11/2021;71;
07/11/2021;73;
08/11/2021;75;
09/11/2021;77;
10/11/2021;79;
11/11/2021;82;
12/11/2021;84;
13/11/2021;86;
14/11/2021;88;
15/11/2021;91;
16/11/2021;94;
17/11/2021;97;
18/11/2021;100;
19/11/2021;102;
20/11/2021;107;
21/11/2021;113;
22/11/2021;119;
23/11/2021;126;
24/11/2021;132;
25/11/2021;142;
26/11/2021;150;
27/11/2021;160;
28/11/2021;169;
29/11/2021;178;
30/11/2021;188;
01/12/2021;198;198
02/12/2021;205;
03/12/2021;213;
04/12/2021;218;233
05/12/2021;224;242
06/12/2021;229;249
07/12/2021;233;256
08/12/2021;238;271
09/12/2021;242;287
10/12/2021;246;297
11/12/2021;247;303
12/12/2021;249;312
13/12/2021;251;325
14/12/2021;252;334
15/12/2021;254;347
16/12/2021;255;358
17/12/2021;;372
18/12/2021;;379
