date;real_pessimiste_VE;red_pessimiste_VE;green_pessimiste_VE;blue_pessimiste_VE
01/12/2021;1930;;;
02/12/2021;1980;;;
03/12/2021;2010;;;
04/12/2021;2120;;;
05/12/2021;2230;;;
06/12/2021;2290;;;
07/12/2021;2380;;;
08/12/2021;2400;;;
09/12/2021;2450;;;
10/12/2021;2540;;;2430
11/12/2021;2620;;;2520
12/12/2021;2740;;;2580
13/12/2021;2780;;;2630
14/12/2021;2820;;;2730
15/12/2021;2840;;;2770
16/12/2021;2900;;;2830
17/12/2021;2940;;;2870
18/12/2021;2960;;;2950
19/12/2021;3050;;;2990
20/12/2021;3100;;;3020
21/12/2021;3100;;;3070
22/12/2021;3120;;;3050
23/12/2021;3150;;;3200
24/12/2021;3200;;;3150
25/12/2021;3260;;;3330
26/12/2021;3320;;;3250
27/12/2021;3350;;;3320
28/12/2021;3380;;;3370
29/12/2021;3400;;;3410
30/12/2021;3450;;;3440
31/12/2021;3420;;;3460
01/01/2022;3490;;;3440
02/01/2022;3590;;;3470
03/01/2022;;;;3500
04/01/2022;;;;3550
05/01/2022;;;;3590
06/01/2022;;;;3610
07/01/2022;;;;3630
08/01/2022;;3730;;3680
09/01/2022;;3770;3760;3720
10/01/2022;;3820;3780;3730
11/01/2022;;3860;3820;3790
12/01/2022;;3900;3860;3810
13/01/2022;;3970;3910;3820
14/01/2022;;4040;3930;3880
15/01/2022;;4110;3990;3890
16/01/2022;;4190;4050;3920
17/01/2022;;4310;4100;3980
18/01/2022;;4430;4190;3980
19/01/2022;;4680;4250;3990
20/01/2022;;4790;4340;4010
21/01/2022;;4890;4420;4050
22/01/2022;;5050;4520;4090
23/01/2022;;5200;4600;4100
24/01/2022;;5390;4700;4140
25/01/2022;;5570;4800;4170
26/01/2022;;5810;4910;4190
27/01/2022;;5990;5010;4210
28/01/2022;;6150;5100;4240
29/01/2022;;6350;5210;4270
30/01/2022;;6530;5310;4290
31/01/2022;;6700;5410;4310
01/02/2022;;6830;5490;4310
02/02/2022;;7050;5570;4360
03/02/2022;;7170;5660;4360
04/02/2022;;7350;5720;4380
05/02/2022;;7450;5790;4390
06/02/2022;;7550;5860;4400
07/02/2022;;7630;5890;4400
08/02/2022;;7720;5920;4420
09/02/2022;;7760;5960;4390
10/02/2022;;7770;5990;4370
11/02/2022;;7780;5990;4360
12/02/2022;;7760;5990;4340
13/02/2022;;7720;5960;4330
14/02/2022;;7640;5940;4290
15/02/2022;;7560;5920;4290
16/02/2022;;7520;5850;4210
17/02/2022;;7420;5810;4180
18/02/2022;;7340;5730;4120
19/02/2022;;7100;5660;4080
20/02/2022;;7020;5580;4030
21/02/2022;;6890;5490;3950
22/02/2022;;6720;5410;3910
23/02/2022;;6530;5310;3840
24/02/2022;;6400;5210;3810
25/02/2022;;6240;5090;3730
26/02/2022;;6090;4990;3690
27/02/2022;;5870;4850;3620
28/02/2022;;5680;4740;3510
01/03/2022;;5430;4620;3380
02/03/2022;;5210;4480;3340
03/03/2022;;5080;4350;3260
04/03/2022;;4910;4210;3160
05/03/2022;;4700;4080;3100
06/03/2022;;4520;3950;3020
07/03/2022;;4350;3820;2940
08/03/2022;;4160;3680;2860
09/03/2022;;3990;3550;2790
10/03/2022;;3830;3430;2700
11/03/2022;;3640;3300;2600
12/03/2022;;3500;3160;2540
13/03/2022;;3280;3020;2470
14/03/2022;;3140;2900;2440
15/03/2022;;2980;2790;2360
16/03/2022;;2850;2680;2230
17/03/2022;;2720;2560;2120
18/03/2022;;2570;2460;2040
19/03/2022;;2480;2350;1960
20/03/2022;;2410;2230;1910
21/03/2022;;2320;2180;1880
22/03/2022;;2170;2060;1800
23/03/2022;;2050;1980;1790
24/03/2022;;1990;1900;1750
25/03/2022;;;1810;1670
26/03/2022;;;1700;1540
27/03/2022;;;1620;1470
28/03/2022;;;1560;1410
29/03/2022;;;1480;1350
30/03/2022;;;1390;1280
31/03/2022;;;1350;1230
01/04/2022;;;1300;1160
