date;2_real_normal;2_red_normal;2_green_normal;2_blue_normal;3_real_normal;3_red_normal;3_green_normal;3_blue_normal
01/12/2021;1926;;;2056;1924;;;2005
02/12/2021;1989;;;2043;1975;;;2065
03/12/2021;2021;;;2051;2009;;;2111
04/12/2021;2135;;;2048;2107;;;2087
05/12/2021;2239;;;2166;2236;;;2120
06/12/2021;2294;;;2225;2295;;;2257
07/12/2021;2395;;;2292;2383;;;2278
08/12/2021;2420;;;2376;2406;;;2328
09/12/2021;2469;;;2420;2469;;;2378
10/12/2021;2533;;;2452;2532;;;2465
11/12/2021;2623;;;2532;2629;;;2519
12/12/2021;2751;;;2628;2746;;;2625
13/12/2021;2785;;;2697;2783;;;2688
14/12/2021;2810;;;2771;2808;;;2745
15/12/2021;2836;;;2834;2835;;;2784
16/12/2021;2912;;;2840;2899;;;2937
17/12/2021;2934;;;2971;2936;;;3023
18/12/2021;2976;;;3025;2974;;;3039
19/12/2021;3051;;;3012;3037;;;3038
20/12/2021;3096;;;3153;3071;;;3155
21/12/2021;3097;;;3143;3091;;;3175
22/12/2021;3123;;;3224;3121;;;3184
23/12/2021;3159;;;3233;3159;;;3263
24/12/2021;3218;;;3269;3197;;;3263
25/12/2021;3268;;;3279;3262;;;3351
26/12/2021;3326;;;3266;3311;;;3374
27/12/2021;3358;;;3294;3355;;;3369
28/12/2021;3384;;;3331;3384;;;3481
29/12/2021;3409;;;3361;3407;;;3499
30/12/2021;3448;;;3497;3446;;;3521
31/12/2021;3427;;;3441;3419;;;3572
01/01/2022;3498;;;3387;3490;;;3634
02/01/2022;3598;;;3501;3577;;;3695
03/01/2022;;;;3514;;;;3750
04/01/2022;;;;3566;;;;3818
05/01/2022;;;;3603;;;;3903
06/01/2022;;;;3627;;;;3980
07/01/2022;;;;3654;;;;4095
08/01/2022;;;;3700;;;;4165
09/01/2022;;3813;;3738;;;;4295
10/01/2022;;3841;3825;3774;;4515;4479;4384
11/01/2022;;3904;3865;3813;;4658;4603;4510
12/01/2022;;3968;3917;3838;;4852;4742;4622
13/01/2022;;4031;3965;3873;;5008;4878;4735
14/01/2022;;4088;3996;3913;;5183;5016;4847
15/01/2022;;4154;4045;3943;;5375;5182;4989
16/01/2022;;4248;4104;3968;;5621;5365;5097
17/01/2022;;4363;4151;3983;;5854;5520;5201
18/01/2022;;4463;4216;4008;;6138;5718;5344
19/01/2022;;4551;4265;4032;;6367;5874;5425
20/01/2022;;4642;4305;4034;;6675;6077;5515
21/01/2022;;4732;4345;4018;;6888;6226;5603
22/01/2022;;4845;4375;4021;;7158;6402;5694
23/01/2022;;4906;4417;4021;;7427;6549;5805
24/01/2022;;4985;4465;4007;;7639;6710;5865
25/01/2022;;5061;4489;3995;;7880;6870;5932
26/01/2022;;5108;4501;3982;;8128;6973;5986
27/01/2022;;5166;4528;3957;;8342;7104;6021
28/01/2022;;5213;4528;3914;;8477;7190;6033
29/01/2022;;5244;4527;3885;;8651;7264;6059
30/01/2022;;5257;4503;3839;;8743;7316;6058
31/01/2022;;5257;4501;3798;;8846;7362;6035
01/02/2022;;5282;4464;3683;;8939;7374;6000
02/02/2022;;5234;4416;3685;;8934;7369;5964
03/02/2022;;5196;4385;3621;;8943;7356;5912
04/02/2022;;5154;4313;3553;;8919;7307;5837
05/02/2022;;5053;4250;3478;;8882;7249;5776
06/02/2022;;5017;4171;3401;;8790;7170;5689
07/02/2022;;4943;4097;3303;;8699;7073;5588
08/02/2022;;4831;4022;3241;;8582;6983;5500
09/02/2022;;4742;3921;3141;;8422;6855;5373
10/02/2022;;4623;3819;3040;;8290;6731;5259
11/02/2022;;4513;3735;2960;;8098;6577;5134
12/02/2022;;4397;3630;2876;;7961;6478;5034
13/02/2022;;4277;3534;2805;;7730;6287;4898
