date;reality;projection;
01/08/2021;118;122;1
02/08/2021;125;128;2
03/08/2021;132;133;3
04/08/2021;137;138;4
05/08/2021;142;142;5
06/08/2021;146;145;6
07/08/2021;148;149;7
08/08/2021;149;151;8
09/08/2021;152;150;9
10/08/2021;152;152;10
11/08/2021;152;151;11
12/08/2021;152;151;12
13/08/2021;152;151;13
14/08/2021;152;151;14
15/08/2021;152;151;15
16/08/2021;151;151;16
17/08/2021;150;151;17
18/08/2021;150;149;18
19/08/2021;149;148;19
20/08/2021;148;148;20
21/08/2021;147;145;21
22/08/2021;145;144;22
23/08/2021;143;142;23
24/08/2021;142;140;24
25/08/2021;139;137;25
26/08/2021;135;134;26
27/08/2021;133;130;27
28/08/2021;130;127;28
29/08/2021;126;125;29
30/08/2021;123;122;30
31/08/2021;120;120;31
01/09/2021;118;117;32
02/09/2021;115;112;33
03/09/2021;112;109;34
04/09/2021;107;105;35
05/09/2021;103;102;36
06/09/2021;100;98;37
07/09/2021;97;94;38
08/09/2021;93;91;39
09/09/2021;89;87;40
10/09/2021;86;83;41
11/09/2021;82;80;42
12/09/2021;79;77;43
13/09/2021;74;74;44
14/09/2021;71;71;45
15/09/2021;69;67;46
16/09/2021;66;64;47
17/09/2021;63;61;48
18/09/2021;60;60;49
19/09/2021;58;57;50
20/09/2021;56;53;51
21/09/2021;54;52;52
22/09/2021;52;50;53
23/09/2021;51;49;54
24/09/2021;47;46;55
25/09/2021;46;45;56
26/09/2021;45;44;57
27/09/2021;43;41;58
28/09/2021;42;41;59
29/09/2021;41;41;60
30/09/2021;40;40;61
01/10/2021;39;38;62
02/10/2021;39;38;63
03/10/2021;38;38;64
04/10/2021;38;37;65
05/10/2021;37;35;66
06/10/2021;37;36;67
07/10/2021;37;36;68
08/10/2021;37;36;69
09/10/2021;37;36;70
10/10/2021;37;36;71
11/10/2021;37;35;72
12/10/2021;38;38;73
13/10/2021;38;38;74
14/10/2021;39;38;75
15/10/2021;40;40;76
16/10/2021;41;41;77
17/10/2021;42;41;78
18/10/2021;44;44;79
19/10/2021;45;45;80
20/10/2021;47;46;81
21/10/2021;49;49;82
22/10/2021;50;50;83
23/10/2021;51;52;84
24/10/2021;53;54;85
25/10/2021;55;55;86
26/10/2021;57;56;87
27/10/2021;57;58;88
28/10/2021;59;58;89
29/10/2021;60;61;90
30/10/2021;60;60;91
31/10/2021;62;62;92
01/11/2021;64;63;93
02/11/2021;64;63;94
03/11/2021;66;65;95
04/11/2021;67;66;96
05/11/2021;70;69;97
06/11/2021;72;69;98
07/11/2021;74;71;99
08/11/2021;76;73;100
09/11/2021;78;77;101
10/11/2021;80;77;102
11/11/2021;83;80;103
12/11/2021;85;81;104
13/11/2021;87;84;105
14/11/2021;89;88;106
15/11/2021;92;89;107
16/11/2021;95;93;108
17/11/2021;98;98;109
18/11/2021;100;101;110
19/11/2021;103;105;111
20/11/2021;107;110;112
21/11/2021;112;116;113
22/11/2021;119;121;114
23/11/2021;125;126;115
24/11/2021;132;133;116
25/11/2021;140;138;117
26/11/2021;148;;118
27/11/2021;157;;119
28/11/2021;167;154;120
29/11/2021;176;161;
30/11/2021;186;166;
01/12/2021;194;174;
02/12/2021;203;180;
03/12/2021;211;188;
04/12/2021;218;197;
05/12/2021;223;203;
06/12/2021;228;212;
07/12/2021;235;220;
08/12/2021;238;230;
09/12/2021;243;238;
10/12/2021;246;247;
11/12/2021;249;258;
12/12/2021;250;266;
13/12/2021;252;;
14/12/2021;254;;
15/12/2021;255;;
16/12/2021;257;;
